============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.5867E+02  2.6263E+01 -7.5146E+01
0000002   4.8777E+02  2.2870E+01  3.8263E+00
0000003   4.7678E+01  6.9724E+01  9.8547E+01
0000004   1.6397E+02  1.1114E+02  1.1703E+02
0000005   2.1969E+02 -1.4000E+02  1.1363E+02
0000006   2.1806E+02 -1.2913E+02  3.2770E+01
0000007   4.2857E+02  7.7047E+01 -1.8799E+01
0000008   1.5717E+02 -1.0954E+02  4.6585E+01
0000010   1.6580E+02  1.3040E+02 -1.2157E+02
0000011   2.1950E+02 -1.2398E+01  3.9466E+01
0000012   3.4578E+02 -1.8550E+01  7.3580E+01
0000013   2.8938E+02 -1.4901E+02 -3.3632E+02
0000014   1.6928E+02  3.0745E+01  1.3533E+02
0000015   3.1399E+02 -7.5533E+01  3.8740E+01
0000016   2.9360E+02 -2.0709E+01 -1.1065E+02
0000017   2.9930E+02 -2.7640E+01 -1.3537E+02
0000018   2.9457E+02 -6.4027E+01 -1.0892E+02
0000019   2.1026E+02  1.8091E+02 -1.0264E+02
0000020   1.2313E+02 -2.8033E+01 -8.8661E+01
0000021   7.8697E+01  8.7546E+00  3.6446E+01
0000022   3.0092E+02 -1.2870E+01 -6.0047E+01
0000023   2.4122E+02 -3.0381E+01  1.9087E+00
0000024   3.1395E+02  1.5287E+02  7.3276E+01
0000025   3.5151E+02  1.3003E+02  5.5871E+01
0000026   2.8054E+02  8.0711E+01 -9.2207E+01
0000027   1.4911E+02 -1.9283E+02  1.9920E+02
0000028   9.2176E+01 -7.7265E+01  9.0217E+01
0000029   1.3427E+02 -2.6463E+02  3.0554E+01
0000030   3.5666E+02  1.7886E+02  5.3071E+01
0000031   2.4195E+02 -6.2807E+01 -4.0480E+02
0000032   2.7918E+02  1.0778E+02 -1.5530E+01
0000033   2.7327E+02  1.0555E+02 -1.9912E+02
0000034   3.7896E+02  2.2643E+02 -1.3469E+02
0000035   3.1760E+02  1.6535E+02 -2.0634E+02
0000036   1.5330E+02 -3.8970E+01  6.9414E+01
0000037   2.6596E+02  7.0875E+01 -4.8367E+01
0000038   3.4311E+02  4.7331E+01 -8.0146E+01
0000039   2.2730E+02 -3.3241E+01  1.9099E+02
0000040   2.2507E+02  1.2521E+02 -7.5008E+01
0000041   4.5841E+01 -4.9309E+01  1.1532E+02
0000043   1.6105E+02 -5.4018E+01 -1.4305E+01
0000045   1.9347E+02 -1.0924E+02  6.7966E+01
0000046   7.1843E+01  3.0737E+00 -6.0951E+01
0000047   1.7130E+02  5.8369E+01 -1.9369E+02
0000048   1.0022E+02  1.1002E+02 -1.7188E+02
0000049   1.0376E+02  2.7617E+01  1.0937E+01
0000050   2.0473E+02 -8.4221E+01 -3.9634E+01
0000053   2.7336E+01 -1.2800E+02  5.0626E+01
0000054   3.2165E+02 -1.5245E+02  1.8359E+02
0000055   2.5858E+02 -3.0709E+02  2.3559E+01
0000056   3.3850E+02  6.1416E+01  2.3371E+01
0000057   3.3261E+02  4.6753E+01  6.8345E+01
0000058   1.1850E+01  6.1523E+01  1.2263E+02
0000059   4.0613E+02 -1.0577E+02 -1.5672E+02
0000060   4.0801E+02 -3.3404E+00  3.7334E+02
0000062   1.3446E+02  1.4433E+01 -8.0307E+01
0000063   1.8708E+01 -1.3020E+01 -6.8225E+01
0000064   2.4418E+02 -1.6212E+00  1.6784E+02
0000065   2.0763E+02 -1.9167E+01  3.5290E+01
0000067   1.5729E+02 -1.3760E+02 -2.9542E+01
0000068   4.3339E+02  7.3400E+01 -2.4556E+00
0000069   1.8391E+02 -4.2703E+00  4.9032E+01
0000071   2.2116E+02  1.3548E+00  2.2381E+02
0000072   1.3486E+02 -1.6876E+01  1.2338E+01
0000073   3.7022E+02 -1.2085E+01  3.6646E+01
0000074   3.0988E+02  9.8111E+01 -1.2866E+02
0000075   1.5949E+02  8.9156E+01  1.1669E+01
0000076   2.1998E+02  8.7344E+01 -9.6060E-01
0000077   2.4906E+02 -8.8187E+01 -1.6254E+01
0000078   1.6992E+02  1.5097E+02 -8.1632E+01
0000079   1.4559E+02 -2.7595E+02 -2.0333E+02
0000080   1.3265E+02  1.2084E+02  1.5977E+02
0000081   8.3401E+01 -4.9192E+01  5.6518E+01
0000082   1.8646E+02 -4.3037E+01 -1.6578E+02
0000083   2.8601E+02 -6.7354E+01 -6.2985E+01
0000084   1.0629E+02  2.4435E+02  8.6183E+00
0000085   3.1649E+02  6.2142E+01  1.1659E+02
0000087   1.3387E+02 -2.5865E+02  2.3007E+01
0000088   2.7774E+01  9.2218E+01  1.9523E+02
0000089   2.9058E+02 -1.3982E+02  2.4695E+01
0000090   2.5135E+02  3.2345E+01 -2.4908E+01
0000091   1.3040E+02 -1.6894E+01  5.2203E+01
0000092   2.0082E+02  1.9070E+02 -1.1289E+02
0000093   1.2283E+02 -8.9515E+00 -1.9602E+02
0000094   3.8343E+02 -1.8892E+02 -1.8577E+02
0000096   1.8433E+02 -2.1923E+01 -2.5188E+01
0000097   5.3125E+01 -5.0063E+01 -6.5319E+01
0000098   1.7404E+02  1.0706E+02  1.9968E+02
0000099   1.9607E+02  1.2479E+00  7.4939E+01
0000100   2.7889E+02  7.8418E+00 -2.1077E+02
0000101   1.2905E+02 -9.8034E+01  1.2372E+00
0000102   4.5715E+02  1.4202E+02 -5.4944E+01
0000103   3.5073E+02  5.0937E+01  4.4812E+01
0000104   7.7088E+01  1.4034E-02  1.9753E+02
0000105   3.0017E+02 -2.3439E+02  1.0943E+02
0000107   6.7643E+01 -1.6525E+02 -2.7533E+01
0000108   3.3406E+02  1.1783E+02  1.2957E+01
0000109   1.1511E+02  1.0291E+02  2.5491E+02
0000110   6.8419E+01 -9.8711E+01  1.2952E+02
0000111   7.6462E+01  1.5208E+02  4.7550E+01
0000112   2.9520E+02 -6.6520E+01  1.7502E+02
0000113   2.8620E+02 -1.9464E+02 -1.8114E+02
0000114   3.7214E+01 -5.7639E+00 -1.4237E+01
0000115   1.4787E+02 -7.3987E+01  9.4414E+01
0000117   1.3086E+02 -1.2548E+01 -1.0513E+02
0000118   1.1195E+02 -4.2424E+01  1.4344E+02
