============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.9238E+02  1.5087E+02  2.4724E+02
0000002   4.0463E+02 -2.8047E+01 -1.4745E+02
0000003   7.6039E+02  2.9793E+02  5.6861E+01
0000004   4.6013E+02  1.3307E+02  3.3662E+02
0000005   4.7665E+02  2.3713E+02  3.0233E+02
0000006   2.5924E+02 -1.3764E+02  7.5782E+01
0000007   6.4562E+02 -1.0196E+01 -3.2217E+01
0000008   4.1265E+02 -1.4033E+02  1.4477E+02
0000009   4.4388E+02  2.6481E+02  4.4728E+02
0000010   5.8893E+02 -2.1462E+02  2.8070E+02
0000011   3.3110E+02  5.0342E+02  2.4121E+02
0000012   8.7213E+01  4.0208E+01 -1.1827E+02
0000013   4.6341E+02 -8.7620E+01 -2.0207E+02
0000014   5.5134E+02  3.0774E+01 -3.0341E+02
0000015   6.2355E+02 -3.8213E+02  2.7576E+02
0000016   4.0857E+02 -1.6721E+02  3.9267E+02
0000017   4.8048E+02  2.7478E+02  3.4346E+02
0000019   3.2803E+02  1.5452E+02 -4.6427E+01
0000020   8.1171E+02 -2.0524E+02  1.5751E+02
0000021   4.9224E+02 -4.4884E+01 -1.2351E+02
0000022   1.1226E+02  2.8018E+02  1.1813E+02
0000023   4.0770E+02 -1.1118E+02 -4.4989E+02
0000024   3.8568E+02  1.1947E+02 -1.0305E+02
0000025   4.5285E+02  3.0092E+01  8.8597E+01
0000026   1.1625E+02  1.6702E+01 -1.3111E+02
0000027   2.0440E+02 -2.5677E+02 -1.1466E+02
0000028   4.6553E+02 -8.4573E+01  3.0683E+02
0000029   3.1198E+02  1.9443E+02 -2.4510E+02
0000030   3.6772E+02 -8.1571E+01 -1.0629E+02
0000031   7.1004E+01  6.6942E+01 -2.7508E+02
0000032   7.0581E+02 -1.0770E+02 -1.1941E+02
0000033   4.9790E+02 -4.7245E+01 -1.4197E+02
0000034   3.2705E+02 -7.1925E+01 -2.7978E+02
0000035   7.0919E+02  4.3954E+01  2.6681E+02
0000036   3.1031E+02 -5.0278E+01  1.3002E+02
0000037   1.6809E+02 -3.0562E+02  3.0942E+02
0000038   4.5961E+02  2.8595E+02 -1.2052E+02
0000039   6.9778E+02 -1.9820E+02 -1.6636E+01
0000040   4.4102E+02 -7.3500E+01 -2.9231E+02
0000041   7.8144E+02  1.0210E+02 -6.4675E+02
0000042   1.6497E+02  1.3380E+02 -1.8064E+01
0000043   4.7340E+02  1.2059E+02  4.7508E+02
0000044   3.6557E+01  2.5154E+02  1.4227E+02
0000045   4.9556E+02  2.0417E+02  1.6699E+02
0000046   1.6570E+02  1.3673E+02 -1.1836E+02
0000047   6.5820E+02  1.2358E+02 -5.5058E+01
0000048   3.7543E+02  3.8637E+02  4.7688E+02
0000049   5.2210E+02 -1.4061E+02  1.6456E+02
0000050   4.1700E+02  4.4933E+02 -1.4865E+02
0000051   5.3528E+02 -9.5887E+01 -1.3142E+02
0000052   2.5551E+02 -8.6698E+01  2.7922E+02
0000053   4.4329E+02 -1.8270E+02  4.3362E+02
0000054   1.6033E+02 -1.4894E+02 -2.9620E+02
0000055   8.2983E+02  2.3056E+01  3.1141E+01
0000056   6.3514E+02 -5.4681E+01  6.0397E+02
0000057   4.5753E+02  4.9613E+02  4.0297E+02
0000058   5.6090E+02 -1.7889E+01  4.8568E+02
0000059   4.4052E+02 -3.3645E+02 -2.1225E+02
0000060   6.8647E+02 -1.0230E+02 -9.0535E+01
0000061   3.4523E+02  1.5402E+02 -1.9916E+02
0000062   5.0130E+02 -1.5869E+02 -5.3140E+02
0000063   1.6460E+02  1.8000E+02  3.7322E+01
0000064   4.1855E+02  2.2508E+02 -2.6698E+01
0000065   5.4863E+02 -2.0732E+02  3.5111E+02
0000066   4.9695E+02 -3.6496E+02  1.0229E+02
0000067   3.3408E+02  3.6652E+02 -1.1440E+02
0000068   2.0345E+02 -2.9999E+02 -7.8535E+01
0000069   3.6183E+02 -7.1812E+01  2.1851E+01
0000070   1.8541E+02  3.8787E+02  1.8882E+02
0000071   5.3017E+02  2.5798E+01 -2.3399E+02
0000072   3.9015E+02 -6.9413E+01 -3.4477E+02
0000074   5.2942E+02  2.3466E+01 -1.9582E+02
0000075   2.2136E+02 -3.1875E+02 -1.6360E+02
0000076   3.5880E+02  6.6641E+01  1.3701E+02
0000077   8.7601E+02  6.3359E+00 -1.0315E+01
0000078   6.3068E+02  5.5228E+01  1.9914E+02
0000080   1.9379E+02  3.2269E+02 -1.0313E+02
0000081   3.1617E+02  1.2906E+02  5.5940E+00
0000082   3.0892E+02  4.8329E+01 -8.7661E+01
0000083   2.6980E+02  1.6196E+02 -2.8547E+02
0000084   2.4264E+02 -1.9124E+02 -2.9241E+02
0000085   3.4882E+02 -2.4626E+02  2.9910E+01
0000086   2.9712E+02  2.5798E+01 -4.2481E+02
0000087   5.4522E+02 -2.9014E+01  2.4896E+02
0000088   2.5422E+02  8.0413E+01 -3.7312E+02
0000089   7.9488E+02  4.4928E+02 -6.0177E+01
0000090   3.4131E+02  3.6238E+02  9.6583E+01
0000091   4.2764E+02  2.4964E+02  4.2975E+02
0000092   4.2361E+02 -2.6121E+02  2.0296E+02
0000093   5.8323E+01  1.9554E+02  3.1415E+01
0000094   1.0696E+02  5.0904E+01  5.8744E+00
0000095   4.0042E+01 -2.6853E+02 -3.6474E+02
0000096   3.4807E+01 -1.8393E+02  1.1450E+02
0000097   3.2605E+02  4.1919E+02 -2.3306E+02
0000098   6.2645E+02 -3.8017E+01  3.4373E+02
0000099   3.0354E+02 -3.3279E+02  8.6731E+01
0000100   6.7617E+02 -5.1193E+02  9.5821E+01
0000102   4.7437E+02  6.5964E+01  5.1416E+02
0000103   8.4993E+01  2.6885E+02 -4.6008E+02
0000104   3.2179E+02  1.0894E+02 -3.2037E+02
0000105   6.9251E+02 -2.2984E+02  3.9127E+01
0000106   4.5773E+02 -1.1275E+02 -8.2322E+01
0000107   7.5955E+02  1.0978E+02 -2.7350E+02
0000108   2.9987E+02 -4.1136E+01  6.7365E+01
0000109   1.3381E+02  1.1921E+02 -2.0199E+02
0000110   5.8730E+02  7.8909E+00  4.3571E+02
0000111   3.0443E+02 -4.6705E+01  1.0559E+02
