============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.1335E+02  1.9338E+02 -3.1270E+02
0000002   5.0516E+02  7.4757E+01  1.0481E+02
0000003   4.6210E+02 -1.5636E+02 -8.0829E+01
0000004   5.5090E+02  1.7664E+02 -1.1399E+02
0000005   4.8518E+02 -1.7759E+02  1.0302E+02
0000006   6.2262E+02 -1.8561E+02 -2.4170E+02
0000007   2.7355E+02 -1.5086E+01 -3.4442E+02
0000008   7.4251E+02 -1.4240E+01  6.2610E+01
0000009   2.7250E+02  2.6172E+02 -3.2540E+02
0000011   4.7420E+02 -4.0283E+02  1.9478E+02
0000012   3.5601E+02 -2.2296E+02 -2.0727E+01
0000013   6.5914E+02 -6.2028E+01 -3.6717E+02
0000014   2.9626E+02 -7.8082E+01  3.2111E+02
0000016   5.9122E+02 -2.3582E+02 -1.0798E+01
0000018   5.8386E+02 -1.3764E+02 -3.8271E+02
0000019   2.5899E+02 -2.7449E+01 -1.3711E+02
0000020   2.0472E+02 -2.9820E+02  8.7994E+01
0000021   7.6524E+02 -1.5979E+02 -1.5655E+02
0000022   4.2253E+02 -3.7975E+02  2.0903E+01
0000023   2.3978E+02  3.0916E+02 -3.1531E+02
0000024   2.6857E+02  3.0911E+01 -1.4182E+02
0000026   1.5679E+02  8.6328E+01  6.5905E+01
0000027   2.3308E+02 -5.7189E+01  8.7303E+01
0000028   4.3346E+02 -2.1498E+02  2.9414E+02
0000029   3.5436E+02  4.8960E+01  2.2126E+02
0000030   3.9883E+02  3.4149E+00  6.2353E+01
0000031   7.4170E+02 -5.9828E+01  2.0686E+01
0000032   3.2808E+02 -2.3204E+02  2.5809E+02
0000033   5.0114E+02  9.4555E+01 -2.2683E+02
0000034   3.0165E+02  3.9700E+01  2.9413E+01
0000035   4.8433E+02 -2.2962E+02 -2.6920E+02
0000036   1.5120E+02  1.0511E+02  5.4453E+01
0000037   2.6151E+02 -6.1885E+01 -1.4099E+02
0000039   4.0554E+02  1.0563E+01  1.2457E+02
0000040   5.1421E+02  3.1180E+01 -9.3367E+01
0000043   7.1672E+02 -2.8026E+02  1.5331E+02
0000044   3.6089E+02 -1.9234E+02  6.9356E+01
0000045   1.8360E+02  7.7967E+01  2.8333E+02
0000046   3.8810E+02 -2.0957E+02 -2.0027E+02
0000047   8.3421E+02  2.1863E+02 -3.0712E+02
0000048   3.3276E+02 -6.6581E+00  1.7540E+02
0000049   7.6015E+02 -2.6137E+02  3.5772E+01
0000051   4.3003E+02  2.9789E+02  7.7054E+01
0000052   2.2322E+02  3.9297E+01 -7.9771E+01
0000053   6.6004E+02  2.9129E+02  7.7776E+01
0000054   3.8854E+02 -2.5844E+02  4.6936E+01
0000055   3.4886E+02  2.1286E+02  4.1556E+02
0000056   4.0823E+02  2.1271E+02  2.1077E+02
0000057   5.5826E+02 -5.3067E+01 -1.0994E+01
0000058   4.1702E+02 -8.5268E+01 -2.5358E+02
0000059   3.7300E+02  1.5451E+02  4.7566E+02
0000060   4.7595E+02  2.9965E+02 -2.5530E+02
0000061   5.4752E+02 -1.3277E+02 -3.1346E+02
0000062   2.4657E+02 -3.1865E+02 -5.3085E+00
0000063   2.9375E+02 -5.4755E+02 -2.0230E+02
0000064   6.0742E+02 -1.2125E+02 -2.4745E+02
0000065   3.0314E+02 -1.2196E+02  2.3630E+02
0000066   3.3542E+02  3.1776E+02  1.1874E+02
0000067   1.2922E+02 -3.3748E+02  2.0234E+02
0000068   3.5194E+02  3.9385E+01 -1.1086E+02
0000069   4.5924E+02  1.8562E+02 -1.6881E+02
0000071   3.4438E+01 -4.7920E+01  3.0153E+02
0000072   4.1247E+02  3.5046E+01  4.8201E+02
0000073   3.7704E+02 -1.4288E+02 -9.3918E+01
0000074   3.4280E+02  6.1180E+01  9.3221E+01
0000075   2.1070E+02  3.5212E+01  2.3616E+02
0000076   4.6467E+02  1.7978E+01 -1.1666E+02
0000077   2.2425E+02 -2.3813E+02  2.4290E+02
0000078   4.7287E+02 -1.7877E+01  1.6354E+02
0000079   1.5798E+02 -1.1551E+01 -2.9345E+02
0000080   1.0344E+02  1.9127E+02 -1.7338E+02
0000081   5.2968E+02  2.2400E+02  1.3164E+02
0000082   4.0277E+02 -1.7400E+02  1.1489E+02
0000083   3.8747E+02  1.5387E+02  3.7260E+02
0000085   5.4751E+02  2.9181E+02 -1.4046E+02
0000086   6.6163E+01 -8.2579E+01 -3.2083E+02
0000087   7.7281E+01  3.9012E+02  2.1935E+01
0000088   3.9846E+02 -4.8537E+01  4.7177E+02
0000089   3.7731E+02 -4.8956E+02  2.0230E+02
0000090   4.3407E+02 -2.9566E+02  2.3901E+02
0000091   3.6856E+02 -1.1934E+02 -3.5282E+02
0000092   1.8562E+02  8.2410E+01 -1.6902E+02
0000093   5.3631E+02 -1.1832E+02 -3.1545E+02
0000096   7.0956E+02 -1.3991E+02 -2.3905E+02
0000097   2.1760E+02 -6.8123E+01 -1.3917E+00
0000098   3.6578E+02  1.5679E+02 -6.2983E+01
0000099   7.1129E+01 -5.3410E+01 -8.5812E+01
0000100   4.1195E+02 -3.9502E+02 -8.6534E+01
0000101   5.6282E+02 -8.1044E+01 -1.3279E+02
0000102   1.9380E+02 -4.1018E+02 -1.3085E+02
0000104   5.1104E+02 -1.4633E+02 -3.9703E+02
0000105   4.4085E+02 -2.0272E+02 -7.4888E+01
0000106   4.2023E+02 -7.7843E+00 -1.3965E+02
0000107   3.3019E+02 -7.5740E+01 -1.1979E+02
0000109   1.2464E+01  2.7533E+01  1.8800E+02
0000110   2.0434E+02  2.1783E+02  5.4041E+00
0000111   5.7536E+02  3.7347E+02 -2.9266E+02
0000112   4.7465E+02  2.7994E+02 -3.2247E+02
0000113   4.7569E+02  2.4965E+02 -7.1551E+01
0000114   1.1204E+02 -1.5830E+01 -2.3901E+02
0000115   3.8451E+02 -7.4795E+01  2.4012E+02
0000116   1.7054E+02  1.1834E+02  1.9599E+02
0000117   2.8645E+02 -3.3563E+02  6.0889E+01
0000118   4.3444E+02 -1.7598E+02  1.9487E+02
0000119   6.0513E+02 -3.0271E+02  3.0654E+00
0000120   3.2378E+02 -2.7701E+00  1.0770E+02
