============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.6082E+02 -3.2308E+01  1.1714E+02
0000002   3.1445E+02 -2.1838E+01 -1.7581E+02
0000003   9.3154E+01 -7.7454E+01 -2.0470E+02
0000004   9.8734E+00  2.2244E+02 -6.8346E+01
0000005   1.9718E+02 -4.6194E+00 -2.9438E+01
0000007   1.4074E+02 -1.5706E+02  2.7412E+01
0000008   1.6702E+02 -1.6561E+02  7.7502E+01
0000009   4.2466E+02 -1.6568E+02  5.8412E+01
0000010   2.8116E+02  9.3190E+01  5.1014E+01
0000011   2.7996E+01 -6.2044E+01 -4.3073E+01
0000012   1.6509E+01 -5.1207E+01 -1.8902E+01
0000013   1.6559E+02  5.7436E+01 -2.1810E+00
0000014   6.8351E+01  1.1199E+02  1.3545E+02
0000015   1.1291E+02 -1.5819E+02 -6.7933E+00
0000016   3.6868E+01 -1.0363E+02 -1.4359E+02
0000017   2.5454E+02 -6.1612E+00  9.8139E+01
0000018   8.9925E+01  4.0463E+01 -9.4643E+01
0000019   1.8658E+02  4.3701E+01 -1.8779E+02
0000020   2.0481E+02  1.9851E+01  7.0722E+01
0000021   1.7248E+02 -6.6813E+01 -6.0143E+01
0000022   5.9700E+01  9.0930E+01 -1.6990E+02
0000023   4.5856E+02  1.2681E+02 -1.5549E+01
0000024   2.9096E+02 -6.7021E+01  6.2145E+01
0000025   1.0195E+02 -1.3517E+02 -4.4222E+01
0000026   3.1636E+02 -3.8435E+01  1.1139E+02
0000027   1.0901E+02 -1.4289E+02  5.5870E+01
0000028   2.4786E+02 -2.5711E+00  1.9101E+01
0000029   1.4606E+02 -8.7135E+01 -1.4567E+01
0000030   1.5717E+02 -1.4223E+02  1.5260E+02
0000031   4.0582E+02  1.3881E+02  3.0108E+02
0000032   4.4826E+01 -1.5746E+01 -7.6670E+01
0000034   2.4055E+02  1.8813E+02  1.4052E+02
0000035   2.7448E+02 -1.7079E+02 -1.9237E+02
0000036   1.5123E+02 -3.3253E+01 -2.1783E+02
0000039   5.2035E+01  6.8422E+01  4.2265E+01
0000040   1.8100E+02 -8.0990E+01 -3.8790E+01
0000041   1.8712E+02 -1.6915E+01 -9.3529E+01
0000042   3.4208E+02 -2.3186E+01  1.8115E+02
0000043   1.1169E+02 -7.1114E+01  4.8896E+01
0000044   4.7358E+02 -6.0011E+01 -2.4199E+01
0000045   1.9709E+02 -1.3416E+02 -1.4074E+01
0000046   3.0044E+02  1.2166E+01  8.3354E+01
0000047   3.6072E+02  3.6666E+01 -2.6573E+01
0000048   1.4892E+02 -1.6692E+02  7.0578E+01
0000049   3.0636E+02  9.5992E+01 -4.3537E+01
0000050   3.1747E+02 -9.5492E+01 -6.2280E+01
0000051   7.1190E+01 -1.6261E+02  1.1988E+02
0000052   1.4241E+02 -5.1474E+01  2.5241E+01
0000053   2.7389E+02  5.2075E+01  2.4756E+02
0000054   3.0066E+01 -6.6067E+01  1.8707E+01
0000055   1.5473E+02 -1.1958E+02  1.0072E+02
0000056   3.5654E+02  5.2150E+01 -9.0543E+00
0000057   2.0254E+02  1.2133E+02  1.3452E+02
0000058   3.0131E+02 -1.0990E+02  1.6181E+02
0000059   2.3699E+02  1.6065E+01  8.6712E+01
0000060   5.2700E+01  1.5188E+02 -3.7005E+01
0000061   1.4523E+02 -1.0559E+01 -1.3231E+01
0000063   1.0679E+02  1.4215E+01  1.1820E+02
0000064   3.2264E+02 -1.4194E+02  2.2754E+01
0000065   3.5704E+01  3.3965E+01  1.6781E+01
0000066   3.6118E+02  2.8781E+00  9.6466E+01
0000067   1.8759E+02  1.4536E+01  1.2015E+02
0000068   3.8383E+02 -1.4336E+02  1.1942E+02
0000069   5.8037E+01  6.4340E+01  1.3478E+02
0000070   1.2912E+02  1.4852E+02 -6.7978E+01
0000071   3.8945E+02  1.6113E+01  1.6435E+02
0000072   3.4307E+02  2.8820E+02 -2.4787E+02
0000073   2.9011E+02 -1.8172E+02 -2.3095E+02
0000075   3.0511E+01  2.1551E+02 -1.4848E+02
0000076   4.6521E+02  1.5666E+02  3.8466E+01
0000077   2.4742E+02  3.8422E+01  2.9403E+02
0000078   4.5366E+01 -7.9340E+01 -6.7654E+01
0000079   9.7669E+01 -4.4935E+01 -5.8672E+01
0000080   2.1280E+02  1.2065E+01  8.2470E+01
0000081   5.4359E+01  2.0076E+02 -6.4379E+01
0000082   1.8710E+02  3.1291E+02 -1.1072E+02
0000083   1.6811E+02  1.4159E+02  8.1736E+01
0000084   9.8400E+01  9.6951E+01  1.7633E+02
0000085   2.2901E+02  6.7331E+01 -1.8691E+02
0000086   2.9984E+02  1.4949E+02  3.8750E+01
0000087   1.5035E+02 -3.0113E+01  1.8033E+02
0000088   5.9498E+01  1.4441E+01 -1.0021E+02
0000089   9.0952E+01 -1.8375E+02  3.5898E+02
0000090   1.3613E+02 -3.9275E+01  1.5773E+02
0000091   1.1986E+02 -2.9604E+01 -5.2473E+01
0000092   9.8946E+01 -3.1906E+01  9.5527E+01
0000093   2.9494E+02  1.3579E+01 -1.9663E+02
0000094   2.1877E+02  2.8184E+01 -4.3039E+01
0000095   1.2952E+02  1.1763E+02  1.2791E+02
0000096   3.3893E+02 -1.1168E+02 -3.4298E+01
0000097   1.4507E+02 -4.4123E+01  5.3163E+01
0000098   2.3650E+02 -6.6368E+01  2.1994E+02
0000099   2.7067E+02 -4.5869E+01 -4.5134E+01
0000100   1.5022E+02  1.3138E+02 -6.2029E+01
0000101   4.0858E+02  2.0105E+02  1.7589E+02
0000102   1.7840E+02  3.0737E+01  5.3652E+01
0000103   1.1713E+02 -2.9074E+01  2.3300E+02
0000104   3.5065E+02 -2.6837E+01 -1.1720E+02
0000105   1.2314E+02 -4.8903E+00  2.2400E+01
0000106   2.4501E+02  2.0331E+01 -1.7338E+02
0000107   1.1104E+02 -3.1387E+02 -2.5350E+02
0000108   2.5919E+02  1.1119E+02  2.7530E+02
0000109   1.8845E+02 -1.8900E+01  1.2554E+02
0000110   4.1094E+02  1.8477E+02 -5.9621E+01
0000111   2.3678E+02  2.0030E+02 -1.1031E+02
0000112   1.8054E+02 -5.7024E+01 -1.5400E+01
