============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.0238E+02  4.8030E+01 -2.3236E+01
0000002   1.3166E+02 -2.2645E+02 -6.2574E+01
0000003   2.3266E+02 -2.0377E+02 -6.2667E+01
0000004   2.0545E+02  5.5828E+01  9.5924E+01
0000005   2.2376E+02  1.8949E+02  1.4682E+02
0000006   2.8359E+02 -1.1591E+02  1.3738E+00
0000007   9.9831E+01  2.3053E+02 -4.9771E+01
0000008   2.4430E+02 -1.6623E+02  8.6034E+01
0000009   1.2142E+02 -5.4082E+00 -9.1907E+01
0000010   2.1545E+02  8.2247E+01 -7.6179E+01
0000011   6.8212E+01  1.6428E+02  2.5315E+02
0000012   4.9411E+01 -6.8822E+01  3.7729E+01
0000013   3.3911E+02 -2.4314E+01 -2.7041E+01
0000015   2.4515E+02 -3.2020E+01 -1.6635E+01
0000016   3.8048E+02 -9.6161E+01  1.9901E+02
0000017   2.7500E+02 -1.7263E+02 -2.1917E+01
0000018   1.9443E+02  4.2087E+00 -1.3659E+02
0000019   4.8193E+02  2.8806E+01  6.8955E+00
0000020   2.0686E+02  1.3870E+02 -1.9004E+02
0000021   2.8094E+02  2.1509E+02  1.3931E+01
0000022   5.9585E+01  4.6030E+01 -3.9198E+01
0000023   1.2611E+02 -6.1273E+01  9.3457E+01
0000024   1.3138E+02  2.3367E+02  3.8454E+01
0000025   3.0467E+02 -2.0573E+02  5.9902E+00
0000026   1.6230E+02 -1.0725E+01 -9.8772E+01
0000027   1.4630E+02 -1.3476E+02  1.1729E+02
0000028   8.8930E+01  1.2822E+02 -1.1846E+02
0000030   4.9570E+02  7.5172E+01 -6.2950E+01
0000031   1.6973E+02  2.6057E+01  1.1952E+02
0000032   3.3745E+02 -7.5729E+01 -5.5128E+01
0000033   2.4968E+02 -6.9446E+01  1.5745E+02
0000034   1.8881E+02 -1.6009E+02 -2.3899E+02
0000035   1.0624E+02 -1.9718E+02  7.4445E+01
0000036   1.4490E+02  1.5280E+02 -5.2014E+01
0000037   1.9028E+02  5.2242E+01  3.7549E+01
0000038   2.5674E+02 -4.3193E+01 -1.5741E+02
0000039   3.3103E+02  1.8283E+02  4.9729E+01
0000040   1.3652E+02 -1.2186E+02  1.5739E+02
0000041   8.6459E+01  7.4034E+01  1.5835E+02
0000042   3.3001E+02 -2.6906E+02  1.0319E+02
0000043   1.8661E+02 -2.3662E+01 -1.1868E+02
0000044   1.0116E+02 -1.2923E+02  1.1749E+02
0000045   4.0040E+02  1.5205E+00 -1.4846E+02
0000046   1.8357E+02 -8.4118E+01 -1.0725E+02
0000047   4.1387E+01  1.4624E+02  7.0704E+01
0000048   1.7680E+02 -3.3216E+01  3.3581E+01
0000049   5.1973E+01 -1.7235E+01  2.3082E+01
0000050   1.5040E+02  7.7458E+01 -1.1017E+02
0000051   4.0536E+01 -5.1312E+00 -7.2305E+01
0000052   1.9479E+02  1.3804E+02 -1.3057E+02
0000053   2.1108E+02 -1.6615E+02  4.0911E+01
0000054   3.2917E+02  1.2970E+02 -1.1983E+02
0000055   3.2383E+02  5.3970E+01  6.7195E+01
0000056   2.4372E+02  1.4828E+02 -8.7594E+01
0000057   1.5540E+02 -1.2429E+02 -2.0874E+01
0000058   5.7798E+01  1.1373E+02  7.6751E+00
0000059   2.3589E+01 -1.5061E+02 -1.0506E+01
0000060   5.0231E+02 -6.2697E+01  2.8799E+01
0000061   4.6509E+02  7.1484E+01  3.0731E+01
0000062   2.8322E+02 -3.3465E+01 -1.2799E+02
0000063   2.5781E+02 -2.1450E+02  6.2579E+01
0000064   1.0062E+02  8.0932E+01 -1.5694E+02
0000065   1.4387E+02  7.7422E+01  5.1055E+01
0000066   8.1750E+01 -8.0811E+01  8.8350E+01
0000067   5.2796E+02  1.0079E+02 -1.1633E+02
0000068   3.0027E+01  1.0086E+01 -1.2764E+01
0000069   3.1290E+02 -1.4173E+02  1.6005E+00
0000070   1.9593E+02 -4.2706E+01 -2.4471E+01
0000071   1.4595E+02  1.1050E+02  1.7614E+02
0000073   2.5727E+02 -4.5411E+01  1.6695E+02
0000074   6.7762E+01 -1.0776E+02 -1.0859E+02
0000075   1.2520E+02  1.1433E+02  9.5735E+00
0000076   2.0523E+02 -7.1099E+01  6.6050E+01
0000077   1.4588E+02  1.4733E+02  1.7564E+02
0000078   2.7631E+02 -6.6540E+01  2.1707E+01
0000081   1.7191E+02 -1.2324E+01  1.0513E+02
0000082   2.7650E+02 -1.4486E+02 -1.0688E+02
0000083   1.7651E+02  1.4222E+01  2.1232E+02
0000084   7.8909E+00 -2.6675E+02 -3.1546E+02
0000085   1.3880E+02  2.4218E+02 -1.1322E+02
0000086   3.3940E+02  9.6131E+01 -8.9353E+01
0000087   2.7858E+02 -7.5492E+01 -1.1931E+01
0000088   2.8241E+02 -1.8866E+02  1.6397E+02
0000089   1.6299E+02  7.9496E+01 -8.5101E+01
0000090   7.6140E+01  2.5915E+01  3.4398E+02
0000091   3.7172E+02 -4.4775E+01  1.8569E+02
0000092   1.1354E+02 -1.1160E+02 -1.2369E+02
0000093   2.4203E+02  4.0193E+01  1.6487E+02
0000094   1.9349E+02 -1.6335E+01 -6.0089E+00
0000095   2.7789E+02  2.6912E+01 -1.9975E+02
0000096   7.8316E+01  2.7874E+02 -1.3046E+02
0000098   2.2582E+02 -5.2012E+01  2.2261E+01
0000099   1.9597E+02  1.1203E+02 -9.6653E+01
0000100   2.2185E+02  1.3221E+02  4.1943E+01
0000101   2.9243E+02 -6.4546E+01  7.7614E+01
0000102   2.8918E+02  5.6837E+01  9.3224E+01
0000103   1.3841E+02 -1.5230E+01  8.7261E+01
0000104   1.5547E+02 -5.2911E+01  2.9585E+01
0000105   2.3896E+02  7.4075E+01  4.0495E+01
0000106   2.2454E+02  1.4478E+02 -1.9025E+02
0000107   2.0741E+02  7.1318E+01  9.6968E+01
0000108   8.4247E+01 -1.0023E+02  1.0737E+02
0000109   3.2205E+02 -1.3404E+02 -2.9816E+02
0000110   1.2894E+02 -1.5907E+02 -6.3922E+00
0000111   3.5646E+02 -1.1973E+02 -2.0731E+02
0000112   4.0966E+02  1.5582E+02 -7.3451E+01
