============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   6.0564E+01 -1.1474E+00 -1.4355E+02
0000002   1.8470E+02 -6.4809E+01 -2.4548E+02
0000003   2.0664E+02 -4.5613E+01  4.0747E+01
0000004   1.9915E+02  3.2668E+02  1.0772E+02
0000005   1.2899E+02  1.0972E+02 -1.1922E+01
0000006   2.7176E+02  6.1473E+01  2.9415E+01
0000007   1.8088E+02  1.6353E+02  7.2215E+01
0000008   1.0089E+02  3.9375E+01 -3.7345E+01
0000010   1.0101E+02 -1.6756E+02  1.6718E+02
0000011   1.4609E+02 -1.7350E+02  1.4004E+02
0000012   1.9926E+02 -1.8283E+02  2.5035E+01
0000013   1.7057E+02  1.1955E+02  4.1041E+01
0000014   9.6764E+01 -6.7788E+01  2.1881E+01
0000015   7.8947E+01  8.0191E+01  7.7383E+01
0000017   2.8153E+02 -1.6631E+02 -2.9124E+02
0000018   1.6574E+02  2.0056E+02  1.8547E+02
0000019   1.6614E+02 -1.5378E+02 -7.3992E+01
0000020   8.4998E+01  1.4498E+01  5.8154E+01
0000021   1.2413E+02  1.1382E+01  1.1060E+02
0000022   2.1735E+02 -1.9107E+02 -2.7619E+01
0000023   7.5797E+01  9.4320E+01  3.2371E+00
0000024   3.4976E+02 -4.7068E+01  6.7675E+01
0000025   2.8558E+02  1.5131E+02 -1.6276E+01
0000026   2.2402E+02  4.6539E+01 -5.7379E+01
0000027   1.6594E+02  1.9429E+02  4.3592E+00
0000028   5.3304E+01  2.6128E+02 -8.8138E+01
0000029   2.5387E+02 -1.6732E+02  8.8046E+01
0000030   2.1876E+02  1.8497E+01  4.8027E+01
0000031   3.5690E+02  3.0416E+01 -1.8990E+02
0000032   6.9114E+01  5.7544E+01 -1.2470E+01
0000033   2.5718E+02 -5.9466E+01  5.6605E+01
0000034   1.3409E+02  6.7423E-01  7.4417E+01
0000035   3.0831E+02 -1.7989E+02  2.1658E+02
0000036   2.5030E+02  2.5169E+00  5.9187E+01
0000037   3.9069E+02 -2.5814E+01 -4.7022E+01
0000038   2.7120E+02 -1.2410E+02  1.5283E+02
0000039   2.2127E+02 -7.4559E+01 -1.8126E+02
0000040   1.3301E+02  1.3023E+01  6.6703E+01
0000041   2.6573E+02  2.0923E+02 -2.7888E+01
0000042   4.9707E+02  1.7154E+02  7.2440E+01
0000043   2.9399E+02 -1.3041E+02  1.6870E+02
0000044   1.6142E+02  7.9680E+00 -4.3654E+01
0000047   1.9326E+02  3.0875E+01 -1.1803E+02
0000048   1.1948E+02 -1.6102E+02 -9.7259E+01
0000049   1.9916E+02 -4.9475E+01 -9.7202E+01
0000050   2.8799E+02  2.5983E+01 -1.9826E+02
0000051   2.9997E+02  2.2081E+02 -2.5775E+01
0000052   1.4006E+02  5.6986E+01 -1.7075E+02
0000053   2.7271E+02  4.8009E+01 -9.7147E+01
0000054   1.7601E+02 -3.1598E+01 -7.1329E+00
0000055   6.2720E+01  5.5366E+01 -1.3527E+00
0000057   1.5654E+02 -4.4324E+01 -3.3982E+01
0000058   2.4081E+02  2.4210E+02  3.9824E+02
0000061   2.5419E+02 -1.6902E+02 -2.2456E+01
0000062   1.3019E+02  8.5739E+01 -2.1760E+01
0000063   5.3184E+01  1.0901E+01  8.2339E+01
0000064   1.1638E+02 -1.3052E+02  1.2461E+01
0000065   1.7483E+02 -1.5646E+02  1.8086E+02
0000066   4.5008E+02  5.5320E+01 -1.8912E+01
0000067   1.7326E+02 -8.7018E+01 -9.5372E+01
0000068   1.3715E+02  1.4420E+02  6.2429E+01
0000070   2.4432E+02  3.5234E+01  1.6484E+02
0000071   2.9985E+02 -7.3734E+01  1.1612E+02
0000072   3.5991E+01 -2.7600E+01 -9.9550E+01
0000073   2.3277E+02  1.1213E+02  8.4136E+01
0000074   3.2480E+02  1.9632E+02  3.0197E+02
0000075   2.6166E+02  1.4690E+01  4.8521E+01
0000076   2.2760E+02  2.4696E+02  1.5030E+02
0000077   3.0534E+02 -2.1225E+01 -1.3644E+02
0000078   1.7180E+02  2.6257E+01  2.4177E+01
0000079   4.4355E+02 -2.4841E-01 -4.9757E+01
0000080   1.2859E+02 -6.6322E+01 -4.8284E+01
0000081   6.4213E+01  5.4909E+00 -1.4737E+02
0000082   3.2770E+02  2.0472E+02 -1.3579E+01
0000083   3.1123E+02 -1.6687E+02 -8.6977E+01
0000084   2.0783E+02  1.6762E+02 -1.0881E+02
0000085   1.6473E+02 -4.1547E+00  3.0614E+00
0000087   3.2685E+02  2.0797E+02 -1.4217E+02
0000088   1.8625E+02 -1.8169E+02  6.1759E+01
0000089   2.2937E+02 -7.3520E+01  1.2249E+02
0000090   2.5938E+02 -3.9913E+01 -9.0540E+01
0000091   2.8123E+02  2.8909E+02  1.4644E+02
0000093   4.5405E+02 -3.4243E+02  2.0224E+02
0000094   2.4844E+02 -6.0611E+01 -4.6799E+01
0000095   6.0056E+01  6.4911E+01 -1.6055E+02
0000096   8.8128E+01  7.0059E+01  8.1614E+01
0000097   1.5688E+02  2.0393E+01  4.7536E+01
0000098   1.0569E+02 -1.2964E+01 -2.7619E+01
0000099   3.7358E+02 -8.2804E+01 -3.2605E+01
0000100   1.7669E+02 -7.5458E+01  1.5404E+02
0000101   9.2553E+01 -4.5843E+01  2.7193E+00
0000102   5.5603E+01 -5.5958E+01  5.9746E+01
0000104   2.4530E+02 -3.3024E+01  1.3676E+01
0000105   1.7317E+02 -7.1539E+00  6.9799E+01
0000106   8.4013E+01 -8.0948E+01 -1.0829E+02
0000108   2.3870E+02 -1.0265E+02 -1.4185E+02
0000109   3.9502E+02 -1.7502E+02  2.5002E+02
0000110   3.8014E+02 -6.7664E+00  3.0936E+01
0000111   1.9592E+02 -9.6711E+01  5.4263E+01
0000112   4.4671E+02 -1.5849E+02  1.3094E+02
0000113   2.8245E+02 -3.2454E+01 -2.7168E+01
0000114   2.2554E+02 -5.5069E+01 -1.0051E+02
0000116   1.8163E+02 -1.4257E+02 -3.1369E+01
0000117   1.7963E+02 -8.0074E+01  6.6696E+01
0000118   2.8129E+02  2.6362E+02 -1.1657E+02
0000119   2.0647E+02  2.1317E+02 -3.2315E+01
