============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   9.4927E+02  1.9377E-01 -2.9966E+02
0000002   2.0949E+02  1.3953E+02 -6.7305E+01
0000003   3.6832E+02 -4.4006E+02  4.0087E+02
0000004   1.8293E+02 -2.5815E+02 -9.7159E+01
0000005   3.7131E+02  3.6159E+01 -1.6139E+02
0000006   2.4710E+02  2.1158E+02 -1.5825E+02
0000007   5.0395E+02  7.6831E+01 -7.7372E+01
0000008   1.4114E+02 -2.5001E+02 -9.3890E+01
0000009   4.3516E+02 -3.7723E+02  7.9484E+01
0000010   3.3595E+02 -3.3970E+01  1.7500E+02
0000011   3.1895E+02 -8.5358E+01  2.4355E+02
0000012   5.6563E+01  1.1315E+02  2.7542E+02
0000013   6.6222E+02  2.7811E+02 -2.7875E+02
0000014   2.1937E+02 -2.1894E+02 -6.8690E+01
0000015   2.8591E+02 -1.3715E+02 -8.3823E+01
0000016   1.8936E+02  6.5812E+01 -4.0436E+01
0000017   5.2976E+02 -2.2942E+02  2.5012E+01
0000018   5.8339E+02  9.5022E+01 -3.2171E+01
0000019   1.0531E+02 -1.7519E+02 -2.2825E+02
0000020   3.6745E+02 -1.8582E+02 -5.1286E+01
0000021   3.8025E+02  4.1768E+01  1.4271E+02
0000022   4.3840E+02  2.7105E+02  1.1950E+02
0000023   1.4896E+02 -2.3902E+02  8.5982E+01
0000024   5.2145E+02  6.5563E+01  2.0729E+02
0000026   4.2726E+02 -2.2910E+02 -1.4404E+02
0000027   3.6836E+01  3.7559E+02  1.3117E+02
0000028   4.9214E+02  2.3051E+02  1.0705E+01
0000029   4.6875E+02  1.5488E+02  2.2894E+02
0000030   4.4988E+02 -1.7359E+02  4.0385E+01
0000031   6.2230E+02 -3.6236E+02  1.7143E+02
0000032   3.2734E+02  8.6083E+01 -2.9071E+02
0000033   5.1999E+02 -9.8280E+01  9.6324E+01
0000035   1.8080E+02 -3.5243E+02  2.1090E+02
0000036   6.1443E+02  7.9349E+01 -1.8527E+02
0000037   3.7952E+02 -1.4699E+02  9.4306E+01
0000038   2.9734E+02 -4.0771E+02  3.7223E+00
0000039   4.8232E+02 -2.0450E+02 -3.6694E+02
0000040   3.7363E+02 -1.6280E+02  1.3980E+02
0000041   1.5375E+02 -1.2639E+02  7.5912E+01
0000042   4.4138E+02 -3.7271E+02  2.3792E+01
0000043   4.0164E+02 -1.8833E+01 -9.8837E+01
0000044   1.7774E+02 -5.5040E+01 -1.2292E+02
0000045   4.8718E+02 -2.1724E+02 -1.5134E+02
0000046   4.8019E+02 -4.7519E+01 -2.3519E+02
0000047   4.3201E+02  3.4434E+01 -2.0516E+02
0000048   5.3008E+02 -8.8791E+01 -7.8596E+01
0000049   5.4844E+02 -1.3088E+02  1.6236E+02
0000050   1.1995E+02 -1.5859E+02 -1.6340E+02
0000051   4.2533E+02  2.0131E+02  1.2345E+02
0000052   6.3310E+02 -4.5227E+02 -1.9562E+01
0000053   4.5096E+02  2.2869E+02  2.9568E+02
0000054   2.8055E+02 -1.4412E+00  8.8648E+01
0000055   2.3271E+01 -1.7846E+02  2.0642E+02
0000056   4.0944E+02  2.9044E+01 -2.6065E+02
0000057   6.4794E+02 -2.4471E+02  1.2234E+02
0000058   3.5609E+02 -1.5278E+02 -3.3921E+02
0000059   4.0489E+02 -3.6237E+02  9.6861E+01
0000061   4.4240E+02 -2.3845E+02  3.0097E+02
0000062   4.5743E+02  4.8440E+02  1.1537E+02
0000063   4.3607E+02  2.0919E+02  2.3452E+02
0000064   2.8823E+02  1.8966E+02 -9.5433E-01
0000065   2.8769E+02 -3.2279E+02 -4.1843E+01
0000066   1.5667E+02 -3.1079E+02 -1.0517E+02
0000067   3.6551E+02 -1.0112E+02 -1.0442E+02
0000068   3.1761E+02 -1.2342E+02 -6.7729E+01
0000069   2.4148E+02  2.6053E+02 -3.6541E+02
0000070   7.7023E+02  1.7567E+01 -1.6319E+02
0000071   4.7343E+02 -2.2871E+02 -1.7996E+02
0000072   4.4990E+02  8.3341E+01 -2.7989E+02
0000073   2.5442E+02 -3.3971E+02  1.6174E+00
0000074   1.6184E+02  1.5683E+01  2.2242E+02
0000076   7.5455E+01  9.6407E+01 -2.4568E+01
0000077   5.6440E+02 -2.5407E+02 -3.6729E+01
0000078   2.3251E+02 -7.0649E+01  1.2282E+02
0000079   3.9253E+02  2.1183E+02 -1.5036E+02
0000080   2.3548E+02 -1.0226E+02  8.3335E+01
0000081   5.3456E+02  1.6350E+02 -2.8794E+02
0000082   4.4602E+02  3.7245E+02  6.7258E+01
0000083   2.7923E+02 -2.7604E+01 -3.5986E+01
0000084   6.5991E+02 -6.9245E+01  2.8529E+02
0000085   1.7507E+02 -1.0619E+02 -1.6970E+01
0000086   2.2825E+01  1.4508E+01  4.7044E+02
0000087   3.0924E+02 -3.6030E+02  1.2259E+02
0000088   2.9691E+02  2.6407E+02 -1.8716E+02
0000089   3.3180E+02 -2.6611E+02  5.9594E+01
0000090   3.7814E+02 -2.8576E+02 -1.2050E+02
0000091   6.5115E+02 -3.5796E+01  1.8726E+02
0000092   4.0349E+02  7.5202E+01  1.7055E+01
0000093   3.3670E+02  3.7577E+02 -4.0787E+02
0000094   2.6445E+02 -1.0326E+02 -7.1581E+01
0000095   3.0613E+02  1.5226E+02  8.9754E+01
0000096   2.6734E+02 -1.8559E+02 -9.3992E+01
0000097   6.9918E+02 -1.9265E+02 -7.7683E+01
0000098   5.2988E+02 -7.2018E+01 -3.1806E+02
0000099   6.0383E+02  1.2432E+02  7.1272E+01
0000100   1.8916E+02  6.3669E+01 -9.8743E+01
0000101   3.5824E+02  3.2733E+01  2.5420E+02
0000102   4.2509E+02  8.3367E+01 -3.2166E+02
0000104   6.9296E+02 -3.6489E+01  8.5810E+01
0000105   9.2281E+01 -3.2074E+01  1.2871E+02
0000106   2.7644E+02 -3.3870E+02 -1.7375E+02
0000107   1.0136E+02 -1.0479E+02  8.7914E+01
0000108   2.5638E+02 -2.7468E+02  1.9008E+02
0000109   4.1335E+02  2.4909E+02  3.8671E+01
0000110   4.1897E+02  2.9244E+01 -3.8216E+02
0000111   8.5001E+02 -9.7934E+00 -2.1252E+02
