============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.5066E+02  7.5212E+01 -8.3854E+01
0000002   2.2494E+02 -2.9895E+01 -1.3230E+02
0000003   1.1299E+02 -5.7556E+00 -3.0679E+01
0000004   3.9329E+02  1.7218E+02 -2.6123E+00
0000005   2.6568E+02 -7.2439E+01  3.7462E+00
0000006   4.7607E+02  1.1619E+02  2.9389E+02
0000007   1.9135E+02 -5.9046E+01  1.4946E+02
0000009   3.2826E+02 -5.2143E+01 -2.4023E+01
0000010   2.6071E+02 -2.5767E+02 -9.4394E+01
0000011   1.7747E+02  2.9303E+01  6.7223E+01
0000012   9.1965E+01  9.7459E+01  7.2928E+01
0000013   1.9313E+02 -2.4454E+02 -4.4134E+01
0000014   2.0205E+02  1.4339E+02  1.3487E+02
0000015   1.5738E+02  3.2109E+01  7.8460E+01
0000016   4.3556E+02 -1.1740E+02 -7.1906E+01
0000017   1.3064E+02 -6.1690E+01 -5.5970E+01
0000018   3.5690E+02 -2.3356E+01  2.4609E+01
0000019   4.8255E+02  1.4772E+01 -6.9721E+01
0000020   1.7540E+02 -8.7678E+00 -1.0247E+02
0000021   8.6969E+01 -3.2674E+02 -5.7415E+01
0000022   1.5191E+02 -1.5245E+02  1.0758E+02
0000023   2.0064E+02 -3.8228E+01 -3.8019E+01
0000024   5.0567E+02 -1.0468E+02  1.0909E+02
0000025   1.5976E+02 -2.5955E+02  3.1888E+01
0000026   3.0370E+02 -1.8806E+02 -7.2486E+01
0000027   4.4786E+02 -4.8400E+01 -1.4577E+02
0000028   7.3123E+01 -2.0491E+02  1.3182E+02
0000029   2.5911E+02  1.8204E+02 -2.6707E+02
0000030   4.0566E+02 -1.5117E+02  6.8988E+01
0000031   3.1528E+02 -4.6593E+01 -1.5954E+02
0000032   2.0780E+02 -9.3619E+01  7.6530E+01
0000033   1.2172E+02  1.2762E+02  9.5707E+01
0000034   1.9002E+02 -1.9816E+02 -1.2308E+02
0000035   1.5913E+02  2.9603E+01 -1.8921E+01
0000036   8.3936E+01  8.6432E+01  6.6540E+01
0000037   1.7143E+02 -4.8330E+00  8.1719E+01
0000038   1.6343E+02  1.0718E+01  6.0002E+01
0000039   2.4111E+02 -1.2905E+01  2.1813E+02
0000040   7.4868E+01  3.1691E+01 -4.9258E+01
0000041   8.3845E+01  3.9051E+01 -1.0645E+01
0000042   1.3167E+02 -1.1330E+02  1.7266E+02
0000043   1.3150E+02 -1.0116E+01 -1.4097E+02
0000044   7.2074E+01 -1.3304E+02 -1.8153E+02
0000045   1.7469E+02  8.8202E+01 -2.2505E+00
0000046   2.8013E+02 -1.9096E+02 -1.4376E+02
0000047   1.2349E+02 -1.1008E+01  3.2062E+01
0000048   1.6722E+02  1.3998E+02  3.1998E+01
0000049   2.1844E+02  1.5560E+01 -1.2193E+02
0000050   2.5075E+02  1.4123E+02  4.3540E+01
0000051   1.9753E+02 -1.6318E+02  1.4432E+02
0000052   6.5523E+01 -1.8201E+02  8.4041E+00
0000053   1.8494E+02 -9.7826E+01 -2.0393E+02
0000054   6.8574E+01 -1.0877E+02  1.3282E+02
0000055   1.7555E+02 -2.6071E+02 -1.1403E+02
0000056   1.4867E+02 -2.2703E+02  1.2055E+02
0000057   3.7214E+01  2.1097E+01 -2.8448E+02
0000058   3.2870E+02  2.8144E+02 -8.7052E+01
0000059   4.2969E+02  3.2196E+01 -8.9716E+01
0000060   2.6436E+02  5.4259E+01  1.1218E+02
0000061   2.6897E+02  2.1065E+02 -2.4488E+01
0000062   1.9484E+02 -1.7982E+02  2.8950E+02
0000063   1.9677E+02 -1.1906E+02 -1.1840E+02
0000065   6.5313E+01 -4.5018E+01  8.9619E+01
0000066   4.5189E+02  3.5535E+01 -9.3780E+00
0000067   2.4017E+02  7.8702E+01  2.2234E+01
0000069   1.6982E+02  1.5920E+02 -3.8837E+01
0000070   1.7167E+02  2.7173E+02 -8.2634E+01
0000071   1.1918E+02 -2.2020E+02  1.5801E+02
0000072   8.0033E+01 -1.7804E+02  6.5306E+01
0000074   1.9175E+02 -1.5723E+01  1.4402E+02
0000075   1.8454E+02  1.9865E+01  9.7543E+01
0000076   1.0554E+02  1.2127E+01 -1.4452E+02
0000077   2.1230E+02 -6.2607E+01  2.1033E+02
0000078   1.6075E+02 -1.6914E+02 -1.1641E+02
0000079   6.0529E+01 -1.4750E+01 -9.0129E+01
0000080   4.2703E+02  6.6384E+01 -3.5172E+01
0000081   2.4071E+02 -2.9980E+01 -1.4206E+02
0000082   2.3212E+02  6.9559E+01 -1.6609E+02
0000083   3.5682E+02 -5.5303E+01 -3.4040E+01
0000084   1.5092E+02 -1.4754E+01  9.7552E+01
0000085   2.4232E+02  1.0607E+01 -1.2919E+02
0000086   3.0851E+01 -7.7960E+01  2.3061E+01
0000087   2.9083E+02 -1.0994E+02  1.2092E+02
0000088   2.4506E+02 -1.2166E+02  1.9455E+02
0000089   3.4809E+02  1.7600E+02  2.1830E+02
0000090   3.4128E+02  1.6511E+02 -5.1723E+01
0000091   5.8251E+01 -2.4158E+01 -3.1145E+01
0000092   1.9983E+02  5.3257E+01  1.2535E+02
0000093   1.1931E+02  1.0607E+02 -7.5361E+01
0000094   1.7312E+02  9.2552E+01 -3.1636E+01
0000095   1.2865E+02 -1.0049E+01  9.5896E+01
0000096   4.2895E+02 -1.1119E+02  2.4054E+01
0000097   5.5509E+01 -9.4156E+01 -7.0445E+01
0000098   1.5947E+02 -7.6160E+01 -2.1661E+00
0000099   2.0292E+02  7.6203E+01 -4.2753E-01
0000100   3.8561E+02 -2.4337E+02 -9.3656E+01
0000101   2.1282E+02  3.4951E+01  1.0520E+02
0000102   2.0965E+02  1.2721E+02 -1.7108E+02
0000103   2.7102E+02 -2.1227E+01 -6.2246E+01
0000104   4.0142E+02 -2.2761E+02 -2.0214E+02
0000105   2.0308E+02 -8.5437E+01  1.6678E+01
0000106   3.1101E+01  1.0735E+02 -1.9397E+02
0000107   2.1804E+02 -6.1046E+01  1.3313E+02
0000108   1.7803E+01  4.5509E+01 -1.5935E+02
0000109   3.8742E+01  9.8832E+01  1.3314E+02
0000110   3.0191E+02 -9.3716E+01 -7.4042E+01
