============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.7708E+02 -2.3537E+01 -2.5965E+01
0000002   2.2171E+02 -1.0398E+02  6.2617E+01
0000003   2.1311E+02  3.9319E+01  2.3694E+01
0000004   9.7131E+01  3.0826E+01  9.0269E+01
0000005   1.7848E+02  9.4035E+01 -2.7260E+02
0000006   6.7027E+01 -9.9562E+01  1.0684E+01
0000007   9.1909E+01  4.8043E+01 -3.6291E+01
0000009   1.4128E+02  1.4701E+02  6.4579E+01
0000010   2.2274E+02 -3.0265E+01 -5.3331E+01
0000011   1.3763E+02 -1.3659E+02  1.2736E+02
0000013   1.7602E+02 -1.4305E+02  2.0850E+01
0000014   2.2732E+02  2.2779E+00  9.9501E+01
0000015   5.9378E+01  5.0213E+01  1.1393E+02
0000016   4.5892E+02  1.5866E+02  2.5314E+01
0000017   1.8725E+02  2.2611E+01  3.9634E+01
0000018   1.7412E+02  1.6111E+02 -5.8166E+01
0000019   2.5332E+02  8.6877E+01  6.0633E+01
0000020   2.6684E+02  1.6439E+02  1.8564E+01
0000021   2.0102E+02 -3.9835E+01  1.2925E+02
0000022   1.9716E+02 -1.9016E+01  4.2546E+01
0000023   2.2702E+02  2.3132E+02 -8.7366E+01
0000024   1.6876E+02 -1.1605E+02 -8.7929E+01
0000025   2.6663E+02  8.1409E+01 -9.9276E+01
0000026   5.2762E+02 -7.9251E+01  3.7296E+00
0000028   2.4865E+02 -1.1094E+02 -1.7418E+02
0000029   7.4442E+01  1.4717E+02  9.9124E+01
0000030   2.1553E+02  7.1351E+01  5.5777E+01
0000031   4.3046E+02 -3.7076E+01 -1.6256E+02
0000032   2.0471E+02  3.8327E+01 -3.5725E+01
0000033   1.8579E+02 -9.1320E+01  1.0597E+02
0000034   6.6234E+01 -1.6393E+02 -2.3975E+01
0000035   3.7015E+02  7.0280E+01 -1.0358E+02
0000036   2.3154E+02  1.2169E+01 -6.8117E+01
0000037   1.9402E+02  8.2578E+01 -1.4084E+02
0000038   2.2252E+01  4.3172E+01 -3.5754E+01
0000039   3.0984E+02  1.7858E+02  1.1772E+02
0000040   1.0833E+02 -2.2990E+01 -2.1230E+01
0000041   1.0337E+02 -3.2662E+01 -5.2295E+01
0000042   2.9987E+02 -1.5613E+02  1.8244E+02
0000043   1.9914E+02 -1.5985E+02  7.8189E+01
0000045   1.2949E+02  3.2107E+01 -8.6682E-01
0000046   3.1968E+01 -1.4594E+02 -3.0752E+01
0000047   1.9316E+02 -2.9469E+02 -9.8745E+01
0000048   1.0119E+02 -2.2370E+02  2.1281E+02
0000049   1.4405E+02  3.6406E+01  1.0608E+02
0000051   2.6074E+02  7.9507E+01 -2.0076E+01
0000052   2.9456E+02 -1.8442E+01  6.4487E-01
0000053   2.1476E+02 -1.5167E+02  1.5946E+02
0000054   2.6771E+02 -1.8803E+02 -1.7790E+02
0000055   1.5639E+02  3.4419E+01 -1.0732E+02
0000056   2.4345E+02  4.8841E+01  1.8249E+01
0000057   2.2256E+02 -3.4780E+01 -3.5959E+01
0000058   1.4693E+02 -4.6314E+01  9.0637E+01
0000059   6.3366E+01 -1.3640E+02 -4.9830E+01
0000060   3.4747E+01 -7.7723E+01 -1.7485E+01
0000061   2.1906E+01  6.3986E+01  8.3228E+01
0000062   3.2955E+02  1.1840E+02 -8.8899E+01
0000063   8.6989E+01  1.6959E+02 -6.9111E+01
0000064   2.1794E+02  6.4317E+01 -1.8272E+01
0000065   1.1604E+02  6.0604E+01 -7.0294E+01
0000066   3.1681E+02 -1.6395E+02  1.6125E+01
0000067   2.8665E+02 -1.3726E+02 -1.8641E+02
0000068   9.1542E+01  2.9999E+01  1.1249E+02
0000069   2.5517E+02  6.0502E+01  5.7760E+01
0000070   2.1274E+02 -4.1619E+01  1.1964E+02
0000071   3.9842E+02 -1.8388E+02  1.0955E+02
0000072   2.7584E+02  5.0816E+01 -2.6910E+01
0000073   3.5686E+02 -7.1766E+01  1.0960E+02
0000074   1.3423E+02 -6.7457E+01  5.7921E+01
0000075   2.6646E+02  1.6544E+02  5.3073E+01
0000077   1.8843E+02  1.5671E+02 -2.2685E+02
0000078   3.5039E+02 -1.2521E+02 -4.1824E+01
0000079   2.0142E+02 -7.5761E-02 -7.8670E+00
0000080   2.2048E+02 -1.5480E+02  1.3084E+02
0000081   1.4435E+02 -1.2598E+02  1.1309E+02
0000082   1.5391E+02 -2.4568E+02  5.5181E+01
0000083   3.9675E+02 -5.9456E+01 -1.4726E+01
0000084   5.2988E+02  3.8570E+02  7.6532E+01
0000085   2.5327E+02 -1.4042E+02 -3.2288E+01
0000087   1.1908E+02 -7.7803E+01  4.4306E+01
0000088   3.6131E+02  2.8257E+01  8.1979E+01
0000090   3.7168E+01 -3.2554E+01  7.1102E+01
0000091   1.4323E+02  8.0937E+01  9.1564E+01
0000092   1.3088E+02 -3.8320E+01 -9.9865E+01
0000093   1.2618E+02 -3.3544E+01 -1.5425E+02
0000094   2.7274E+02  3.2727E+01  2.0798E+02
0000095   4.5877E+02 -1.3618E+02 -1.1085E+02
0000096   7.2613E+01  3.2989E+01 -5.3437E+01
0000097   1.8691E+02 -8.0585E+01 -1.4375E+02
0000098   8.5168E+01  1.4062E+02 -1.1411E+02
0000099   3.8412E+02 -3.0263E+01 -2.5236E+02
0000100   3.4701E+02  9.3003E+01 -2.6654E+02
0000101   2.1588E+02  6.4276E+00 -2.0036E+02
0000102   2.1145E+02 -1.8887E+00 -6.1156E+01
0000103   3.7168E+02  8.6482E-01 -4.2586E+01
0000104   2.8041E+02 -2.5362E+02  2.9344E+02
0000105   3.8273E+02  1.8528E+02 -1.5448E+02
0000106   1.3826E+02 -1.2815E+01  1.2563E+01
0000107   1.5959E+02 -1.1158E+01  9.5522E+01
0000108   1.7823E+02  1.6912E+02 -5.9725E+01
0000109   2.3444E+02 -1.0021E+02  2.6002E+00
0000110   3.6243E+02  1.4780E+02  1.2046E+02
0000111   3.0115E+02  5.9480E+01 -6.0461E+01
0000112   1.4648E+02 -3.9728E+01  2.8457E+01
0000113   4.4657E+02 -4.7269E+01 -1.2942E+02
0000114   1.1753E+02 -9.9644E+01 -6.2823E+01
