============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   9.4727E+01 -3.3560E+01  3.3816E+01
0000002   1.8264E+02  2.0710E+01  1.1464E+02
0000003   6.5272E+01 -1.8657E+02 -6.8303E+01
0000004   3.6443E+02 -1.6454E+02  5.3636E+01
0000005   2.3601E+02 -2.0158E+02  7.1361E+01
0000006   2.6171E+02  1.8354E+01  6.5423E+01
0000007   2.2299E+02 -5.0338E+01  1.7506E+02
0000008   1.5907E+02  7.1693E+01  2.9386E+01
0000009   1.0131E+02  1.0939E+02 -1.4294E+01
0000010   2.8582E+02 -1.3096E+02 -4.1625E+00
0000012   1.2960E+02 -9.6231E+00  4.6732E+01
0000013   1.7440E+02 -8.3546E+01  1.3563E+02
0000014   2.6223E+02 -1.0556E+02 -6.4643E+01
0000015   7.2009E+01 -1.3425E+02  7.1745E+01
0000016   1.5732E+02 -1.9808E+00  3.4577E+00
0000017   3.9439E+02 -1.1461E+02 -1.6423E+02
0000018   2.7151E+02  1.8003E+02 -2.1963E+02
0000019   4.1134E+01 -8.2230E+01 -1.2532E+01
0000020   1.5571E+02 -8.7380E+01 -2.5026E+02
0000021   2.4884E+02  2.2215E+02 -1.0097E+02
0000022   2.0590E+02 -1.1319E+02  3.5163E+01
0000023   1.4218E+02  1.1285E+01 -1.3637E+02
0000024   2.0051E+02 -1.1213E+02  5.4617E+01
0000025   2.1565E+02 -5.2501E+01  4.5103E+01
0000026   3.8209E+02 -2.0188E+02  3.9158E+01
0000027   2.4464E+02 -1.1545E+02 -7.5799E+01
0000028   9.2909E+01  8.6968E+01 -3.0607E+01
0000029   2.1128E+02 -1.1032E+01 -8.1483E+01
0000030   9.9693E+01  4.2091E+00 -1.7137E+02
0000031   3.0869E+02 -1.9206E+01 -1.8261E+02
0000032   2.4623E+02 -4.2082E+01  6.9994E+01
0000033   9.3575E+01  8.7955E+01 -5.2383E+01
0000034   9.1426E+01 -1.9560E+02  1.6153E+02
0000035   3.8073E+01 -1.3493E+02 -2.7208E+01
0000036   8.1559E+01 -6.0592E+01 -5.2639E+00
0000037   3.5508E+02 -1.5347E+02  3.2935E+01
0000038   5.4453E+01  1.1628E+02 -1.5179E+02
0000039   3.3519E+02 -1.1193E+02  1.3890E+02
0000040   1.5223E+02  1.4386E+02 -2.6121E+02
0000041   2.3464E+02 -4.4227E+01 -3.8519E+00
0000042   2.7672E+02  7.4820E+01  2.3190E+02
0000043   2.4711E+02 -1.3072E+02  6.8547E+01
0000044   1.6192E+02 -5.9520E+00  1.4612E+01
0000045   3.8091E+02  1.8919E+02 -2.1489E+02
0000046   2.8460E+02 -5.6521E+01  2.1257E+01
0000047   1.8431E+02 -6.8141E+01  1.5372E+02
0000049   4.1059E+02  3.9863E+01  6.6403E+01
0000050   2.2537E+02 -3.0613E+01 -1.7988E+02
0000051   2.9665E+02 -1.6617E+02  2.4613E+02
0000052   2.5860E+02 -8.1795E+01  1.1446E+01
0000053   9.4665E+01  5.9687E-01  1.0558E+02
0000054   3.1809E+02  3.1764E+01  3.2238E+02
0000055   1.1113E+02  7.6617E+01 -2.3579E+01
0000056   1.7422E+02 -1.5106E+02 -5.0910E+01
0000057   1.1303E+02 -9.7697E+01 -5.4584E+01
0000058   2.2082E+02 -2.5299E+01 -6.3228E+01
0000059   5.4311E+01  3.1481E+01  5.6950E+01
0000060   3.2912E+02  3.1425E+02  1.6323E+02
0000061   1.3585E+02 -1.5071E+02 -1.1125E+02
0000062   2.0231E+02 -1.4915E+02  1.4225E+02
0000064   2.1637E+02 -5.2958E+01  2.0935E+01
0000065   2.7210E+02 -1.6738E+02 -3.9033E+01
0000066   1.4705E+02  5.6998E+00 -8.5290E+01
0000067   2.2184E+02  1.2424E+02  2.8295E+02
0000068   2.1428E+02  5.7555E+01  3.0974E+02
0000069   1.8817E+02 -7.8998E+01 -2.2124E+02
0000070   7.7617E+01  5.4093E+01  8.0876E+01
0000071   2.5633E+02 -8.8288E+01 -2.8502E+02
0000072   1.3622E+02  3.0051E+02 -2.2830E+02
0000073   1.3716E+02  2.3033E+01  2.1081E+01
0000074   4.1156E+02 -1.3228E+02 -1.3521E+02
0000075   1.8950E+02  8.7499E+01 -2.7943E+01
0000077   2.8012E+02  1.0894E+02  1.0532E+02
0000078   1.1314E+02  1.1843E+02  1.7327E+02
0000079   1.9743E+02  3.5982E+01  4.3417E+01
0000080   1.2852E+02  2.7946E+01 -1.3581E+02
0000081   1.3348E+02 -6.2045E+01  6.7103E+01
0000082   1.0900E+02 -9.7823E+01  3.2820E+01
0000083   8.6772E+01  3.6329E+01 -3.3628E+01
0000084   2.5013E+02  7.3663E+01 -1.2298E+01
0000085   3.6248E+01  7.9915E+01 -9.5999E+01
0000086   1.2335E+02 -1.1959E+02 -1.3716E+02
0000087   1.8043E+02 -7.1986E+01  2.3434E+02
0000088   9.2413E+01 -1.4473E+02  2.7531E+02
0000089   1.5841E+02  2.1925E+02 -1.4802E+02
0000090   2.5619E+02  1.7060E+02  5.7162E+01
0000091   1.5645E+02 -2.5242E+01  1.3247E+02
0000092   2.4278E+02  1.0487E+02  6.9588E+01
0000093   2.9797E+02 -5.6348E+01  8.7406E+01
0000094   3.8801E+02 -7.2013E+01 -8.1108E+01
0000095   8.9816E+01 -4.7745E+01  3.4370E+01
0000096   9.6290E+01 -1.0305E+02 -6.4777E+01
0000097   1.7182E+02  2.2219E+01  2.3534E+02
0000098   6.5443E+01  1.0267E+02 -4.8317E+01
0000099   3.6648E+02 -2.2839E+02 -7.8794E+01
0000100   4.2249E+02 -1.4675E+02 -5.3234E+00
0000101   1.6930E+02 -7.4557E+01  9.6614E+01
0000102   2.5482E+02 -9.4432E+01  5.4204E+01
0000103   6.0385E+01 -5.2945E+01 -5.0874E+01
0000105   1.2567E+02  9.0206E+01 -8.8578E+01
0000106   9.9662E+01 -3.4480E+01 -2.6429E+01
0000107   1.8441E+02  1.5583E+02  2.1085E+01
0000108   8.2951E+01 -5.4792E+01  3.6241E+00
0000109   2.9656E+02 -9.9410E+01  9.1789E+01
0000110   1.5011E+02  3.1806E+01 -1.7589E+02
0000111   2.2199E+02 -4.0971E+01  2.6493E+01
