============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.8808E+02  1.3478E+02  4.4924E+01
0000002   7.9054E+01  9.7728E+01  2.7733E+02
0000003   3.1966E+02  7.0115E+01  1.0957E+02
0000004   3.0064E+02 -9.6506E+01 -4.5859E+01
0000005   8.8544E+01 -1.2642E+02 -1.0714E+02
0000006   2.7115E+02 -1.7443E+02 -7.0127E+01
0000007   1.7722E+02 -1.0540E+02 -7.9720E+01
0000009   5.0350E+02 -3.1855E+01  6.5796E+01
0000010   2.3726E+02 -1.8947E+02 -1.6056E+02
0000011   3.3438E+02  5.7936E+01  1.5526E+02
0000012   1.9719E+02 -1.5730E+02 -1.6142E+02
0000013   2.8948E+02 -1.2889E+02  3.9676E+01
0000014   1.9041E+02  6.4814E+01 -9.6059E+01
0000015   7.2207E+01  4.9342E+01 -6.0951E+01
0000016   3.2713E+02  7.7814E+01  7.1275E+01
0000017   1.7441E+02 -9.4803E+01 -6.2973E+00
0000018   5.2862E+01  1.6158E+02  7.9616E+01
0000019   1.0661E+02 -5.4014E+01  1.3762E+01
0000020   4.0144E+02  1.0514E+01 -2.2193E+01
0000021   3.0635E+02 -3.9186E+01  6.9630E+01
0000022   4.9629E+02  6.9674E+01  1.5936E+02
0000023   1.8782E+02  2.5749E+00  3.0184E+02
0000024   3.3321E+02  3.9847E+00  3.1373E+01
0000025   2.2846E+02 -3.5527E+01 -2.1537E+01
0000026   1.5486E+02  1.8819E+01 -2.1684E+02
0000027   3.2597E+02  6.4757E+01 -3.6539E+01
0000028   2.8082E+02 -7.1571E+01 -1.3043E+01
0000029   2.0083E+02  7.7158E+01  1.8554E+02
0000030   2.3376E+02 -2.1780E+02  7.8329E+01
0000031   2.1397E+01  3.2488E+01  4.8815E+01
0000032   9.2769E+01  1.1245E+02  2.9497E+01
0000033   1.9582E+02 -5.1723E+01  1.1574E+02
0000034   2.9151E+01 -1.0626E+02 -1.1439E+02
0000036   2.0139E+01  5.0962E+01 -7.1062E+01
0000037   1.0577E+01 -2.8808E+01 -1.7611E+02
0000038   1.9463E+02 -5.2672E+01 -2.4395E+01
0000039   4.9421E+01 -4.6206E+01 -1.5741E+02
0000040   8.2319E+01 -1.1501E+02 -1.2972E+02
0000041   2.5785E+02  2.8752E+02  4.0544E+01
0000042   5.9942E+01  6.6574E+01 -1.7518E+01
0000043   8.3885E+01  5.5567E+01 -2.1945E+01
0000044   2.3220E+02 -1.3793E+02 -9.5926E+01
0000045   8.9296E+01 -1.0722E+02 -2.5689E+01
0000046   1.5602E+02  4.6315E+01  1.4554E+01
0000047   2.2155E+02 -1.4312E+02 -1.6158E+02
0000048   2.6424E+02 -4.9447E+01 -2.5010E+01
0000049   7.4402E+01  2.4556E+01 -3.4097E+01
0000050   2.7255E+02 -3.1225E+02  8.1898E+00
0000051   3.0176E+02  2.2033E+01 -8.8067E+01
0000052   2.7594E+02  1.2260E+02 -1.7119E+02
0000054   1.7740E+02 -2.5795E+01 -1.8270E+02
0000055   8.2580E+01 -5.5821E+01 -4.9441E+01
0000056   3.0887E+02 -5.3367E+01 -2.6182E+02
0000057   5.8004E+01  1.1654E+02  3.1458E+01
0000058   2.5644E+02 -1.0400E+02 -1.7268E+02
0000059   5.1404E+01  1.4008E+01 -1.4510E+02
0000060   2.8638E+02 -5.8065E+01  1.4889E+02
0000061   2.6000E+02  2.2354E+02  1.4677E+02
0000062   2.5911E+02  9.8212E+01 -1.1942E+02
0000063   1.6537E+02 -3.9568E+01 -7.2356E+01
0000064   2.1630E+02  1.7538E+02  7.7628E+01
0000065   2.6142E+02  1.4040E+02 -1.7450E+02
0000066   2.2179E+02 -1.4013E+02  1.7315E+02
0000067   2.3353E+02  2.6473E+01  1.2000E+02
0000068   2.9413E+02  1.7397E+02  2.3536E+01
0000069   7.6613E+01  1.3367E+01  1.6821E+01
0000070   1.7151E+02  2.1542E+00 -9.1036E+00
0000071   1.0295E+02  3.1695E+01 -1.0423E+02
0000072   2.2802E+02 -1.4463E+01 -1.5365E+02
0000073   4.0827E+01 -3.9951E+01  9.8357E+01
0000074   7.5486E+01 -2.8800E+01 -8.2530E+01
0000075   3.7721E+02  4.4445E+01 -6.0733E+00
0000076   1.4046E+02 -1.8249E+02 -1.7673E+01
0000077   4.8784E+02  1.7055E+02  6.6225E+01
0000078   1.3849E+02  2.5103E+01  8.1281E+01
0000079   2.4215E+02 -1.2630E+02 -1.2407E+02
0000080   2.5218E+02 -8.5617E+01 -1.6807E+02
0000081   2.9842E+01 -1.9124E+02 -2.0146E+02
0000082   1.8390E+02 -9.1898E+01  7.3913E+01
0000083   1.5127E+02  1.2750E+02 -6.9568E+01
0000084   2.9159E+01 -2.4628E+02 -1.9766E+01
0000085   3.3591E+01 -2.0365E+02  8.9759E+01
0000086   2.5137E+02  2.9208E+01  3.1735E+02
0000087   1.8454E+02 -6.6088E+01 -1.3647E+02
0000088   9.0208E+01 -1.8291E+01 -2.6526E+01
0000089   1.8092E+02  6.4779E+01 -9.7620E+00
0000090   2.8051E+02  1.7212E+02  1.6941E+02
0000091   2.0205E+02  8.7923E+00  9.6129E+01
0000092   2.2159E+02 -2.9272E+01 -6.3015E+01
0000093   5.5233E+01 -1.0340E+02 -1.0076E+02
0000094   3.5407E+02 -1.0060E+02 -2.3266E+00
0000095   4.4818E+02  1.1665E+02 -2.8093E+02
0000096   1.7871E+02 -3.0549E+01  2.2121E+02
0000097   5.2649E+01  1.1225E+02  1.5331E+01
0000098   2.6950E+02 -1.5531E+00 -1.3461E+02
0000099   1.2610E+02  8.7442E+01  1.6004E+01
0000100   4.0692E+02 -3.0509E+02  9.6005E+01
0000101   3.4388E+02  4.2906E+01 -9.4286E+01
0000102   3.6375E+02 -2.0234E+02  7.9928E+00
0000103   2.5268E+02  2.5174E+01 -2.1198E+01
0000104   1.1252E+02  2.6301E+01  2.1129E+02
0000105   2.4727E+02  6.8916E+01  9.1293E+01
0000106   1.5028E+02 -2.0840E+02 -2.6637E+01
0000107   1.2343E+02  7.4871E+01  7.7130E+01
0000108   1.1201E+02 -2.0020E+02  4.0584E+01
0000109   2.7806E+02  2.4800E+01  4.1654E+02
