============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.5858E+02  3.9517E+01 -9.0074E+01
0000002   2.0024E+02  6.0412E+00  3.8864E+00
0000004   1.7592E+02 -1.5921E+02  2.1340E+02
0000005   6.0878E+01 -2.4350E+01  9.7555E+01
0000006   1.1458E+02 -1.4575E+02  2.5197E+02
0000007   1.3594E+02 -1.0500E+01 -2.0785E+02
0000008   2.4223E+02 -1.1893E+02  7.9275E+01
0000009   3.5335E+02  1.7904E+02  1.6966E+02
0000010   2.4834E+02  1.8020E+02 -5.5944E+01
0000011   3.0986E+02 -2.4803E+01  8.7123E+01
0000012   4.7071E+02  6.3628E+01 -2.3863E+02
0000013   2.7461E+02  7.3743E+01 -5.0780E+01
0000014   5.0323E+01  6.6763E+01 -3.8381E+01
0000015   5.8558E+01  2.7127E+02 -6.3076E+01
0000016   1.8481E+02 -2.6319E+01  1.2334E+02
0000017   2.1419E+02 -3.0731E+00 -2.7731E+02
0000018   6.9843E+01  1.7604E+02 -5.9641E+01
0000019   4.1917E+02  1.5502E+02  5.6235E+01
0000021   2.8843E+02  7.6465E+00 -5.3683E+01
0000022   4.2458E+01  2.3768E+02  1.1978E+02
0000023   6.2231E+01 -1.0576E+01  5.7395E+01
0000025   1.3951E+02  4.3357E+01  3.3178E+01
0000026   8.3765E+01 -9.6738E+01 -2.1955E+02
0000027   1.8094E+02 -4.2374E+01  5.1400E+01
0000028   3.2241E+02  9.4775E+01 -1.4711E+01
0000029   4.2656E+00  9.1441E+00 -3.8848E+01
0000030   3.2073E+02  7.3832E+01 -6.5946E+01
0000031   1.3476E+02  8.4786E+01  1.1815E+02
0000032   2.0362E+02  7.8310E+01  9.0599E+01
0000033   1.3847E+02 -8.3415E+01 -8.8096E+01
0000034   2.6344E+02 -4.0728E+00 -1.4323E+02
0000035   1.6487E+02  2.3822E+01  1.4838E+01
0000036   3.5346E+02 -7.6538E+01  1.4420E+01
0000037   3.7404E+02  6.6651E+01  2.1189E-01
0000038   2.7450E+01 -1.6226E+01  3.3484E+01
0000039   2.6890E+02  1.2024E+01 -3.3404E+02
0000040   1.8909E+02 -3.9661E+01 -1.3021E+02
0000041   2.0244E+02  2.9284E+02 -1.2913E+02
0000042   2.8186E+02 -3.6415E+02  2.9636E+01
0000043   4.0231E+02 -1.7943E+01 -6.6798E+01
0000045   1.8925E+02  4.5540E+01  1.5743E+00
0000046   1.3339E+02 -1.4512E+02 -1.1110E+02
0000047   2.1103E+02  1.2830E+02 -2.3131E+02
0000048   9.1979E+01 -4.9882E-01  1.7542E+01
0000049   1.8705E+02  3.2339E+02 -1.4781E+02
0000050   5.9655E+01 -7.3373E+01 -2.2960E+02
0000051   7.7870E+01  7.8849E+00 -1.1559E+02
0000052   8.2057E+01 -1.3850E+02 -3.9894E-01
0000053   2.3824E+02 -9.1000E+01  8.3225E+01
0000054   1.2709E+02  1.8724E+02 -1.3907E+02
0000055   2.0735E+02 -7.1460E+00 -7.9116E+00
0000056   3.2923E+01 -6.6865E+01 -1.1089E+02
0000058   2.4896E+02  8.1847E+01  1.5433E+02
0000059   2.7269E+02  3.1272E+01 -1.9666E+02
0000060   3.4272E+02 -8.5886E+01  1.1092E+02
0000061   2.3151E+02 -1.4855E+02 -3.3284E+01
0000063   7.7723E+01  1.9937E+01  6.0949E+01
0000064   3.2274E+02  1.6348E+02  1.4816E+02
0000065   1.3735E+02  8.4495E+01 -5.4421E+01
0000066   3.9741E+02  3.7779E+01 -4.7966E+01
0000067   3.2183E+02 -2.1617E+02 -1.0123E+02
0000068   5.5726E+01 -7.9948E+01  4.3070E+01
0000069   1.8795E+02  7.8280E+01  1.1412E+02
0000070   2.0263E+02  1.6321E+02  1.6210E+01
0000071   2.3782E+02 -1.7717E+01  1.1249E+02
0000072   3.9391E+02 -3.7894E+01  1.4306E+01
0000073   1.4650E+02 -1.0017E+02 -1.0543E+00
0000074   2.0293E+02 -1.7486E+01  5.4985E+00
0000075   1.7932E+02  1.6474E+02  9.1121E+01
0000076   1.2420E+02 -1.4850E+01  2.1690E+02
0000077   1.3307E+02  2.4823E+02  6.1154E+01
0000078   4.5081E+02 -6.1306E+01 -2.4770E+01
0000079   1.4261E+02  6.5371E+01 -5.6473E+01
0000080   2.1046E+02 -1.9635E+02 -1.4534E+02
0000081   1.7378E+02  2.0363E+02 -6.7391E+01
0000083   1.1662E+02 -5.8045E+00 -2.2295E+01
0000084   1.4037E+02  1.2525E+02  1.4003E+02
0000085   1.3908E+02 -2.1377E+02  8.5392E+01
0000086   3.1125E+02 -8.9554E+01 -3.2649E+01
0000087   2.7454E+02 -4.5419E+01  2.0924E+02
0000088   2.5446E+02  4.9765E+01  7.0652E+00
0000089   8.4597E+01  8.9302E+01  6.7212E+01
0000090   1.1678E+02  1.0132E+02 -2.2820E+02
0000091   9.7278E+01  1.1293E+02 -1.2072E+02
0000092   2.4674E+02 -2.1581E+02 -1.8393E+02
0000093   2.5491E+02 -2.1333E+02  1.1231E+02
0000094   3.7030E+02  7.4762E+01  1.7353E+01
0000096   1.8178E+02 -1.9668E+01 -3.4898E+01
0000097   1.5357E+02 -1.8430E+01 -1.0433E+02
0000098   1.9714E+02 -2.1532E+02  1.5837E+02
0000099   1.3726E+02  1.1616E+02 -1.7405E+02
0000100   1.1194E+01  5.3723E+01  8.3706E+01
0000101   3.5664E+02  6.0181E+01 -1.5891E+01
0000102   2.7100E+02 -4.8718E+01  1.1841E+02
0000103   3.6779E+02  1.0110E+02 -1.2806E+02
0000104   3.0963E+02 -9.3193E+01  6.1676E+01
0000105   3.8876E+02  3.8240E+00 -7.3014E+01
0000106   2.0904E+02  3.9670E+01 -1.6295E+02
0000107   2.5453E+02  5.4277E+01 -1.0083E+01
0000108   3.9229E+02 -1.9493E+02 -2.3393E+02
0000109   2.0743E+02  4.8748E+01  1.1419E+02
0000110   4.3777E+02 -2.1968E+01  2.1489E+02
0000111   2.3012E+02  2.6424E+02  3.2916E+00
0000112   2.5411E+02 -5.2116E+00 -9.3463E+01
0000113   2.1004E+02 -1.5493E+02  1.7965E+02
0000115   3.0389E+02  1.8153E+01 -1.4329E+02
