============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.6646E+01  2.1552E-01  3.4800E+01
0000002   1.7470E+02  1.3822E+02 -6.9018E+01
0000003   3.7698E+02 -3.9453E+01  5.8859E+01
0000004   2.3174E+02  1.1626E+02 -3.7917E+02
0000005   1.8790E+02  5.8426E+01 -2.1080E+01
0000006   2.2887E+02  1.1767E+02 -1.9868E+02
0000008   5.1296E+01 -7.7946E+00  4.0325E+01
0000009   2.9674E+02  1.0352E+02 -2.3279E+02
0000010   4.2652E+02 -6.4261E-01 -2.8072E+01
0000011   1.6254E+02  2.1894E+02  3.2464E+01
0000012   1.0217E+02 -1.6162E+02 -1.0599E+02
0000013   1.3142E+02 -4.0977E+00  1.4475E+01
0000014   3.0471E+02  2.0299E+02  1.6503E+02
0000015   2.4605E+02  2.1148E+02  2.1186E+01
0000017   2.7877E+02 -4.7280E+01 -1.5245E+01
0000018   2.0152E+02  1.4885E+02  1.3726E+02
0000019   2.4657E+02 -1.7571E+02 -2.7377E+01
0000020   2.5376E+02 -1.5516E+02  3.3685E+01
0000021   2.5911E+02  1.2577E+02 -8.3946E+01
0000022   1.6894E+02  2.8352E+01  6.9202E+01
0000023   1.0586E+02  9.4877E+01 -1.1041E+02
0000024   2.0801E+02  2.5366E+02 -1.9173E+02
0000025   3.0861E+02 -8.2970E+01  3.6055E+01
0000026   5.0497E+01  2.8070E+01 -1.1709E+02
0000027   9.2060E+01  2.6829E+01 -8.6328E+01
0000028   5.8501E+01  9.9314E+01 -9.1940E+01
0000029   2.5070E+02  6.9042E+01  5.6920E+01
0000030   3.4244E+02  7.1023E+01 -6.7373E+01
0000031   1.0793E+02  1.1451E+02  5.0043E+01
0000032   2.9327E+02 -4.8059E+01 -7.7189E+01
0000033   2.5333E+02 -6.4065E+01  3.0981E+02
0000034   3.8392E+02 -9.9770E+01  9.3416E+01
0000035   2.4516E+02  1.1248E+02 -3.9029E+01
0000036   2.8865E+02  1.1438E+02  2.5131E+00
0000037   2.0266E+01 -2.6533E+00 -3.1149E+01
0000038   1.1171E+02  2.8552E+02 -3.9134E+01
0000039   1.7928E+02 -6.0895E+01  9.2454E+01
0000040   3.1970E+02 -1.4254E+02  2.0562E+02
0000042   3.3419E+02 -1.8374E+00  9.7872E+01
0000043   3.2633E+02  2.0728E+02  6.0712E+01
0000044   2.3289E+02 -1.4682E+02  1.1863E+02
0000045   2.7696E+01  4.7402E+01  3.0193E+01
0000046   1.3641E+02  1.1283E+01 -2.5656E+01
0000048   2.2143E+02 -2.1090E+01  9.3587E+01
0000049   2.5969E+02  8.9193E+01  9.9746E+00
0000050   1.3690E+02  1.7067E+01 -3.5506E+01
0000051   2.1451E+02  1.2978E+02 -1.0067E+02
0000052   1.2133E+02 -1.1119E+02 -1.9690E+01
0000053   1.3934E+02  1.1058E+02 -2.6643E+02
0000054   2.5780E+02  1.5274E+02 -1.6948E+01
0000055   2.3163E+02 -1.2614E+01  9.0425E+01
0000056   1.7173E+02  1.7220E+02 -1.2152E+02
0000057   2.0393E+02 -7.3986E+01 -7.8764E+01
0000058   3.6895E+02  1.6736E+02  1.3567E+02
0000059   9.0779E+01 -7.4496E+01  9.3311E+01
0000060   2.8278E+02 -5.6725E+00  7.4273E+01
0000061   2.1246E+02 -1.2580E+02 -1.5445E+02
0000062   1.9791E+02 -2.4509E+02 -2.7802E+02
0000063   3.2719E+02 -5.6043E+01  1.7818E+02
0000064   6.1290E+01  1.5086E+02  6.7458E+01
0000065   1.3725E+01 -1.1623E+02  4.1987E+01
0000066   3.0205E+02 -3.2917E+01 -9.7573E+01
0000067   1.9385E+02  4.6720E+01 -5.2911E+01
0000068   8.6971E+01  5.6542E+01 -1.9493E+01
0000069   1.3179E+02  4.2668E+00 -2.5121E+01
0000070   2.5507E+02  6.4889E+01  7.2457E+01
0000071   1.0226E+02  3.4246E+01  9.6481E+00
0000072   2.4489E+02 -2.3186E+01 -4.4236E+01
0000073   3.1590E+02 -2.2817E+01  1.3876E+01
0000075   2.2633E+02 -3.1236E+01  4.9657E+01
0000076   1.6853E+02 -7.7202E+01 -3.1590E+01
0000077   1.3649E+02  8.2537E+00 -1.4586E+02
0000078   7.0889E+01  7.6813E+01  3.7120E+01
0000079   2.2056E+02 -1.9460E+02  6.0695E+00
0000080   2.7671E+02 -6.0282E+01 -1.3229E+02
0000081   1.1627E+01  3.4927E+01 -7.1170E+01
0000082   2.1926E+02  6.8660E+01 -2.5303E+02
0000083   3.0477E+02  1.7597E+02  7.7361E+01
0000084   3.1901E+02  1.3875E+02  2.5518E+01
0000085   3.3129E+02  1.5035E+02 -2.1654E+01
0000086   6.8646E+01  8.9912E+01 -4.4172E+01
0000087   3.3091E+02  4.1233E+02 -6.7441E+01
0000088   3.3359E+02 -1.4819E+02 -1.8879E+01
0000089   1.7072E+02 -1.2086E+02  9.5386E+01
0000090   1.7535E+02  1.6287E+01 -6.2863E+01
0000091   1.3380E+02  6.1492E+01 -2.0606E+01
0000092   2.2588E+02 -2.0926E+01 -4.9160E+00
0000093   1.2972E+02 -1.0865E+02 -1.3719E+02
0000094   6.6688E+01  1.7934E+01  1.5367E+02
0000095   1.7354E+02  1.3183E+02  5.3229E+01
0000096   3.0522E+02  4.9045E+00  4.1277E+01
0000097   3.0193E+02 -6.5817E+01 -1.5844E+02
0000098   2.9997E+02 -1.3309E+02 -6.7959E+00
0000099   2.0777E+02  7.6825E+00 -2.9154E+01
0000100   1.9439E+02  2.5260E+02 -4.0124E+01
0000101   1.4510E+02 -1.5631E+00  1.0324E+01
0000102   2.7913E+02 -8.7953E+01  1.1467E+02
0000104   2.0019E+02  1.0747E+01  7.6967E+01
0000105   3.7687E+02  8.1386E+01 -1.0015E+02
0000106   7.1242E+01 -1.3053E+02 -1.6035E+02
0000107   2.6644E+02 -8.6413E+00  1.1792E+02
0000108   1.7062E+02 -5.1789E+00  1.8110E+01
0000109   1.0314E+02 -4.9859E+01  1.4939E+01
0000110   3.3457E+02 -2.0474E+00 -5.6196E+00
0000111   1.3434E+02 -3.7157E+01 -3.3087E+01
0000113   1.9662E+02  2.0119E+01  1.2846E+02
0000114   2.6736E+02  2.0682E+02  1.1667E+01
