============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000002   1.6977E+02  3.3449E+01  2.2329E+01
0000003   2.8314E+02 -2.0934E+02 -1.4801E+01
0000004   2.0940E+02  4.5135E+01 -2.2473E+02
0000005   7.9240E+01 -1.0780E+02  5.2871E+01
0000006   4.9019E+01 -1.2374E+02 -1.6901E+02
0000007   1.3175E+02 -7.5501E+01  3.5885E+01
0000008   1.0725E+02 -7.9568E+01 -1.3280E+02
0000009   2.5664E+02  1.7190E+01  3.7056E+01
0000010   1.9361E+02  7.5241E+01 -4.9812E+01
0000011   2.5152E+02  1.7279E+02  3.5902E+01
0000012   2.2366E+02 -9.7779E+01 -1.4813E+02
0000013   1.6300E+02 -5.2247E+01  1.4691E+02
0000014   2.3612E+02  4.4687E+00 -1.6532E+02
0000015   3.2229E+02 -7.8059E+01  6.2473E+00
0000016   2.0061E+02 -4.2252E+01  2.1197E+02
0000017   3.1276E+02  1.1228E+02 -7.6438E+01
0000018   3.1324E+02 -9.7750E+00 -6.1553E+01
0000019   2.8474E+02 -3.7682E+02 -3.5724E+01
0000020   3.7952E+02  5.8944E+01 -9.7793E+01
0000021   3.4745E+02 -2.3103E+02 -1.4741E+02
0000022   2.4966E+02  1.2986E+02 -3.9073E+01
0000023   3.3512E+02  8.9414E+01  1.0829E+02
0000024   2.0208E+02  2.6262E+01 -1.9119E+02
0000025   3.1511E+02  1.7228E+02 -1.3464E+02
0000027   2.8590E+02 -1.0309E+02 -1.1601E+01
0000028   1.6000E+02  2.0024E+01  1.6040E+02
0000029   2.5698E+02  2.3700E+02  1.1583E+02
0000030   3.2073E+02  7.9227E+01 -1.1481E+02
0000031   2.5847E+02 -4.8168E+01 -1.5817E+02
0000032   1.3819E+02 -1.1671E+02 -1.2406E+02
0000033   1.6336E+02  1.0055E+02  7.1120E+00
0000034   2.3496E+02  4.4966E+01  3.4784E+02
0000035   1.2136E+02 -1.1385E+02 -3.5802E+01
0000036   1.4028E+02  5.1473E+00 -8.3040E+01
0000037   6.3441E+01  7.8331E+01  3.0464E+02
0000038   8.3626E+01 -5.2234E+01  3.0907E+02
0000039   2.3712E+02 -1.1624E+02 -4.4918E-01
0000040   2.4738E+02 -1.3061E+02 -1.5716E+02
0000041   1.7419E+02  1.8964E+02 -7.0925E+01
0000042   1.6613E+02 -1.3232E+02  3.0114E+02
0000043   1.9499E+02 -7.7039E+01 -1.2078E+01
0000044   1.5663E+02  1.4011E+02  2.7432E+01
0000045   1.9532E+02 -1.0851E+02  6.9519E+01
0000046   2.0977E+02  1.0234E+02  2.4590E+02
0000047   1.5008E+02 -3.4786E+01  1.3520E+02
0000048   3.1567E+02 -8.6124E+01  2.0009E+02
0000049   1.8667E+02  6.1724E+01  2.1621E+02
0000050   1.9856E+02 -1.0382E+02 -1.1583E+02
0000051   3.6269E+02 -5.6402E+00  2.0123E+00
0000052   1.6485E+02 -1.7136E+00  1.7259E+02
0000053   2.1264E+02  6.9098E+01  7.2259E+01
0000054   3.7913E+02  1.0425E+01  1.0994E+02
0000055   1.7641E+02  1.5509E+02 -4.8604E+01
0000056   1.4321E+02 -9.2671E+01  1.8466E+02
0000057   1.4842E+02 -9.0581E+01 -9.0831E+01
0000058   2.2233E+02 -1.5800E+01  3.2399E+01
0000059   2.4359E+02 -1.6172E+02 -1.1305E+02
0000060   3.3007E+02  2.4488E+01  3.5948E+01
0000061   1.5706E+02 -5.3177E+01 -1.8704E+01
0000062   1.3715E+02 -9.2638E+01  9.4955E+01
0000063   3.0224E+02 -1.3987E+02 -6.0575E+01
0000064   6.1742E+01 -5.9413E+00 -1.1087E+02
0000065   5.0641E+01 -5.3380E+01  3.3428E+01
0000066   1.0122E+02 -1.7556E+01  1.4347E+02
0000067   3.6000E+02 -1.8418E+02  8.8409E+01
0000068   1.8107E+02 -8.1471E+01  1.4802E+02
0000069   3.5936E+02  4.1633E+01  4.4711E+01
0000070   2.3782E+02  6.9568E-01  1.2995E+00
0000071   5.7229E+01 -1.7950E+02  6.1346E+01
0000072   2.2176E+02 -6.7692E+01 -1.0496E+02
0000073   1.3177E+02  2.5801E+02  1.4454E+02
0000074   9.1101E+01 -5.7293E+01 -1.2285E+02
0000076   1.6863E+02 -2.6499E+02 -4.6699E+01
0000077   3.6897E+02 -8.8869E+01 -3.9461E+01
0000078   6.2460E+01 -8.9690E+01  4.3813E+00
0000079   1.1030E+02 -8.3725E+01  6.2117E+00
0000080   2.9011E+02  1.4882E+02  1.7067E+02
0000081   3.4639E+02  1.1768E+02  1.4777E+02
0000082   1.2155E+02  6.6587E-01 -3.0947E+02
0000083   7.1052E+01 -1.0629E+02  1.6465E+01
0000084   9.5965E+00  2.3898E+01 -7.1896E+00
0000085   7.3460E+01  1.5425E+01 -9.1898E+00
0000086   1.3549E+02  1.2593E+02  2.1098E+01
0000087   1.4688E+02 -3.7526E+01  1.2794E+02
0000088   2.8905E+02  1.0358E+02 -1.4663E+02
0000089   1.5314E+02  5.8994E+01 -7.4050E+01
0000090   2.4685E+02  1.9943E+02  2.3873E+02
0000091   2.1406E+02  1.2407E+02 -6.1187E+01
0000092   2.2864E+02 -1.9908E+02  1.3386E+02
0000093   1.9301E+02 -1.1587E+02 -1.0034E+02
0000095   1.4750E+02  8.6820E+01 -8.5526E+01
0000096   2.9906E+02 -1.1075E+02  1.7919E+01
0000097   2.5904E+02  1.4217E+02  9.1027E+01
0000098   9.1990E+01  1.1052E+02  1.2705E+01
0000099   3.3757E+02 -2.3881E+02 -1.4301E+02
0000100   2.3913E+02  1.0695E+02 -3.6701E+01
0000101   1.6645E+02  1.7812E+02  1.3859E+02
0000102   1.0455E+02 -1.7365E+02 -1.2787E+02
0000103   2.0246E+02  7.3971E+01 -1.3988E+02
0000104   3.1087E+02  8.7222E+01 -2.0413E+02
0000105   7.8197E+01 -7.3093E+01  1.1777E+02
0000107   8.3683E+01  2.2061E+02  3.9245E+01
0000108   2.2786E+02 -5.2980E+01  4.1391E+01
0000109   1.2433E+02  1.3834E+01 -2.1297E+02
0000111   3.1991E+02  1.0916E+02  5.2899E+01
0000112   2.7058E+02  6.8795E+01  1.6925E+02
