============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.1018E+02 -1.0839E+02 -2.1715E+02
0000002   5.0588E+02 -1.0465E+02  1.5861E+02
0000003   3.1809E+02  4.1887E+01  1.6534E+01
0000004   4.1877E+02 -2.2269E+02 -6.8500E+01
0000005   2.7943E+02  5.0191E+01 -1.6660E+01
0000006   1.1418E+02 -1.4715E+02  2.0307E+01
0000007   6.4103E+02  2.2150E+02  5.2489E+01
0000008   4.8985E+02  2.2867E+02  3.1412E+02
0000009   5.1528E+02  4.0944E+01 -2.3327E+02
0000010   4.1863E+02 -5.9880E+01  2.4764E+02
0000011   4.4566E+02  1.1209E+02 -1.7073E+02
0000012   7.1183E+02 -1.3807E+02 -2.1619E+02
0000013   1.0236E+02 -1.0647E+02 -2.8859E+01
0000014   7.3653E+02  3.0481E+01 -2.1002E+02
0000015   3.1034E+02 -1.5495E+02  2.8643E+01
0000016   1.0673E+02 -9.5283E+01 -4.1716E+01
0000017   3.4930E+02  1.7089E+02 -4.3142E+02
0000018   2.9503E+02  4.6413E+02 -2.9152E+02
0000019   7.7191E+02 -1.0340E+02 -4.7127E+00
0000020   5.7217E+01 -1.7874E+01 -1.1587E+02
0000021   3.4213E+02  3.2958E+02  3.6264E+02
0000022   1.7845E+02 -1.3944E+02  3.3440E+02
0000023   3.4502E+02 -7.6629E+01  1.6902E+02
0000024   4.5172E+02 -1.8583E+02 -2.1257E+02
0000025   3.2520E+02  1.0658E+02 -4.0050E+02
0000026   7.5136E+02 -1.1223E+02  3.8515E+02
0000027   3.8035E+02  5.6258E+01  3.6490E+02
0000029   2.2957E+02 -1.0420E+02  5.2006E+01
0000030   2.3837E+02 -4.8552E+02  5.4205E+01
0000031   4.5894E+02  1.9798E+02  1.3116E+01
0000032   2.6128E+02 -5.6878E+02  4.3546E+01
0000033   1.9873E+02 -1.0883E+02 -4.0843E+02
0000034   6.0814E+02  2.9761E+01 -2.0927E+02
0000035   3.5163E+02  1.6657E+02  1.0532E+02
0000036   4.5904E+02  3.5668E+02 -2.6681E+01
0000037   1.5464E+02  6.0422E+02 -1.0138E+02
0000038   8.7321E+01  4.2921E+02 -1.0570E+02
0000039   2.5192E+02 -5.8582E+00  1.6573E+01
0000040   2.2154E+02  3.3317E+02 -2.8914E+02
0000041   2.0449E+02  1.1734E+01 -1.7826E+02
0000042   6.6410E+02  9.5566E+01  7.9015E+01
0000043   5.2680E+02  3.4926E+01  1.1947E-01
0000044   6.9229E+02 -1.3943E+02 -3.4095E+01
0000045   3.5324E+02 -7.8132E+01  4.4978E+01
0000047   6.1923E+02  3.5824E+01  2.2343E+02
0000049   2.2833E+02  3.5847E+01 -2.1370E+02
0000050   2.4041E+02  3.2351E+01  1.7877E+01
0000051   2.4085E+02 -4.6892E+02  2.3738E+02
0000052   5.2265E+02  6.1509E+01 -1.4214E+02
0000053   3.8021E+02 -1.9584E+02  1.2042E+02
0000054   4.7258E+02 -2.0764E+02 -1.3286E+02
0000055   4.7976E+02  1.8320E+02  1.1196E+02
0000056   2.1687E+02 -7.6285E+01 -2.9233E+02
0000057   6.7536E+02 -9.6090E+01  2.9401E+02
0000058   7.1057E+02  8.5474E+01  7.5982E+01
0000059   4.0707E+02 -2.7312E+02  1.0861E+02
0000061   3.2281E+02  8.7722E+01  1.3662E+02
0000062   1.5858E+01 -3.9203E+02 -7.8157E+01
0000063   8.1332E+02 -3.1517E+02  3.1313E+01
0000064   6.3851E+02 -3.8750E+02  9.1901E+01
0000065   6.6941E+02  2.2451E+02 -1.0734E+02
0000066   6.2940E+02 -1.8652E+02  1.1281E+02
0000067   1.6342E+02 -3.0083E+02  2.7808E+02
0000068   5.0433E+02  2.0830E+02  5.0978E+01
0000069   3.3832E+02 -2.8252E+01  2.7262E+02
0000070   1.6744E+02  3.0784E+02  9.7701E+01
0000071   2.8154E+02  2.7690E+02 -2.5107E+01
0000072   6.5044E+02 -3.1771E+02  2.2748E+02
0000073   6.1519E+02  9.0666E+01 -1.7041E+02
0000074   6.6915E+02 -2.0254E+02  7.7388E+01
0000075   2.5339E+02 -2.1625E+02  1.3221E+02
0000076   3.8467E+02 -1.5645E+02  8.3937E+01
0000077   1.0185E+02 -4.6401E+00 -6.5580E+01
0000078   4.1529E+02  1.3339E+02 -8.6980E+01
0000079   4.0800E+02  5.9678E+01 -8.4520E+01
0000080   2.3855E+02  3.4964E+02 -1.4683E+02
0000081   5.5629E+02  2.6741E+02  1.8722E+02
0000082   2.9902E+02  2.0113E+02 -3.1264E+01
0000083   6.8217E+02 -2.4103E+02 -1.0210E+02
0000084   3.0331E+02 -8.3396E+01 -5.1895E+01
0000085   1.1619E+02 -3.6674E+02 -1.5721E+02
0000086   4.0288E+02 -1.2515E+02 -1.5299E+02
0000087   3.1755E+02 -4.6099E+01 -1.8837E+02
0000088   3.7273E+02  1.1752E+02  3.1376E+01
0000089   2.5862E+02  1.2078E+02  1.8192E+02
0000090   7.0345E+02 -4.2389E+02 -7.1488E+01
0000091   6.8751E+02 -1.1160E+02  2.8982E+02
0000092   4.9499E+02 -9.4936E+01  2.0062E+02
0000093   7.2289E+02  1.9671E+02  8.9491E+01
0000094   9.2569E+01 -6.5525E+01  2.9764E+01
0000095   8.4446E+02  9.4706E+01  3.8744E+02
0000096   3.9542E+02  8.1524E+01 -2.5925E+02
0000097   5.2387E+02  4.3425E+01  2.0325E+02
0000098   8.8165E+01  2.6817E+02  3.4320E+01
0000099   2.9012E+02 -9.4577E+01 -1.5634E+01
0000100   1.2027E+02 -2.6854E+01  1.6284E+02
0000101   2.7056E+02  2.4630E+02 -8.0574E+01
0000102   4.2454E+02  4.9343E+02  1.4925E+02
0000103   2.7887E+02 -6.1869E+01  5.9626E+01
0000104   4.3011E+02 -1.5313E+02 -3.2847E+02
0000105   4.5342E+02  7.9746E+01  4.3920E+01
0000106   5.1036E+02  3.6112E+02 -7.9931E+01
0000107   9.9628E+01 -1.5399E+01  4.6654E+01
0000108   3.1067E+02 -3.0350E+02 -5.6070E+00
0000109   1.2057E+02  1.0430E+02  1.3921E+02
0000110   6.5831E+02 -1.1031E+02  1.5650E+02
