============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.4962E+02  5.0583E+01  2.4845E+02
0000002   2.0985E+02 -2.0786E+01 -1.9427E+02
0000003   3.4780E+02  8.0430E+01 -1.8716E+02
0000004   7.1321E+01 -3.5592E+01  7.1561E+01
0000005   3.5730E+01  1.9230E+01  1.8836E+01
0000006   2.8890E+02  1.0871E+02 -4.4247E+01
0000007   2.8273E+02 -4.7545E+01  1.5007E+01
0000008   2.0668E+02  2.4496E+01  4.9137E+01
0000009   4.0767E+02  9.7719E+01 -8.1822E+01
0000010   1.3598E+02 -4.2390E+01 -1.5161E+02
0000011   6.1154E+01  8.9258E+01  1.9967E+02
0000012   1.0204E+02  7.0022E+00 -1.6214E+02
0000013   4.3567E+02  1.6178E+02  1.0890E+02
0000014   1.4459E+02 -1.5319E+01 -1.2161E+02
0000015   4.0939E+01  6.4867E+01  1.9151E+01
0000016   1.9149E+02 -5.2751E+01 -5.8231E+01
0000017   1.5455E+02  8.3005E+01  2.7997E+01
0000018   2.9741E+02 -5.2610E+01 -1.2725E+02
0000019   2.5835E+02 -1.3537E+02  6.5440E+01
0000020   3.7349E+02 -9.0772E+01 -9.9070E+01
0000021   1.7764E+02  1.5470E+01  1.2289E+01
0000022   2.9216E+02  2.1646E+02  5.6730E+01
0000023   2.5230E+02  1.9687E+02 -3.5423E+00
0000025   4.3482E+02  2.7327E+01 -5.8434E+01
0000026   3.7936E+02 -5.6265E+01 -1.1373E+02
0000027   2.3647E+02 -1.4275E+02 -1.0248E+02
0000028   2.5512E+01 -2.3761E+02  1.3467E+02
0000029   1.5015E+02  8.1327E+00  7.3051E+01
0000030   3.6053E+02 -1.7344E+01 -1.0156E+02
0000031   1.2023E+02 -6.1938E+01 -5.9752E+00
0000032   1.2798E+02 -1.3570E+02  8.0455E+01
0000033   1.8240E+02  2.6085E-01 -2.1129E+01
0000034   1.7495E+02 -5.9254E+00  7.6788E+00
0000035   3.0978E+02  2.2351E+02  4.2132E+01
0000036   6.7803E+01 -2.4904E+01 -3.7592E+00
0000037   3.6600E+02  1.5025E+02 -3.4935E+01
0000039   5.8665E+01 -9.2184E+01  1.0082E+01
0000040   2.6540E+02  1.9704E+02  1.3912E+02
0000042   2.4790E+02  8.7092E+01 -1.0886E+01
0000043   2.8272E+02  1.4500E+02 -5.8721E+01
0000045   3.1156E+02  9.5756E+01 -2.4261E+02
0000046   4.2681E+02 -1.2382E+02 -2.8301E+02
0000047   6.6935E+01  1.0392E+01  4.1827E+01
0000048   1.3799E+02  3.1057E+02  5.0952E+01
0000049   1.5775E+02 -2.5885E+01  7.6070E+01
0000050   4.4916E+02  8.1207E+01  2.0800E+02
0000051   3.5535E+02 -3.4716E+01 -1.4107E+02
0000052   2.9480E+02  1.7260E+02 -6.6774E+01
0000053   2.3161E+02 -9.3533E+01 -5.2570E+01
0000054   2.0882E+02 -8.9704E+01  4.6871E+01
0000055   8.0007E+01  3.3515E+01 -1.1958E+02
0000056   2.7705E+02  5.3065E+01  7.2859E+01
0000057   1.9090E+02 -3.9914E+01  1.1023E+01
0000058   3.1343E+01 -4.5456E+01  4.7040E+00
0000059   1.6934E+02  1.0624E+02  1.4084E+02
0000060   8.6730E+01  2.4914E+01  6.6149E+00
0000061   1.6594E+02 -4.6977E+01 -6.6159E-01
0000062   1.1780E+02  7.5861E-01  1.6886E+02
0000063   1.6289E+02 -2.8105E+01  1.4082E+02
0000064   3.5739E+02  1.0427E+02  2.6517E+01
0000065   8.6931E+01  1.8479E+01 -1.6942E+02
0000066   2.0694E+02  6.7656E+01 -1.2627E+02
0000067   4.2446E+01  9.6709E+01 -8.8946E+01
0000070   2.5772E+02  3.4028E+00 -1.5272E+02
0000071   9.7594E+01 -4.8550E+01 -1.0281E+02
0000073   2.2314E+02 -1.9446E+02  6.6256E+01
0000074   1.8303E+02  9.9314E+01 -9.9301E+00
0000075   1.0930E+02  9.2948E+01  5.3631E+01
0000076   1.1640E+02  5.6190E+01 -1.0292E+01
0000077   3.7756E+02 -8.6204E+01 -4.8566E+01
0000078   2.1111E+02 -1.5546E+02  7.5108E+01
0000079   2.9332E+02  2.8783E+02 -1.0606E+02
0000080   1.4280E+02 -1.1485E+02 -5.0772E+01
0000081   1.7243E+02  9.0408E+01  7.9011E+00
0000082   3.3223E+02  8.3013E+01  1.1959E+02
0000083   5.1350E+01 -7.3890E+01 -2.1551E+02
0000084   2.0508E+02 -7.5017E+01  4.7413E+01
0000085   1.2188E+02 -1.3752E+02  5.4175E+01
0000086   3.1836E+02 -3.3670E+01  6.2165E+01
0000087   3.7763E+02 -1.7508E+02  6.9902E+01
0000088   2.7664E+02 -6.5908E+01 -1.7538E+02
0000089   2.5157E+01 -9.0536E+01  7.8932E+00
0000090   2.0924E+02  2.3166E+02 -3.4796E+02
0000091   2.7593E+02  2.0994E+02  3.7064E+01
0000092   2.1242E+02 -1.3664E+02 -1.3588E+02
0000093   1.3525E+02  8.5461E+00  6.7455E+01
0000095   3.9484E+02 -8.5499E+01 -8.1007E+01
0000096   9.9720E+01  1.4289E+02 -3.4953E+01
0000097   3.9732E+02  1.6872E+01 -9.6338E+01
0000098   2.9893E+02  1.0472E+02  2.0525E+02
0000099   3.3721E+02 -2.4229E+02 -1.5406E+02
0000100   1.8788E+02 -6.9015E+01 -2.9830E+01
0000101   3.0908E+02 -4.3173E+01 -8.8079E+00
0000102   1.8335E+02 -1.2789E+02 -2.6192E+01
0000103   6.7351E+01 -1.2059E+02  7.9749E+01
0000104   1.1709E+02  1.8518E+02 -5.3154E+01
0000105   1.1630E+02 -6.0352E+01 -1.4602E+02
0000106   2.3434E+02 -1.1853E+02  3.4662E+01
0000107   1.1083E+02 -4.5861E+01 -6.6874E+00
0000108   3.7598E+01 -1.7474E+02  9.0360E+01
0000109   1.3890E+02  1.6978E+02 -4.0955E+00
0000111   4.5567E+02 -9.8385E+01  9.1765E+01
0000112   3.9204E+02  2.1019E+02  9.6508E+01
0000113   1.6725E+02  8.1482E+01  1.7054E+01
0000115   3.9747E+02 -1.1713E+02 -5.3561E+01
0000116   5.2226E+01 -7.7288E+01 -1.7376E+02
