============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.5275E+02 -1.1255E+02 -2.0769E+01
0000002   8.3939E+02  3.1098E+02  3.6393E+02
0000004   3.8845E+02 -5.8948E+01 -3.1747E+02
0000005   5.1245E+02 -1.9872E+02 -7.6392E+01
0000006   2.5615E+02 -1.1078E+02  2.9530E+02
0000007   4.1643E+02  6.3492E+02 -1.4982E+02
0000008   2.9107E+02  1.1250E+02 -3.0286E+01
0000009   5.3343E+02 -6.4460E+01  4.7803E+02
0000010   2.7534E+02 -2.7479E+00  2.7597E+02
0000011   4.2493E+02 -3.1204E+02 -3.3123E+02
0000012   4.4501E+01  1.3751E+02 -2.4412E+02
0000013   1.4196E+02  2.1107E+02 -4.4542E+02
0000014   2.3105E+02 -5.9634E+01 -3.7504E+01
0000016   4.3122E+02  4.3851E+01 -4.0479E+01
0000017   2.8866E+02  1.7943E+02 -8.2869E+01
0000018   7.6670E+02  1.6023E+02 -2.5068E+02
0000019   4.6114E+02 -3.4016E+01  4.6370E+02
0000020   2.9035E+01 -1.6762E+02  2.0343E+01
0000021   7.2674E+02 -1.4022E+02  1.9245E+02
0000022   3.9118E+02  5.3355E+02  2.7406E+02
0000023   6.5214E+02 -9.1371E+01  1.3055E+02
0000024   2.2918E+02 -5.9037E+01 -5.0747E+01
0000025   1.3890E+02 -3.3727E+02  1.2503E+02
0000026   1.6412E+02  1.4692E+02 -3.9295E+02
0000027   5.9850E+02 -3.6367E+02 -1.7831E+02
0000029   2.5115E+02 -3.0173E+02 -1.2028E+02
0000030   4.2267E+02  3.3182E+02 -2.0395E+02
0000031   6.2217E+02 -6.6981E+00 -1.8307E+02
0000032   7.2256E+01 -2.2944E+02 -8.4071E+01
0000034   8.0395E+02 -1.1936E+02  2.8798E+02
0000035   2.2648E+02  2.0327E+02 -1.6711E+02
0000036   4.2542E+02 -5.4251E+00  5.5373E+01
0000037   1.8419E+02  4.4040E+00  1.5216E+02
0000038   4.6034E+02 -3.9153E+02  1.5926E+02
0000039   3.5417E+02 -4.4385E+02  6.8369E+00
0000040   2.6088E+02 -1.4102E+02 -3.5326E+02
0000041   9.1150E+02  1.6643E+02 -1.2205E+02
0000042   6.2281E+02  1.2700E+02  5.5086E+02
0000043   6.1431E+02 -1.8155E+02  1.3888E+02
0000044   5.4526E+02  5.7390E+01 -1.5604E+01
0000045   1.3285E+02 -2.6537E+01 -3.9475E+01
0000046   7.2618E+02 -1.0206E+02 -2.0055E+02
0000047   1.8184E+02  1.7530E+02 -8.5625E+01
0000048   6.6372E+02 -1.3183E+02  1.5949E+01
0000050   6.8535E+02  1.0527E+02  2.1299E+02
0000051   8.8499E+02 -3.2536E+02 -5.9116E+01
0000052   5.7422E+02 -2.2621E+01 -9.1128E+01
0000053   6.6545E+02 -9.1598E+01  9.6637E+01
0000054   7.0202E+02  1.9924E+02 -2.5162E+02
0000055   3.1596E+02  2.0863E+02 -2.6011E+02
0000056   4.5490E+02 -5.1163E+02 -1.1896E+02
0000057   6.0443E+02 -3.0624E+01 -1.3103E+02
0000058   3.9070E+02 -6.1680E+01  1.0435E+02
0000059   2.6493E+02 -3.3268E+01 -1.7950E+02
0000060   6.7505E+01 -1.5659E+02 -2.5129E+02
0000061   5.0169E+02  1.6147E+02  1.9276E+02
0000062   3.7062E+02  2.7702E+01 -2.8501E+02
0000063   6.1418E+02  7.8945E+01  1.0473E+02
0000064   1.2882E+02 -2.0650E+02 -4.5565E+02
0000065   6.1581E+02  2.8642E+01 -3.3412E+02
0000066   3.2782E+02  5.0195E+02 -2.2099E+02
0000067   4.0537E+02 -1.7942E+02  8.0601E+00
0000068   6.1482E+02 -1.2112E+02 -1.8044E+02
0000069   1.0129E+02  2.1747E+02 -1.8621E+02
0000071   4.7229E+02 -1.4771E+02  1.4929E+02
0000072   5.7015E+02  2.4162E+02  1.1071E+02
0000073   2.9365E+02 -5.1186E+02  4.5901E+02
0000074   1.0460E+02  2.9123E+02 -1.5665E+00
0000075   5.8435E+02  1.9689E+02 -3.6285E+01
0000076   3.2284E+02 -2.5825E+02  2.1656E+02
0000077   8.9068E+01  2.1309E+02  1.3170E+02
0000078   9.8583E+01 -6.0808E+01 -1.7994E+02
0000079   3.5703E+02 -6.7900E+02  2.4380E+02
0000080   5.8563E+02  2.9924E+02 -2.5370E+02
0000081   2.4528E+02 -2.1622E+02  2.1821E+02
0000082   4.2126E+02  2.5433E+01 -5.5723E+01
0000083   4.6383E+02 -4.2288E+01  1.0535E+02
0000084   3.9384E+02  5.2031E+01 -7.6281E+01
0000085   4.4136E+02  4.8249E+01 -2.3943E+02
0000086   5.5987E+02  5.3848E+02  2.2940E+01
0000087   4.0698E+02  2.9382E+02  1.1532E+02
0000088   8.4587E+02 -3.9597E+01  1.1029E+02
0000089   4.8032E+02  3.3599E+02 -5.8515E+01
0000090   5.1914E+02  5.0774E+02 -2.3829E+01
0000091   3.9719E+02 -2.0899E+01 -1.9814E+02
0000092   4.7258E+02  1.8400E+02 -1.0304E+02
0000093   4.2423E+02  8.3910E+01  4.1580E+02
0000094   5.1173E+02  4.3835E+01  2.1704E+02
0000095   2.3364E+02 -4.1498E+02  4.9710E+00
0000096   3.6537E+02  1.6951E+02  5.2984E+01
0000097   2.2359E+02  4.4981E+01 -3.0140E+01
0000098   3.7952E+02  3.6825E+01  2.4264E+02
0000099   5.2525E+02 -9.7601E-01 -1.7394E+02
0000100   1.6933E+02 -4.7028E+01  5.0750E+02
0000101   1.9390E+02 -1.2969E+02 -3.7479E+02
0000102   3.3075E+02 -1.2961E+02  5.7781E+01
0000103   3.9910E+02  6.5224E+01 -3.9504E+02
0000104   2.0823E+02 -4.2226E+01 -3.5857E+02
0000105   4.4208E+02 -5.9451E+02 -7.9553E+01
0000106   2.8358E+02 -5.2349E+00  1.7473E+02
0000107   2.4722E+02 -1.9203E+02 -2.0508E+02
0000108   2.0487E+02  9.6873E+01 -1.7831E+02
0000109   3.3588E+02  7.4865E+01 -2.1718E+02
0000110   4.8819E+02  6.0517E+01  1.7133E+02
0000111   1.9300E+02  1.1146E+02  6.3137E+01
0000112   6.4756E+02  6.1673E+01 -1.0255E+02
