============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.2942E+02 -2.0129E+02  1.9469E+02
0000002   4.2460E+02  2.3670E+02  6.1694E+01
0000003   1.2964E+02 -1.8119E+01 -6.2304E+01
0000004   5.1605E+02 -2.2118E+02  1.7019E+02
0000005   4.2910E+02  5.3214E+01  2.8984E+02
0000006   2.5879E+02 -1.0395E+02 -4.8499E+00
0000007   6.5818E+02 -6.7252E+01  5.3357E+01
0000008   3.8361E+02  2.2883E+02  6.4729E+01
0000009   4.0574E+02  2.2491E+02 -8.6250E+01
0000010   2.5864E+02 -5.2472E+01  1.6530E+02
0000011   2.9649E+02 -1.0131E+02 -1.1489E+02
0000012   6.6897E+02 -3.3273E+02  1.4329E+02
0000013   6.4921E+02  3.1960E+02  3.6709E+02
0000014   1.7513E+01 -9.4051E+01  1.3761E+01
0000015   6.8241E+02  1.4568E+02 -3.6696E+02
0000016   4.6311E+02 -1.8860E+02 -1.4123E+02
0000017   1.0791E+02 -1.3217E+02 -6.7988E+01
0000018   1.4697E+02 -2.9080E+01 -6.2060E+01
0000019   1.8231E+02 -5.8097E+02 -1.8469E+02
0000020   4.8290E+02 -2.4105E+02 -2.4249E+02
0000021   6.8376E+02  1.2051E+02  3.1802E+02
0000022   4.3411E+02  2.1204E+02  2.7348E+02
0000023   2.7618E+02  2.0371E+02 -4.7798E+01
0000024   4.9307E+02  1.2412E+01  3.0128E+01
0000025   1.4484E+02 -2.5619E+02  9.7876E+01
0000026   1.0816E+02  1.2097E-01 -1.4573E+02
0000027   4.3449E+02  1.9474E+02 -1.7150E+02
0000028   5.7400E+02  4.4708E+02  2.5647E+01
0000029   2.7844E+02  1.6761E+02 -5.2792E+02
0000030   5.6241E+02  6.5590E+01  1.7776E+02
0000033   5.6880E+02  1.9394E+02  1.8801E+02
0000034   3.7618E+02 -5.5404E+01  5.4195E+01
0000035   4.2146E+02 -1.2091E+02 -7.2681E+01
0000036   5.3899E+02  1.0297E+02 -3.8513E+02
0000037   9.8328E+00 -1.9335E+02  4.6465E+02
0000038   1.3204E+02 -2.2309E+02 -9.9581E+01
0000039   2.6131E+02 -1.7971E+02  1.1084E+02
0000040   8.0267E+02 -1.5757E+02  1.3704E+02
0000041   7.6384E+01  1.8182E+02  6.6381E+01
0000042   3.4734E+02 -2.6217E+02 -1.8398E+01
0000043   4.2106E+02 -3.6642E+02  2.5155E+01
0000044   4.2714E+02  2.2903E+02 -6.9915E+01
0000045   6.5079E+01 -1.2394E+02  7.7706E+01
0000046   3.4639E+02 -4.0350E+01 -8.2879E+01
0000048   6.2385E+02  2.1957E+02 -4.7661E+02
0000049   5.1171E+02 -1.2178E+02  3.6420E+02
0000050   5.5961E+02 -3.3133E+02  3.1336E+02
0000051   4.5552E+02  2.4221E+02 -1.4111E+02
0000052   7.3760E+01  1.9163E+01  3.9359E+02
0000053   5.5363E+02  2.3261E+02  2.1630E+01
0000054   2.0573E+02  1.4406E+02  9.5262E+01
0000055   5.0250E+02 -7.0259E+01 -2.0371E+01
0000056   5.0858E+02 -9.1202E+01 -1.6735E+02
0000057   5.4403E+02  1.5143E+02  8.2991E+01
0000058   3.8826E+02  1.3999E+01  1.6469E+02
0000059   6.1914E+02 -2.1714E+01 -8.9303E+01
0000060   4.3133E+02 -3.6624E+02 -1.3707E+02
0000061   1.7840E+02 -5.2478E+01  7.7978E-02
0000062   5.3129E+02  1.4013E+02  2.4104E+01
0000063   4.1411E+02  1.0232E+01  3.8513E+02
0000064   5.0672E+02 -3.3490E+02 -1.4568E+02
0000066   1.7439E+02 -1.5945E+02 -6.8600E+00
0000067   3.9494E+02  4.3792E+01 -4.0571E+02
0000068   6.6449E+02  1.9344E+02 -1.5180E+02
0000069   5.5793E+02  9.4291E+01  6.9613E+01
0000070   4.3137E+02  1.8498E+02 -2.4350E+01
0000071   2.8373E+02  1.9002E+02 -4.2070E+02
0000072   8.4397E+02 -1.7121E+02 -9.7343E+01
0000073   3.3709E+02  5.7599E+01 -1.8645E+02
0000074   2.6888E+02  1.6460E+02  2.1178E+02
0000075   4.9220E+02 -1.2752E+02 -2.3993E+01
0000076   9.0152E+01  2.3992E+01  1.1900E+02
0000077   3.0147E+02 -3.1643E+01 -1.1886E+02
0000078   8.2224E+01  4.2133E+02  5.2955E+00
0000079   6.5990E+02 -3.6350E+02 -1.6247E+00
0000080   6.3886E+02  1.7051E+01 -2.7847E+02
0000081   5.7078E+02  6.2664E+01 -1.4453E+02
0000082   2.7695E+02 -4.0273E+02  3.4261E+02
0000083   6.8241E+01 -4.7790E+02  2.0887E+02
0000084   7.2584E+02 -2.2477E+02 -9.0795E+01
0000085   3.8172E+02 -4.0239E+01  1.7302E+02
0000086   2.6725E+02  6.7242E+01  9.7068E+01
0000087   3.1583E+02  3.0935E+02  3.8162E+00
0000088   3.9888E+02 -2.7436E+02  2.9769E+02
0000089   4.6678E+02 -2.8820E+02 -1.4383E+02
0000090   2.1918E+01  1.9432E+02 -2.3540E+02
0000091   1.2422E+02 -3.6826E+01 -2.9960E+02
0000092   3.7999E+02 -6.0650E+02  3.3407E+02
0000093   2.7633E+02  1.2820E+02 -3.4028E+01
0000094   5.5061E+02  2.0376E+02  1.2287E+01
0000095   5.2462E+02  4.0298E+02 -2.3704E+01
0000096   5.6937E+01 -5.8436E+02  6.2611E+01
0000097   2.2171E+02  9.0682E-01  6.0995E+01
0000098   3.7422E+02  7.7124E+01  1.6507E+02
0000099   2.8101E+01 -1.1131E+02 -1.4965E+02
0000100   1.1232E+02  1.0015E+01 -1.1812E+02
0000101   5.6661E+02  1.5743E+02 -1.2816E+02
0000103   4.7448E+02 -2.7439E+02 -2.3356E+02
0000104   1.0752E+02  1.1416E+02 -1.4196E+01
0000105   3.1515E+02  2.4489E+02 -4.5393E+01
0000106   2.7492E+02 -2.6869E+01 -1.0196E+01
0000107   4.2636E+02 -9.5622E+01  8.1355E+01
0000108   1.4991E+02  2.1684E+02  2.9447E+02
0000109   3.1712E+02 -9.3094E+01 -2.6778E+02
0000110   2.7390E+02 -1.8247E+02 -1.9527E+02
0000111   2.7104E+02  1.2988E+02 -1.2262E+01
