============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.7422E+02  3.5866E+02 -1.2346E+02
0000002   7.6922E+02  3.0522E+02 -4.9258E+02
0000003   2.0883E+02 -4.2688E+02  3.5959E+00
0000004   6.7058E+02 -1.1502E+02  3.8157E+02
0000005   3.9549E+02 -2.6548E+02 -1.1946E+02
0000007   5.2946E+02  1.7137E+02  5.6107E+01
0000008   2.9391E+02 -3.6609E+01 -1.6446E+02
0000009   3.5664E+02 -9.6257E+01 -4.8455E+01
0000010   2.9699E+02  7.7010E+01  2.7796E+02
0000011   5.6609E+02 -4.2422E+02  1.9260E+02
0000012   2.1823E+02  7.0920E+01 -2.1445E+02
0000013   3.8420E+02  4.4594E+02 -1.6274E+02
0000014   2.9299E+02  1.0213E+02 -2.2397E+02
0000015   3.0457E+02  2.5990E+01  3.2647E+02
0000016   5.5803E+02 -1.0130E+02  1.0655E+02
0000017   4.3745E+02 -9.0844E+01 -6.4833E+02
0000018   1.5344E+02  7.5164E+01  1.1962E+02
0000019   1.8511E+02  1.5357E+02 -1.2651E+02
0000020   3.4493E+02 -4.1415E+01 -4.3318E+02
0000021   3.5863E+02  1.2692E+02  4.7049E+01
0000022   5.3956E+02  1.7442E+02  4.1354E+02
0000024   3.6843E+02 -2.1637E+02  6.2208E+01
0000025   3.5664E+02 -3.1544E+02  1.4517E+02
0000026   1.8958E+01 -2.2017E+02 -1.0586E+02
0000027   2.2554E+02 -7.9372E+01  3.1913E+02
0000028   3.9410E+02  6.0323E+02  2.2372E+02
0000029   1.2770E+02  2.7312E+02 -5.1174E+02
0000030   2.2747E+02  2.1203E+01 -1.1893E+02
0000031   5.3005E+02 -1.6111E+02  7.3392E+01
0000032   3.1538E+02 -2.4636E+02 -1.3101E+02
0000033   6.6292E+02  1.3079E+02  5.4865E+02
0000035   4.0378E+02 -1.6520E+02 -9.1779E+01
0000036   2.9421E+02 -2.7918E+02 -2.7761E+02
0000037   4.2092E+02  2.4046E+02 -2.9794E+02
0000038   4.6050E+02  3.8002E+02  1.5255E+02
0000039   3.0631E+02 -1.2852E+02 -1.1858E+02
0000040   3.3547E+02 -3.7538E+01  1.6205E+02
0000041   2.6199E+02 -1.3178E+02  1.4521E+02
0000042   5.9734E+02 -1.2562E+02  1.5129E+02
0000043   7.0185E+02 -1.5555E+02  1.1052E+02
0000044   4.7761E+02 -2.4006E+02 -1.8178E+00
0000045   4.8528E+02  1.0821E+01 -1.1041E+02
0000046   3.9858E+02 -2.1699E+02  2.7804E+02
0000047   2.1877E+02  2.1101E+02 -9.1873E+01
0000048   3.2871E+02  1.9053E+02 -2.6106E+02
0000049   3.0333E+02 -1.2377E+02 -9.4251E+01
0000050   2.8193E+02 -9.4904E+01 -6.3570E+01
0000051   3.7465E+02  2.4754E+02  2.8881E+02
0000052   1.1910E+02  5.0646E+01  7.9046E-01
0000054   3.0785E+02 -2.7977E+02 -5.2145E+00
0000055   5.6608E+02 -2.2842E+02 -3.6203E+02
0000056   7.9272E+02 -2.9549E+02  3.5969E+01
0000057   2.7859E+02 -3.2950E+01  1.3436E+02
0000058   4.8705E+01  1.4503E+02 -1.0951E+02
0000059   4.0752E+02  1.1190E+02  5.1055E+01
0000060   6.9547E+02  1.1381E+02 -2.8285E+01
0000061   4.4256E+02  5.0443E+02  3.6442E+02
0000062   5.6714E+02  1.2936E+02  2.1397E+02
0000063   8.7614E+02  3.1287E+01 -5.7020E+01
0000064   6.2524E+02 -2.4815E+02 -4.0969E+02
0000065   2.9412E+02 -5.6497E+01  1.2897E+02
0000066   5.9327E+02  7.4253E+01  2.5273E+02
0000067   3.9624E+02  4.0399E+02  3.9133E+00
0000068   9.4235E+01  2.4370E+02  5.5400E+01
0000069   7.0645E+02  3.4190E+02  3.6991E+00
0000070   5.1521E+02 -5.9749E+01 -1.5893E+02
0000071   5.0235E+01  1.3876E+02 -4.6824E+01
0000072   3.1406E+02 -3.9168E+02 -4.8043E+02
0000073   5.1337E+02 -2.0705E+02 -2.4147E+02
0000074   8.1152E+01  3.5697E+02 -3.9427E+02
0000075   1.8069E+02  8.8992E+01  2.0917E+02
0000076   4.4901E+02  2.3569E+02  1.0274E+02
0000078   6.1761E+02  2.7533E+02  7.3476E+01
0000079   3.5787E+02 -1.4863E+01 -4.5382E+01
0000080   3.7862E+02 -1.1963E+02 -2.0228E+02
0000081   1.6318E+02  3.7040E+02 -5.7412E+01
0000082   3.1855E+02  4.6728E+02 -5.5712E+02
0000083   7.4670E+02 -4.0031E+02 -6.3065E+01
0000084   4.1830E+02  1.7897E+02  4.4344E+02
0000085   4.8256E+02 -1.7975E+01  3.2174E+02
0000086   3.3169E+00  1.9764E+02  2.0903E+02
0000087   3.3913E+02 -2.7510E+01 -2.4783E+02
0000088   7.5419E+02 -2.8744E+01 -3.0843E+02
0000090   1.3317E+02  9.7127E+01 -1.0549E+02
0000091   3.3885E+02 -8.7714E+01  1.9295E+02
0000092   4.9256E+02  1.1580E+02 -1.3951E+02
0000093   5.8125E+02 -8.0229E+01 -2.1730E+02
0000094   7.3557E+02  2.7820E+02 -1.2906E+02
0000095   5.6732E+02  2.4088E+01  1.3416E+02
0000096   2.6719E+02 -6.1647E+02  3.0245E+01
0000097   1.7239E+02  3.6199E+01 -7.2127E+00
0000098   1.0089E+02  2.5131E+01  3.5584E+02
0000099   9.4896E+01 -2.1976E+01  1.8653E+02
0000100   7.9091E+01  1.1327E+02  2.2910E+00
0000101   8.3900E+01  5.4748E+00 -1.7372E+02
0000102   5.1474E+02 -3.7210E+02 -2.6141E+02
0000103   1.6676E+02 -1.9344E+01 -1.3573E+02
0000104   8.2025E+02 -3.6135E+02  1.3581E+02
0000105   6.5371E+02  2.1180E+01 -1.9194E+02
0000106   3.8905E+02 -2.5379E+02 -5.0665E+01
0000107   8.4376E+01 -1.1561E+02  2.4195E+02
0000108   2.3599E+02  1.8516E+01  2.1996E+02
0000109   7.3372E+01  1.4294E+02  1.2496E+02
0000110   3.5347E+02  3.9283E+01  7.2000E+01
0000111   2.3318E+02  3.9057E+02 -3.7869E+01
0000112   7.9442E+00  1.6882E+02 -9.7192E+00
