============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.1235E+02 -2.6461E+02 -2.6657E+02
0000002   5.8309E+01  1.9879E+01  2.5152E+01
0000003   4.7748E+02 -1.8435E+01 -2.7988E+02
0000004   2.5610E+02 -1.4141E+02  7.4080E+01
0000005   2.7103E+02  3.2780E+00  2.8008E+02
0000006   1.8023E+02  5.1069E+02  8.8618E+01
0000007   2.5646E+02 -2.0412E+02 -1.9890E+02
0000008   2.8789E+02  2.3406E+02  3.4057E+02
0000009   6.0712E+02 -1.0200E+02  6.5498E+01
0000010   6.0953E+01  3.4025E+02  1.5562E+02
0000011   4.3467E+02 -3.1641E+02 -8.1144E+01
0000012   4.0067E+02 -2.0251E+02 -5.5888E+02
0000015   7.5978E+02 -9.5555E+01 -3.0516E+02
0000016   6.9935E+02 -1.8979E+02 -9.3334E+01
0000017   5.7267E+02  2.0123E+02  1.1204E+02
0000018   5.5966E+02  1.6931E+02  7.4983E+01
0000019   2.6814E+02 -2.3579E+02  1.2616E+02
0000020   4.7324E+02  1.2632E+02  7.9145E+01
0000021   1.6085E+02 -3.4298E+01 -1.8768E+01
0000022   1.9934E+02 -4.3518E+01 -1.2585E+01
0000023   7.8383E+02  1.2039E+02  1.8448E+02
0000024   3.0729E+02 -9.1487E+01 -1.9067E+02
0000025   5.7641E+02 -3.1558E+01  1.5372E+02
0000026   4.4151E+02 -3.1356E+02 -2.3192E+02
0000027   8.0990E+02 -2.0280E+02  3.5018E+02
0000028   3.8735E+02  3.2120E+02  1.0666E+02
0000029   5.2990E+01 -2.8211E+02 -9.8585E+01
0000030   4.6278E+02 -3.2608E+02 -8.1529E+01
0000031   6.4307E+02  4.4862E+02  6.9266E+01
0000033   6.1233E+02  4.5583E+02 -4.6305E+01
0000034   9.6382E+02 -1.3862E+02 -1.1643E+02
0000035   4.9923E+02  1.6603E+02 -9.8919E+01
0000036   4.0253E+02  6.6418E+01  9.2534E+01
0000037   1.8271E+02 -1.2285E+02  7.0580E+01
0000038   5.9325E+02  6.8991E+01 -9.8913E+01
0000039   2.8620E+02 -6.0723E+01  2.0309E+02
0000040   5.9987E+02  2.4072E+02  2.0144E+01
0000041   6.7372E+02 -4.7101E+02  6.6081E+01
0000042   2.4815E+02  1.5922E+02 -1.4505E+00
0000043   6.0702E+02 -4.9586E+02 -7.4969E+01
0000044   7.1828E+01 -4.0256E+01 -1.2853E+02
0000045   2.2320E+02  3.0013E+01  3.8991E+01
0000046   2.0743E+02  1.9395E+02 -7.1179E+01
0000047   4.5667E+02 -1.5982E+02 -4.1353E+02
0000048   4.5917E+01  2.7317E+01  6.2164E+01
0000049   2.6905E+02 -9.2110E+01  1.0680E+02
0000050   5.9181E+02  2.9380E+01 -2.0288E+01
0000051   4.5459E+02  3.5314E+02  1.6745E+01
0000052   3.8398E+02 -1.4474E+02  2.8850E+02
0000053   5.0415E+02  3.3895E+02  8.3938E+01
0000054   6.7282E+02  1.9779E+02  1.4527E+02
0000055   3.1035E+02 -3.1592E+01 -1.6846E+02
0000056   1.6086E+02  1.2648E+01  4.5412E+02
0000057   5.5446E+02 -9.3654E+00 -2.5711E+02
0000058   2.6245E+02  2.0825E+02 -1.2424E+02
0000059   5.5362E+02  2.8321E+02  1.1003E+01
0000060   9.1622E+01 -2.3868E+01  3.2135E+01
0000061   6.9683E+02  8.9764E+01 -1.8958E+02
0000062   8.2403E+02  3.4412E+02  9.4353E+01
0000063   4.1167E+02 -2.0968E+02  2.6281E+02
0000064   3.3505E+02 -2.1907E+01 -1.6082E+02
0000065   3.4072E+02 -9.5962E+01 -1.5200E+02
0000066   2.1417E+02 -1.1913E+02 -2.3140E+02
0000067   9.8632E+01 -2.7079E+02 -3.4729E+00
0000068   2.8603E+02 -8.7693E+01  5.9480E+01
0000069   5.5308E+02  2.8103E+01 -1.0235E+02
0000070   3.9885E+02  7.1034E+01  2.2993E+02
0000071   1.6977E+02 -2.7561E+02  4.0617E+02
0000072   8.0301E+02 -1.0768E+02 -5.3097E+01
0000073   4.0459E+02  2.0968E+02  2.4790E+02
0000074   5.3928E+02  2.1553E+02  2.1120E+02
0000075   7.4071E+02 -6.0477E+00  2.3768E+02
0000076   2.3166E+02 -4.0703E+02 -2.6891E+02
0000077   4.8564E+01  7.2384E+01 -2.6456E+01
0000078   4.4715E+02  1.1785E+02  5.8376E+02
0000079   5.1814E+02  5.7840E+01 -2.6430E+02
0000080   4.8015E+02  5.5713E+02  1.0564E+02
0000081   1.1437E+02 -5.7317E+01  2.6456E+02
0000083   5.5431E+02 -3.0012E+02  3.4868E+02
0000084   3.3454E+02  3.9539E+02 -1.3258E+02
0000085   3.3263E+02  1.8552E+02 -5.4724E+01
0000086   4.7485E+02  1.1031E+02  5.3186E+02
0000087   6.0905E+02 -3.3091E+02 -1.1330E+02
0000088   4.7233E+02  3.2234E+02 -7.7611E+01
0000089   3.1701E+02  8.9363E+00 -1.3664E+02
0000090   5.9051E+02 -2.5317E+02 -4.1072E+02
0000091   5.1082E+02 -1.8164E+02 -4.5686E+01
0000092   2.7979E+02  6.6528E+01 -6.5966E-03
0000093   2.7162E+02 -2.2640E+02  1.1089E+02
0000094   7.4499E+02 -1.3620E+02 -2.4322E+02
0000095   1.0063E+01 -3.6976E+02 -5.6047E+01
0000096   2.5706E+02 -2.2163E+02 -6.4169E+01
0000098   3.8516E+02  3.6407E+01  1.4992E+02
0000099   4.6512E+02  1.4392E+02  1.0106E+02
0000100   6.6428E+02  1.7464E+02 -2.4278E+02
0000101   8.1978E+01  1.7969E+02 -2.1534E+02
0000102   3.4860E+02  3.0297E+02  1.1530E+02
0000103   2.6884E+02 -2.7315E+01  1.5801E+02
0000104   2.2351E+02  9.0556E+01  2.2861E+02
0000105   6.1645E+02 -2.4714E+02 -1.2440E+01
0000106   5.1387E+02 -7.2682E+01  8.4736E+01
0000107   6.0276E+02 -2.3962E+02  4.9431E+01
0000108   4.4999E+02  4.7852E+01 -2.5341E+02
0000109   4.6055E+02  5.7355E+01 -1.5958E+02
0000110   4.4377E+02  7.4989E+01  1.0477E+02
0000111   3.1672E+02  1.1633E+02  5.8398E+01
