============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.8536E+02 -6.2448E+01  5.5215E+01
0000002   1.0184E+02 -8.0947E+01  2.2720E+00
0000003   1.0428E+02  3.4305E+01 -1.9738E+02
0000004   7.5913E+01 -8.9802E+01 -9.8770E+01
0000005   2.8400E+02  8.3864E+01 -3.1282E+02
0000006   1.5188E+02 -2.0273E+02 -1.0970E+02
0000007   2.1165E+02 -4.9783E+01  8.5890E+01
0000008   2.2845E+02 -2.0906E+01 -9.1897E+01
0000009   2.3678E+02  1.1321E+02  9.9785E+01
0000010   3.1586E+02  5.8073E+00 -1.4478E+02
0000011   9.1773E+01  6.1735E+01  1.5236E+02
0000012   7.6067E+01 -3.7503E+01  1.1829E+02
0000013   3.5382E+02 -2.7595E+01  3.8534E+01
0000014   2.9652E+02  1.1146E+02  7.9790E+01
0000015   6.2761E+01 -1.0307E+02 -7.8822E+00
0000016   3.3531E+02  2.8161E+01 -1.3790E+02
0000017   2.6319E+02  8.2376E+01 -2.6749E+02
0000018   2.8057E+02  6.9089E+01  1.3397E+01
0000019   2.2195E+02  1.0666E+01 -4.4626E+01
0000020   2.4808E+01  4.4135E+01  1.0584E+01
0000021   2.4748E+02 -2.8784E+01 -9.5532E+01
0000022   9.5838E+01 -1.4886E+01  1.7496E+02
0000023   1.1913E+02 -2.4951E+01  1.6684E+02
0000024   1.5374E+02 -7.7249E+01 -4.0859E+01
0000025   2.8115E+02 -2.7515E+02  5.4485E+00
0000026   2.5937E+02  4.3484E+01  4.0410E+01
0000027   2.3272E+02  5.9946E+01 -1.8341E+02
0000028   2.9550E+02  1.2600E+02 -8.0400E+01
0000029   2.4154E+02  8.0186E+01 -2.1513E+01
0000030   1.7472E+02 -2.4153E+02 -1.5346E+02
0000031   2.7582E+02 -1.4673E+02  2.4777E+02
0000032   4.3888E+02  2.3029E+01  2.4474E+02
0000033   3.2801E+02  1.1611E+02  6.2579E+01
0000034   1.5053E+02 -1.9336E+02 -3.2520E+01
0000035   1.6476E+02 -2.9737E+01  7.3532E+01
0000036   1.7143E+02 -1.9813E+01 -1.5267E+02
0000037   2.8943E+02  1.6408E+02  3.9132E+01
0000038   3.0684E+02 -9.2923E+01  1.2448E+02
0000039   1.3746E+02  1.4597E+02 -1.7149E+02
0000040   8.1195E+01  4.1749E+01  6.0198E+01
0000041   3.2723E+02  1.7617E+02 -2.3170E+02
0000042   1.7727E+02 -5.3733E+01 -3.8064E+01
0000043   1.1474E+02  7.8781E+01  6.4680E+01
0000044   6.6667E+01 -3.1667E+02 -2.3563E+02
0000048   3.0766E+02  9.9684E+01 -6.8336E+01
0000049   2.7686E+02 -4.3291E+01  1.5199E+01
0000050   3.1859E+02  1.9579E+02 -2.1760E+02
0000051   2.3510E+02  1.2924E+01 -4.9673E+01
0000052   5.2409E+02 -1.8879E+02  1.2632E+02
0000054   3.1359E+02  1.7048E+02  3.9073E+02
0000055   1.8489E+02 -1.1788E+02 -9.3994E+01
0000056   1.0906E+02 -8.4252E+01  6.4883E+01
0000057   1.2940E+02 -8.4202E+01  6.3229E+01
0000058   8.6454E+01  1.4655E+02  1.1898E+02
0000059   2.3459E+02  1.2387E+02  9.4772E+01
0000060   1.9220E+02  2.9529E+01 -3.5078E+01
0000062   9.0560E+01 -7.2020E+01 -3.9194E+01
0000063   5.0893E+01  1.1286E+02 -6.4625E+01
0000064   2.3733E+02 -5.4652E+01 -3.9148E+01
0000065   1.2793E+02 -7.1590E+00  6.5189E+01
0000066   2.0662E+02  1.6464E+02 -1.2011E+02
0000067   2.7763E+02  1.3283E+02 -2.1236E+02
0000068   2.9578E+02  1.0620E+01  3.9339E+02
0000069   4.4052E+02  7.6787E+01  4.9600E+01
0000070   8.6854E+01  1.6810E+02  2.9802E+02
0000071   3.4329E+02  2.0670E+02 -8.4027E+01
0000072   3.5308E+02  2.6588E+02 -6.6854E+01
0000073   2.7268E+02 -3.5327E+01 -1.4587E+02
0000074   1.0707E+02 -8.3845E+01  1.8832E+02
0000075   9.4672E+01 -9.3983E-02  7.5244E+01
0000076   2.7181E+02 -9.6742E+01 -1.8366E+02
0000077   1.8492E+02 -1.7077E+02  6.9894E+01
0000078   8.9808E+01 -1.7045E+02  1.4923E+02
0000079   2.1423E+02 -4.3615E+01  9.1999E+00
0000080   2.2750E+02 -1.0605E+02  1.5135E+02
0000081   1.7221E+02 -1.1558E+02  1.0693E+02
0000082   4.7812E+01  4.4404E+01 -1.8421E+01
0000084   2.1505E+02  1.3863E+02 -1.7942E+02
0000085   3.0388E+02  1.5743E+02  7.4690E+01
0000086   2.9590E+02 -1.8036E+02 -1.7575E+01
0000087   1.5156E+02 -2.6003E+01 -8.4659E+01
0000088   2.8295E+02 -2.9911E+02 -2.7241E+02
0000089   1.4345E+02  7.0861E+01  1.0535E+02
0000090   1.2256E+02  1.0688E+02  2.4418E+02
0000092   2.2910E+02 -1.3293E+02  1.1326E+02
0000093   3.5655E+02 -7.2446E+01 -1.4831E+02
0000094   2.4225E+02  1.3328E+01  1.2799E+02
0000095   1.5608E+02 -1.3917E+01  1.1767E+01
0000096   2.3062E+02 -5.1487E+01  8.4738E+01
0000097   4.8719E+02 -7.2055E+01 -1.4309E+02
0000098   2.6798E+02 -1.2839E+02 -4.4003E+01
0000099   1.0929E+02 -5.8762E+00  1.2465E+02
0000100   3.5531E+02 -3.8578E+01 -6.5185E+01
0000101   1.1171E+02  1.4043E+01  1.7086E+02
0000102   3.0836E+02 -9.9595E+00  7.8031E+01
0000103   1.9649E+02 -1.4938E+02  1.0503E+02
0000104   3.3447E+02 -8.8714E+01 -8.0946E+01
0000105   1.0715E+02 -5.0171E+01 -6.5140E+00
0000106   1.5462E+02 -2.8654E+02  2.5933E+02
0000108   1.8207E+02  2.4626E+01  6.5702E+01
0000109   3.2030E+02 -2.7032E+02  2.3409E+01
0000110   2.1373E+02 -3.8902E+01 -2.7288E+02
0000111   2.0275E+02 -1.9403E+01  4.6874E+01
0000112   7.3973E+01 -1.2812E+02  1.3940E+01
0000113   4.7780E+01  8.0789E+01 -9.1004E+01
0000114   1.9714E+02  1.7860E+02 -6.4590E+01
