============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.1569E+02  5.0731E+01  1.0678E+02
0000002   2.3056E+02  2.2016E+02  1.7360E+01
0000003   1.5975E+02 -1.5235E+02  1.7712E+02
0000004   3.4295E+02 -1.0279E+02  2.8509E+01
0000005   1.7413E+02 -3.2467E+02  8.7849E+01
0000006   7.8372E+01 -1.8983E+01  3.7580E+01
0000007   1.2510E+02  8.6189E+01 -6.0053E+01
0000008   1.9610E+02  4.5898E+00 -1.5689E+02
0000009   1.1078E+02  6.1556E+01  3.9741E+01
0000010   2.5573E+02 -6.9215E+01  8.4255E+01
0000012   3.5803E+02  3.5451E+01 -6.9751E+01
0000014   4.0200E+02  2.1160E+02 -5.7288E+01
0000015   7.4427E+01  8.2980E+01 -2.0448E-01
0000016   3.1323E+02 -1.7567E+02 -7.1639E+01
0000017   2.7065E+02  1.9626E+01  5.2824E+01
0000018   1.6098E+02 -4.5047E+00 -2.8044E+00
0000019   1.6722E+02  1.3915E+02 -1.0343E+02
0000020   2.0706E+02  3.5939E+01 -1.4785E+02
0000021   1.6015E+02 -6.0749E+01 -9.7458E+01
0000022   2.3732E+02 -8.0130E+01  3.2110E+01
0000023   2.7327E+02  1.6465E+02  3.2327E+02
0000024   3.3004E+02 -1.2147E+02 -7.1440E+01
0000025   9.4922E+01  8.5015E+01 -2.1698E+02
0000027   1.2262E+01 -7.9676E+01  2.4618E+02
0000028   9.7167E+01  1.2738E+02  1.9848E+01
0000029   3.0256E+02 -1.4513E+00  9.8975E+01
0000030   2.3447E+02  8.4161E+01  1.3258E+02
0000031   1.8164E+02 -4.5247E+01  6.9866E+00
0000032   1.9628E+01 -2.8274E+01  6.7829E+00
0000033   5.8180E+01 -7.0113E+01  8.8849E+01
0000034   3.9921E+02  3.3998E+01  1.5848E+02
0000035   2.0032E+02  1.2833E+02 -3.3036E+00
0000036   2.9288E+02 -7.2173E+01 -9.4505E+01
0000037   4.5659E+02  9.9483E+00  9.4805E+00
0000038   2.4764E+02 -1.5223E+02 -4.1195E+01
0000039   2.8588E+02  2.1096E+02  6.1658E+01
0000040   2.6143E+02  7.6062E+01  5.6882E+01
0000041   3.8006E+02 -2.2324E+02 -9.0914E+01
0000043   1.5814E+02  1.6612E+02 -1.9692E+01
0000044   2.8982E+02 -1.2051E+02  9.3165E+01
0000045   2.4815E+02 -9.4502E-01  2.4503E+01
0000046   2.0497E+02  4.6610E+01  8.9502E+01
0000047   1.3759E+02 -4.0924E+01 -2.3578E+02
0000048   3.0707E+02  5.5793E+01 -4.6457E-02
0000049   1.8696E+02  2.9990E+02  1.1881E+02
0000050   1.3327E+02  7.0379E+01 -6.2298E+01
0000052   1.3335E+02 -1.4509E+01 -8.3492E+01
0000053   1.2947E+02 -3.2742E+01 -4.0479E+01
0000054   4.5312E+01 -1.3496E+02 -2.4422E+02
0000055   2.2029E+01  1.4829E+01  1.1159E+01
0000056   5.4828E+01  1.0006E+02 -7.9524E+00
0000058   1.8146E+02 -3.9045E+01  2.2427E+02
0000059   5.8494E+01  1.4752E+02 -9.1599E+01
0000060   4.8274E+01 -2.5190E+01 -1.9650E+01
0000061   1.3882E+02 -2.4222E+00  1.5072E+02
0000062   8.6972E+01 -8.7148E+00  9.1709E+00
0000063   1.6743E+02 -9.7201E+01 -1.4860E+02
0000064   2.3247E+02  4.3955E+01 -7.8516E+01
0000066   1.7629E+02  8.6642E+01 -2.1978E+00
0000067   2.1972E+02 -9.4250E+01 -2.0731E+02
0000068   2.4482E+02  2.9892E+01 -1.2239E+01
0000070   1.9230E+02  1.4345E+01 -1.1822E+02
0000071   3.3273E+02 -2.1729E+02  3.5391E+01
0000072   5.1731E+01  2.5731E+01  2.6619E+02
0000073   1.1799E+02  3.7365E+01 -8.0140E+01
0000074   3.1368E+02 -3.3792E+01  1.3550E+02
0000075   2.4018E+01  3.0101E+01 -6.1678E+01
0000076   3.5430E+01  9.8067E+01  1.1080E+01
0000077   1.3798E+02 -1.0720E+01  3.8678E+01
0000079   8.3209E+01  5.1995E+01 -8.0745E+01
0000080   2.4209E+02  4.7868E+01  6.8692E+01
0000081   1.7096E+02 -6.7328E+01 -6.3779E+01
0000082   3.8589E+02 -1.4214E+02 -7.0711E+01
0000083   1.0674E+02  1.0305E+02  1.6576E+01
0000084   9.4134E+01  4.0465E+00 -9.8548E+01
0000085   2.0827E+02  5.3722E+01  2.6185E+01
0000086   2.9690E+02  2.7039E+01  1.0742E+00
0000087   1.9707E+02  8.7644E+01  1.7969E+02
0000088   4.2833E+02 -8.7818E+01  2.1459E+02
0000089   1.5468E+02 -3.4031E+01 -7.6160E+01
0000090   3.0791E+02  2.2721E+01 -2.2568E+02
0000091   1.8786E+02 -9.6678E+00  7.6476E+00
0000092   4.5505E+02 -9.0575E+01 -5.0973E+01
0000093   1.9414E+02  1.4282E+02 -1.7454E+01
0000094   2.1167E+02 -1.9462E+01 -2.2958E+01
0000095   2.8046E+02  6.4330E+01 -8.0507E+01
0000096   2.8196E+02  3.4875E+02  9.2834E+01
0000098   2.8196E+02  6.9141E+01  2.2544E+02
0000100   2.7966E+02 -4.4445E+00 -3.1158E+00
0000101   3.8969E+02  1.3488E+02 -1.2932E+02
0000102   1.8298E+02  9.9110E+01  1.1344E+01
0000103   6.4699E+00 -1.0104E+02  1.7685E+01
0000104   5.4107E+01  1.3960E+02 -2.0304E+02
0000105   2.2872E+02  1.8613E+01 -6.5261E+01
0000106   2.9238E+02 -4.0324E+01 -1.0948E+02
0000107   9.6105E+01  5.4300E+01 -1.9116E+02
0000108   2.7383E+02  1.0866E+01 -4.1207E+01
0000110   5.2173E+01 -5.8402E+01 -2.3268E+01
0000111   2.1793E+02 -9.1331E+01 -1.1269E+02
0000112   2.3309E+02  1.5082E+02 -1.0540E+02
0000113   1.2068E+02  7.6184E+01  1.0762E+02
0000114   1.9449E+02  3.9418E+01  8.8381E+01
0000115   2.4709E+02 -1.4543E+02 -4.3815E+01
0000116   1.0005E+02 -4.4618E+01 -9.2470E+01
0000117   1.8380E+02  7.7978E+01  1.0133E+02
0000118   6.9607E+01  1.8954E+02  3.4377E+01
0000119   3.5358E+02  1.5261E+02 -1.5029E+02
