============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   8.6479E+00  5.4207E+01  2.5444E+01
0000002   6.8448E+01  2.0292E+00  7.5477E+01
0000003   4.3266E+02  3.2548E+01  2.3008E+02
0000004   2.4691E+02  2.7786E+02  3.4451E+01
0000005   1.9958E+02  1.8875E+02 -2.0329E+02
0000006   1.9299E+02 -1.6093E+02 -8.4340E+01
0000007   2.3864E+02 -5.0476E+01  1.3333E+02
0000008   4.5323E+02  7.5098E+01 -4.9180E+01
0000009   1.6653E+02  1.8619E+02 -1.0284E+01
0000010   6.1757E+01 -1.9292E+02  1.5221E+02
0000012   2.6296E+02 -2.9638E+01  4.4045E+01
0000013   1.2937E+02 -7.2725E+01  1.0326E+02
0000014   1.8447E+02  6.8048E+01  1.7164E+02
0000015   1.5835E+02 -5.4779E+01  1.8823E+01
0000016   8.4624E+01 -1.6702E+00  3.9214E+01
0000017   8.2737E+01 -1.2958E+02 -4.9494E+00
0000018   1.9322E+02 -1.3530E+02 -9.6476E+01
0000019   4.7259E+01 -9.4206E+01 -1.0373E+01
0000020   1.7677E+02 -1.7240E+02  8.2008E+01
0000021   3.5712E+02 -1.3925E+02  4.4467E+01
0000022   1.0080E+02  4.0856E+01  6.7776E+01
0000023   1.9855E+02  1.2752E+02 -5.6987E+00
0000024   2.5899E+02 -1.3278E+01  2.2148E+02
0000025   4.5059E+02  1.6561E+01 -2.1593E+02
0000026   2.1061E+02  7.0478E+01 -8.0921E+01
0000027   1.6816E+02 -6.2086E+01  7.1562E+01
0000028   1.3839E+02 -9.3082E+01 -6.1073E+00
0000029   2.3403E+02  9.3332E+01  1.2773E+02
0000030   6.6669E+01 -4.1918E+01 -6.3707E+01
0000031   1.9580E+02 -4.6186E+01 -8.8621E+00
0000032   5.7673E+01 -2.9146E+01 -8.8515E+01
0000033   2.5949E+02 -1.1353E+02  1.9703E+01
0000034   2.4822E+02 -1.4183E+02 -2.9070E+01
0000035   1.1521E+02  4.1993E+01 -1.3114E+02
0000036   8.6745E+01 -7.3848E+01  1.2089E+01
0000037   3.8609E+02 -1.1975E+02 -4.7287E+01
0000038   1.8928E+02  2.1650E+02  3.2383E+01
0000039   1.2514E+02  1.3185E+02 -3.1500E+01
0000040   2.3531E+01  2.3604E+02 -1.4522E+02
0000041   2.4695E+02 -6.6490E+01  2.3879E+00
0000042   2.1568E+02 -8.9521E+01  5.9044E+01
0000043   5.1078E+02 -8.3155E+01 -5.1646E+01
0000044   2.2300E+01  1.4742E+02  1.8558E+01
0000045   4.0353E+02 -1.7425E+02  7.9012E+01
0000046   1.7601E+02 -6.0606E+01 -2.3506E+01
0000047   1.9677E+02 -8.5221E-01 -1.7650E+02
0000048   2.4462E+02  2.1494E+02 -1.7454E-02
0000049   4.2411E+02  9.3160E+01  3.2493E+01
0000050   3.2136E+02 -1.0853E+02  9.6836E+01
0000051   3.3767E+02  2.4863E+02  3.2193E+02
0000052   8.0682E+01 -5.5706E+01  1.6560E+01
0000053   8.4129E+01  6.2143E+01  5.4010E+01
0000054   1.2760E+02 -2.1844E+02 -5.6649E+01
0000055   4.1796E+02 -1.4061E+02 -1.2859E+02
0000057   2.0894E+02 -7.7131E+01  6.1947E+01
0000058   2.2236E+02  1.3396E+01 -5.2153E+01
0000059   2.1566E+02  2.5182E+01 -1.1559E+02
0000060   2.2191E+02  3.6348E+01  1.2243E+02
0000062   3.6679E+01  8.8750E+01 -4.6610E+01
0000064   3.0513E+02 -8.9732E+01 -1.0999E+02
0000065   1.6280E+02 -5.4879E+01 -5.3493E+01
0000066   3.8977E+02  4.3814E+01 -6.9997E+00
0000067   2.1369E+02  1.1649E+01  1.0931E+02
0000068   1.5252E+02  2.1306E+01 -2.2816E+00
0000069   3.5759E+02 -1.3283E+02  1.4197E+02
0000070   1.3578E+02 -1.8677E+01  8.6046E+01
0000071   3.0014E+02 -2.3519E+00  3.7786E+01
0000072   2.4081E+02 -4.8666E+01 -1.1045E+02
0000073   2.8346E+02  1.3316E+02 -1.4076E+02
0000074   1.0891E+02 -1.7883E+02 -6.6308E+00
0000076   2.3417E+02  4.9620E+01 -2.6657E+02
0000077   1.5714E+02  1.1251E+02  1.4171E+02
0000078   4.0830E+01  8.1310E+01 -1.1328E+00
0000079   2.2277E+02  1.9433E+02  4.0170E+01
0000080   1.8855E+02 -1.2002E+02 -1.7473E+02
0000081   1.7710E+02  1.0145E+02 -6.0397E+01
0000082   2.6241E+02 -1.3400E+02  8.0769E+01
0000083   1.8091E+02 -3.0115E+01 -8.4177E+01
0000084   2.1030E+02  1.2407E+02 -2.0674E+02
0000085   3.1804E+02 -5.4185E+01 -2.4964E+02
0000086   2.0206E+02  2.9624E+01  4.0958E+01
0000087   2.3208E+02 -3.3544E+00  1.2230E+02
0000088   2.5071E+02  4.3928E+01 -2.5291E+01
0000089   1.4679E+02 -3.1294E+01  2.6688E+01
0000090   2.8725E+02  2.5960E+02  2.8233E+01
0000091   2.0629E+02 -1.5357E+02 -1.6947E+02
0000092   3.3797E+02 -3.6736E+01  2.3277E+02
0000093   2.9924E+02 -1.4635E+02  6.3035E+01
0000094   3.8062E+02  1.9656E+02  2.3436E+02
0000095   7.3050E+00  1.9667E+02  7.5541E+01
0000096   1.1229E+02 -2.0895E+00  1.3203E+02
0000097   1.7500E+02 -1.5107E+01 -1.6939E+01
0000098   1.6670E+01  7.1854E+01 -1.7600E+02
0000099   1.7535E+02 -7.2868E+01 -1.2894E+02
0000100   1.1821E+02 -1.3467E+02 -5.6101E+01
0000101   4.0236E+02 -6.3523E+01 -7.1361E+01
0000102   3.2442E+02  4.9863E+01  1.4640E+02
0000103   1.4708E+02 -6.1009E+00  2.3120E+01
0000104   1.7784E+02  3.7118E+00  1.8193E+02
0000105   4.6789E+01 -6.7116E+01 -1.5005E+01
0000106   1.5269E+02 -2.3146E+01  9.8327E+01
0000107   2.5076E+02 -2.3870E+01 -2.1159E+02
0000108   2.5227E+02  2.2738E+01 -3.1437E+02
0000109   3.1679E+02  7.9036E+01 -3.4840E+01
0000110   1.8372E+02  7.6169E+00 -4.6210E+01
0000112   2.2134E+02  1.4583E+02 -9.1446E+01
