============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   6.3301E+02 -2.6925E+02 -8.2252E+01
0000002   1.9359E+02  4.7552E+01  8.4277E+01
0000003   2.9345E+02  3.4677E+02  4.4690E+02
0000004   3.7664E+02 -5.0832E+01 -4.8439E+01
0000005   4.6416E+02  1.6799E+01  5.1450E+02
0000006   4.3177E+02  2.5194E+02  3.7103E+02
0000007   5.7035E+02  1.6219E+02  4.3669E+02
0000008   3.5650E+02  3.4121E+02  7.5948E+01
0000009   3.7765E+02  8.2437E+01  2.4701E+01
0000010   3.2454E+02 -1.9613E+01 -2.0047E+02
0000011   2.6791E+02 -2.2494E+01  2.8577E+02
0000012   1.9655E+02 -3.6044E+01  2.3807E+02
0000013   1.8088E+02  1.3751E+02  3.5146E+02
0000014   6.1316E+02 -3.2380E+02  5.0989E+02
0000015   5.1670E+02  2.7901E+02 -2.2185E+02
0000016   4.6680E+02 -2.3184E+02  1.3955E+01
0000017   7.2133E+02  3.7508E+01 -4.8581E+01
0000018   3.2297E+02 -1.8123E+01  9.0587E+01
0000019   3.4080E+02  3.6068E+02 -1.9618E+02
0000020   5.5268E+02  3.9879E+01 -3.2471E+02
0000021   6.1801E+02 -3.1751E+02 -1.1348E+02
0000022   6.9779E+02  2.1589E+02 -3.1117E+01
0000023   5.8699E+02 -1.0641E+02 -3.8738E+02
0000024   7.8151E+02 -7.7466E+01 -8.5937E+01
0000025   2.4085E+02 -9.0547E+01 -2.9212E+01
0000026   3.2070E+02  4.6778E+01 -6.6783E+00
0000027   3.8648E+02  9.8082E+01 -3.9399E+02
0000028   2.2913E+02 -1.0095E+01  4.1733E+02
0000029   7.9154E+02  3.3539E+02  3.0140E+01
0000030   1.4784E+02 -1.3619E+02  8.5376E+01
0000031   4.0452E+02 -1.3860E+02  4.3264E+02
0000032   4.8907E+02  2.5796E+02 -1.8839E+02
0000033   3.5668E+02 -1.4462E+02 -4.0286E+02
0000034   1.9031E+02 -1.9997E+01 -6.6816E+01
0000035   3.5918E+02  9.3227E+01 -3.1201E+02
0000036   7.5791E+02 -2.6792E+02 -5.1568E+00
0000037   6.7608E+02  1.6690E+02  2.2394E+01
0000038   5.4819E+02 -3.5812E+02  8.6528E+01
0000039   7.4397E+02 -6.2085E+01 -2.7249E+01
0000040   3.0969E+02 -2.9939E+02  1.5724E+01
0000041   3.9619E+02 -2.4874E+02 -1.7092E+02
0000042   2.7521E+02  4.7232E+02 -2.4013E+02
0000043   4.7631E+02  1.4293E+02  8.8186E+01
0000044   5.7070E+02  3.6470E+02  4.8284E+02
0000045   1.7327E+02  5.8200E+01  4.1161E+01
0000047   5.6602E+02  5.5815E+02 -6.1034E+01
0000048   4.6553E+02  5.0625E+02  1.0985E+02
0000049   2.8676E+02 -1.8311E+02 -3.6978E+01
0000050   1.0939E+02 -9.7151E+01 -2.5505E+02
0000051   3.1963E+02  1.7893E+02  1.0259E+02
0000052   2.1444E+02 -8.6153E+01  3.7074E+02
0000053   8.5171E+01  2.8015E+02  1.1175E+02
0000054   6.8989E+02 -9.1338E+01 -1.4199E+02
0000056   3.6696E+02 -2.6058E+02 -3.1029E+02
0000057   4.0533E+02  2.7852E+01 -3.1517E+02
0000058   5.8815E+02 -1.8726E+01  1.7861E+02
0000059   2.5280E+02 -1.6341E+02 -1.5232E+02
0000060   4.3585E+02 -2.8847E+01  6.8827E+01
0000061   7.4334E+02 -3.9407E+01  2.6768E+02
0000062   1.6636E+02 -3.3469E+02  3.4369E+01
0000063   4.1083E+02 -2.2958E+02 -1.5728E+02
0000064   3.7790E+02  5.4156E+02  3.7231E+02
0000065   3.1636E+02  9.7001E+01  1.0939E+02
0000066   3.1659E+02 -3.8228E+01 -3.2797E+02
0000067   5.3620E+02 -2.3807E+02 -2.5426E+02
0000068   4.3694E+01  9.2066E+01 -2.2906E+02
0000069   3.3979E+02 -1.8423E+02 -6.5165E+01
0000070   2.3782E+02  2.4846E+02 -1.6135E+02
0000071   4.1480E+02 -3.0177E+02 -2.3059E+02
0000072   8.9562E+02 -1.7333E+02  7.2941E+01
0000073   3.3934E+02  6.9988E+01 -1.8811E+02
0000074   2.5710E+02  1.3738E+02 -2.4184E+01
0000075   5.1700E+02  8.6290E+01  4.0500E+01
0000076   3.2677E+02  2.2803E+02  1.4196E+02
0000077   3.8977E+02 -3.9174E+01 -1.6027E+02
0000078   6.8072E+02  3.4923E+02 -7.4037E+01
0000079   2.1337E+02  3.4289E+01 -1.6841E+02
0000080   2.5953E+02 -4.9763E+02 -1.2023E+02
0000081   3.7755E+02  2.2374E+02  2.0109E+02
0000082   6.7634E+02 -9.0000E+01  8.5500E+01
0000083   4.0812E+02 -1.8253E+02 -3.3044E+02
0000084   4.0765E+02 -3.1723E+02 -2.6054E+01
0000085   2.7938E+02 -3.7443E+00  1.0734E+01
0000086   5.0503E+02 -5.0804E+01  3.0143E+01
0000087   5.9541E+02  2.9524E+02 -3.5877E+00
0000088   3.6642E+02 -3.5611E+01  6.4684E+01
0000089   5.6592E+02 -1.5073E+02  4.1748E+01
0000090   3.4509E+02 -1.6364E+01  1.8138E+02
0000091   3.5736E+02 -1.0401E+02 -5.1786E+02
0000092   5.2218E+02  5.1443E+01 -5.4441E+01
0000093   5.3354E+02  1.6581E+02  1.9685E+02
0000094   4.1564E+02  1.8333E+02  3.0193E+02
0000095   4.2279E+02 -3.4594E+02  6.4469E+01
0000096   1.4989E+02  2.9290E+02  2.2364E+02
0000097   6.7202E+02 -2.9946E+02  8.8798E+01
0000098   3.2956E+02  1.3044E+02 -2.9059E+02
0000099   8.6129E+02 -1.4031E+02 -1.0201E+02
0000100   5.6167E+01 -1.2666E+02 -1.3865E+02
0000101   2.5283E+02 -2.4457E+01 -4.0936E+02
0000102   1.9897E+01 -2.3721E+02  1.3174E+02
0000103   4.8955E+02 -1.1203E+02 -1.7332E+02
0000104   7.4468E+02  2.7602E+02  4.7627E+01
0000105   9.0965E+02 -3.6268E+02  6.2174E+01
0000106   4.9093E+02  1.7968E+02  1.4273E+02
0000107   6.4914E+02 -2.1345E+02 -7.4457E+02
0000108   6.8346E+02 -6.2290E+01 -1.2074E+02
