============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.3252E+02 -1.8705E+02 -8.7366E+01
0000002   2.6289E+02 -1.9371E+02  1.0532E+02
0000003   1.3329E+02  8.5780E+01 -5.8796E+00
0000004   3.8353E+02  1.2302E+01  1.5346E+02
0000005   3.2642E+02  7.5187E+00  3.9866E+01
0000006   1.0571E+02  1.5936E+02 -7.1372E+01
0000007   4.5114E+02 -1.1237E+01  3.7283E+00
0000008   1.2796E+02  4.8227E+01  4.5246E+01
0000010   3.7922E+01 -8.1878E+01 -4.1088E+01
0000011   8.8994E+01 -9.2129E+01  1.2113E+01
0000012   2.9018E+02 -2.8649E+02  1.2143E+02
0000013   2.5207E+02  6.2214E+01  7.1235E+00
0000014   2.8756E+02 -1.0304E+02  1.8975E+02
0000015   2.3088E+02 -2.0683E+02  1.1127E+02
0000016   4.1526E+02  1.4582E+02 -4.5559E+01
0000017   1.9664E+02  2.3435E+01 -1.0547E+02
0000018   3.6968E+02 -5.5260E+01 -9.1530E+01
0000019   4.6596E+02 -2.1406E+01  2.3343E+00
0000020   1.9237E+02  8.3811E+01  1.4556E+02
0000021   1.5905E+02  5.5214E+01 -4.2046E+01
0000022   2.0187E+02 -2.7169E+01 -7.9939E+01
0000023   2.6054E+02 -4.4408E+01 -2.3157E+02
0000024   1.5627E+02 -3.2173E+01 -1.2676E+02
0000025   9.8765E+01  4.3832E+01 -1.2595E+02
0000026   9.8727E+01 -1.3399E+02 -2.5593E+01
0000027   2.2016E+02  1.4870E+02  7.6880E+01
0000028   1.9705E+02 -1.5478E+01 -3.4587E+01
0000029   3.5244E+02 -6.2633E+01 -1.4434E+01
0000030   1.1611E+02 -2.3176E+01 -1.5246E+02
0000031   3.5728E+02  1.1522E+02 -1.4233E+01
0000032   2.6324E+02 -5.9514E+01  6.1227E+00
0000033   2.5022E+02  5.8723E+01 -8.7489E+00
0000034   3.2243E+02  1.2226E+02  1.5945E+02
0000035   4.4916E+01  1.0966E+02  3.7538E+01
0000036   3.6178E+02  1.5136E+02  2.6617E+01
0000037   2.4146E+02 -5.7742E+01  5.0530E+01
0000038   1.6474E+02  1.1789E+02 -7.9097E+01
0000039   2.0128E+02  8.6110E+01  1.6486E+02
0000040   3.5306E+02 -4.1502E+01  6.6240E+01
0000041   1.5372E+02 -1.1968E+02 -5.1015E+01
0000042   1.9706E+02  3.9968E+01  1.3865E+01
0000043   4.1200E+02  2.3342E+02  7.2376E+01
0000044   1.3376E+02 -2.5878E+02  1.9823E+01
0000046   1.7293E+02  1.3497E+02 -2.2069E+01
0000047   1.8471E+02 -5.4707E+01 -5.5847E+01
0000048   2.5026E+02 -8.8035E+01 -3.3142E+01
0000049   3.9140E+02 -8.7841E+01 -9.9748E+01
0000050   8.9101E+01 -2.3311E+02  1.9029E+02
0000052   1.7432E+02  1.3016E+02  7.4760E+01
0000054   3.4727E+01  6.2748E+01 -6.7862E+01
0000055   3.0042E+02  1.9692E+02 -8.8497E+01
0000056   2.5891E+02  1.6321E+01  2.0739E+01
0000057   1.0763E+02 -3.2528E+01 -1.0432E+02
0000058   3.8006E+02  3.5961E+01 -6.6295E+01
0000059   1.4220E+02 -1.1016E+02 -2.5770E+02
0000060   3.4261E+02  6.6623E+01 -1.2381E+01
0000061   2.5824E+02  1.0140E+01 -4.8629E+01
0000062   1.3724E+02 -2.0775E+02  1.3835E+02
0000063   1.8691E+02  1.9949E+01  1.4147E+02
0000064   4.5058E+02  9.8428E+01  2.4336E+01
0000065   1.3466E+02 -8.8279E+01 -7.0944E+01
0000066   1.7560E+02 -2.0132E+02  3.7057E+02
0000067   4.7934E+02 -7.5253E-01 -3.2066E+01
0000068   1.6964E+02  1.6658E+02  3.0903E+01
0000069   1.8163E+02  1.1856E+02 -9.1827E+01
0000070   1.2842E+02 -7.9674E+01 -1.8393E+01
0000071   6.6326E+01  1.3266E+01 -7.2197E+00
0000072   2.5385E+02 -2.4932E+02  7.5611E+01
0000074   1.2445E+02  8.6487E+01  1.7788E+02
0000075   1.0904E+02 -5.9542E+01 -4.2908E+01
0000076   3.7537E+02  8.3755E+01  5.2091E+01
0000077   5.8287E+01  2.0388E+01 -3.6347E+01
0000078   2.8985E+02  9.8936E+01 -9.3264E+01
0000079   3.8769E+02  2.3212E+01 -2.4011E+01
0000080   2.2633E+02  1.4218E+01  9.7038E+01
0000081   2.5269E+01 -3.9570E+01  2.7693E+01
0000082   1.6668E+02 -4.8821E+01 -2.9447E+02
0000083   3.0959E+02  3.7439E+00 -1.8217E+02
0000084   2.2878E+02 -2.5701E+01  2.2416E+02
0000085   3.9230E+02  4.1639E+01  1.1954E+02
0000086   2.6372E+02 -8.1019E+01 -2.1149E+01
0000087   3.0958E+02 -1.0552E+02  1.3472E+02
0000088   3.1643E+02 -1.9506E+02 -7.5219E+01
0000089   1.7123E+02 -8.7394E+01  1.2008E+02
0000091   1.6481E+02 -7.4186E+01 -3.8818E+01
0000092   3.4861E+02  7.3464E+01  2.9575E+02
0000093   1.9914E+02 -1.8156E+02  8.4963E+00
0000094   6.9049E+01 -4.7112E+01 -2.1344E+01
0000095   1.9089E+02 -1.2323E+02  8.5322E+01
0000096   1.8525E+02 -1.5214E+01  1.5814E+02
0000097   1.9223E+02  5.3495E+01 -1.8841E+02
0000098   1.4967E+02  1.1231E+02 -4.8141E+01
0000099   3.0408E+02 -1.4854E+02 -3.2677E+01
0000100   3.1845E+02 -1.9309E+00 -1.0310E+01
0000101   7.2833E+01  5.8870E+01 -3.1550E+01
0000102   3.1718E+01 -5.9428E+01 -3.4229E+01
0000103   3.9678E+02  1.3902E+00 -6.2464E+01
0000104   1.6697E+02 -1.2230E+02 -3.1347E+01
0000105   3.2159E+02  1.5853E+01 -9.0162E+01
0000106   1.9228E+02 -2.1805E+01 -1.3202E+02
0000107   1.6611E+02 -1.1310E+02  2.5174E+02
0000108   1.2498E+02  1.6196E+02 -1.2406E+02
0000109   2.9291E+02 -1.9752E+02  3.2665E+01
0000110   1.9969E+02 -4.8016E+01 -2.0033E+02
0000111   8.6006E+01 -4.6999E+01 -1.8851E+02
0000112   2.7278E+02  6.4864E+01 -6.1010E+01
