============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 2000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.1337E+02 -5.5471E+01 -1.6885E+02
0000002   2.8352E+02 -2.8844E+01 -3.6512E+01
0000003   4.7915E+01 -2.4677E+02  1.1801E+02
0000004   9.6915E+01 -1.3897E+02  2.3609E+01
0000005   2.3448E+02 -2.2690E+02 -2.1658E+02
0000006   1.7275E+02  3.5691E+01 -1.0418E+02
0000007   2.2233E+02  9.2065E+01 -3.5133E+02
0000008   4.8766E+01  1.4165E+02 -1.4626E+02
0000009   9.5008E+01 -1.0088E+01  2.1681E+02
0000010   1.5359E+02 -5.7295E+01  8.8820E+01
0000011   3.3186E+02 -5.6283E+01  4.7886E+01
0000012   3.0862E+02  8.6470E+01  2.7231E+02
0000013   2.7679E+02  2.2865E+02 -1.8765E+02
0000014   2.5203E+02  1.1284E+02  2.1503E+02
0000015   2.2086E+02  4.5502E+01 -1.2530E+02
0000016   3.1697E+02 -2.0113E+02  1.0196E+01
0000017   3.6174E+02  1.2922E+02 -1.8011E+02
0000018   4.2780E+01  1.1024E+02  1.4133E+02
0000019   3.3875E+02 -1.7091E+02 -4.2213E+01
0000020   1.4517E+02  8.7573E+00 -1.3152E+02
0000021   2.0271E+02  8.8642E+01 -2.5880E+01
0000022   3.7125E+02  1.7273E+02  1.7175E+02
0000023   3.8558E+02 -1.4131E+02 -1.9914E+02
0000024   2.0636E+02  1.2137E+02 -1.4728E+00
0000025   8.6857E+01  1.9213E+01 -1.1183E+01
0000026   2.8789E+02  5.9168E+01 -8.7503E+00
0000027   2.3023E+02  6.8352E+01 -1.3428E+02
0000028   8.7693E+01 -2.0842E+02  1.2346E+01
0000029   3.6794E+02 -1.8025E+02  4.2123E+01
0000030   4.2069E+02 -6.7377E+01 -5.9175E+01
0000031   1.7014E+02  1.0622E+01  1.0815E+02
0000032   2.8494E+02 -1.1697E+02 -8.8391E+00
0000033   1.7783E+01  1.1152E+02  3.5201E+01
0000034   3.3328E+02  1.3073E+02 -8.0023E+01
0000035   2.5186E+02 -4.6872E+01 -1.3375E+01
0000036   3.2434E+02  1.7346E+02  1.3527E+02
0000037   1.7141E+02 -5.6880E+01  1.3277E+02
0000038   3.0686E+02 -5.9170E+01 -4.3596E+01
0000039   3.5732E+02  1.0415E+02 -1.6243E+02
0000040   1.1300E+02  4.8652E+01 -1.8646E+01
0000042   2.7814E+02 -7.2580E+01  1.7832E+02
0000044   1.5819E+02  1.7377E+02 -1.3820E+02
0000045   1.5859E+02  5.6737E+01 -8.1602E+01
0000046   4.4643E+01 -1.2138E+01 -7.7583E+00
0000047   1.6399E+02 -2.5318E+00  2.0195E+02
0000048   3.7081E+02 -2.0479E+02  1.4824E+02
0000049   3.6309E+01  2.3570E+01  1.7911E+01
0000050   1.5099E+02 -6.6363E+01 -9.3717E+01
0000051   6.7139E+01  4.0046E+01 -2.5753E+01
0000052   1.5646E+02  2.6409E+01  1.8408E+01
0000053   1.4056E+02 -7.5059E+01 -9.6493E+01
0000054   2.1465E+02 -1.9580E+02 -3.9828E+01
0000055   3.1460E+02 -1.0990E+02 -6.9157E+01
0000056   2.7273E+02 -1.5972E+02 -2.8446E+01
0000057   3.6978E+01 -1.4635E+02 -1.1767E+02
0000058   6.3738E+01 -1.0064E+02  3.5121E+01
0000060   1.7835E+02  1.1418E+02 -1.2252E+02
0000061   3.2212E+02 -8.7498E+01 -1.7734E+01
0000062   1.2624E+02  1.1580E+02 -6.0302E+01
0000063   3.4918E+01  1.5281E+02 -1.8466E+02
0000064   1.4364E+02  1.8433E+01 -3.2220E+01
0000065   2.9891E+02  2.7492E+02 -3.2041E+01
0000066   3.7198E+02  1.4589E+02  7.4494E+01
0000067   1.5907E+02  4.5652E+01 -1.5070E+02
0000068   9.4484E+01  2.0060E+02 -4.0756E+01
0000069   2.4615E+02 -2.8603E+01  1.3117E+02
0000070   2.4081E+02  3.4650E+02 -3.3744E+01
0000071   1.7058E+02 -3.4426E+01 -1.3832E+02
0000072   1.5914E+02 -3.5686E+01  1.8470E+02
0000073   3.6380E+01 -3.2654E+01 -1.0440E+01
0000074   1.4533E+02 -1.0104E+02 -1.7792E+02
0000075   2.7038E+02 -2.1506E+01 -1.1565E+02
0000076   2.6952E+02 -1.1182E+01 -3.4719E+01
0000077   3.7149E+02  3.2434E+01  7.7920E+01
0000078   1.5412E+02 -1.9902E+02  1.3996E+02
0000079   8.0202E+01  1.8589E+02 -1.4367E+02
0000080   1.3094E+02 -1.5274E+02 -1.3356E+01
0000081   1.8883E+02 -1.5524E+02 -3.9975E+01
0000082   2.5156E+01  7.8711E+01  6.0119E+01
0000083   2.4932E+02  2.0171E+01  8.3423E+01
0000084   1.5169E+02 -7.4180E+01  1.0295E+02
0000085   2.3384E+02 -7.4682E+01  6.6087E+00
0000086   2.4919E+01  1.8292E+02  4.1983E+01
0000087   1.1382E+02 -1.5067E+02  3.1712E+00
0000088   1.2664E+02 -1.1237E+02 -4.4024E+01
0000089   1.2982E+02 -1.6871E+01  3.1270E+01
0000090   2.6184E+02  9.6948E+01  3.9587E+01
0000091   1.8832E+02  2.3388E+02  9.7133E+01
0000092   1.5510E+02 -9.4394E+00  3.9363E+01
0000093   1.2175E+02 -2.9044E+01  2.2296E+02
0000094   1.7528E+02 -3.6151E+01  6.1970E+01
0000095   1.7710E+02 -1.0929E+02 -1.2338E+02
0000096   2.1912E+01  1.1194E+02 -4.9613E+00
0000097   3.8415E+02 -6.4394E+00  2.8023E+01
0000098   2.9423E+02  7.1647E+01  1.6751E+02
0000099   8.7372E+01  4.2350E+01 -1.5747E+02
0000100   1.3792E+02 -1.9806E+01  1.5820E+02
0000101   1.6013E+02 -7.5897E+01 -3.5537E+02
0000102   1.4752E+02 -4.2069E+02 -5.9743E+01
0000103   3.6969E+02 -1.7136E+02 -3.3032E+00
0000104   4.6100E+02 -8.4867E+01 -1.2102E+02
0000105   2.9946E+02  6.1772E+01 -3.0157E+02
0000107   1.9372E+02 -1.4121E+01  3.9698E+01
0000108   2.9667E+02  1.0150E+02  5.6833E+01
0000109   3.2856E+02  2.5773E+02 -8.6907E+01
0000110   2.2013E+02 -2.7112E+01  1.4616E+02
