============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.7534E+02 -2.8404E+01  1.1420E+02
0000002   2.5392E+02  1.3049E+02 -7.0902E+01
0000003   5.0133E+02 -1.4362E+02  3.7874E+01
0000004   2.6578E+02  2.2948E+01  2.0571E+02
0000005   5.8189E+02  3.6559E+02  1.9519E+02
0000006   3.8596E+02  5.6376E+01  1.4189E+02
0000007   3.9367E+02  1.4688E+02 -1.4178E+02
0000008   1.8479E+02  1.5050E+02 -4.2578E+02
0000009   5.4917E+02 -1.2670E+02 -1.8204E+02
0000010   3.1308E+02 -2.0606E+02 -4.4496E+01
0000011   8.5312E+02 -1.6590E+02  1.3144E+02
0000012   2.3762E+02  3.0651E+02  1.7036E+02
0000013   2.1066E+02  1.5651E+02  1.2766E+02
0000014   4.5286E+02 -8.7534E+01  1.6174E+02
0000015   1.2213E+02  3.7896E+02  1.1786E+02
0000016   8.7884E+02  1.7200E+02  3.0333E+02
0000017   5.3625E+02  5.0297E+02  2.7714E+02
0000018   1.5075E+02  1.2236E+02 -3.7954E+02
0000019   5.0588E+02 -2.0052E+02 -2.9253E+02
0000020   1.1849E+02  4.3652E+02  4.5971E+01
0000021   5.6160E+02  1.0251E+02  2.7640E+02
0000022   4.8601E+02 -2.0590E+02  2.5183E+02
0000023   7.6346E+01  2.9524E+01  4.8713E+02
0000024   5.1391E+02 -1.4528E+02  1.7410E+02
0000025   2.2029E+02  1.0898E+02 -2.2652E+01
0000026   1.0039E+03 -6.9335E+00 -2.0430E+02
0000027   6.0309E+02  3.3637E+02 -2.9239E+02
0000028   1.3415E+02 -1.3879E+02 -3.0699E+02
0000029   2.7865E+02 -1.1218E+02 -4.5432E+02
0000030   3.5842E+02  9.4609E+01  1.7849E+02
0000031   3.1009E+02  1.7965E+02  1.2558E+02
0000032   5.4408E+02  2.2811E+02 -4.4461E+02
0000033   5.1256E+02 -2.7973E+02 -2.5254E+02
0000034   3.7217E+02  7.7501E+00 -9.3063E+01
0000035   6.6270E+02  2.9527E+02  9.7654E+01
0000036   7.5427E+02 -4.9369E+02 -8.3971E+01
0000037   5.3657E+02  1.0605E+02 -1.7563E+02
0000038   3.1400E+02  1.2967E+02  1.6399E+02
0000039   2.5237E+02 -1.1079E+02 -1.1483E+02
0000040   5.9676E+02 -7.5088E+01 -3.8866E+02
0000041   3.1453E+02  2.1947E+02  3.6376E+02
0000042   2.2123E+02 -1.3670E+02  1.7068E+02
0000043   3.9207E+02  3.8761E+01 -2.1787E+02
0000044   5.2892E+02  5.2573E+01 -1.9789E+02
0000045   4.6078E+02  1.8412E+02  1.1216E+01
0000046   2.5887E+02 -6.9674E+01 -1.5687E+02
0000047   4.3770E+02  1.7018E+02 -3.5931E+02
0000048   4.3224E+02  1.9117E+01 -9.7296E+01
0000049   4.8433E+02 -1.3990E+02 -5.9441E+02
0000050   3.2672E+02 -2.0643E+01 -3.0224E+02
0000051   5.5938E+02 -7.1227E+01 -2.2215E+02
0000052   3.3788E+02 -1.6674E+02 -1.8461E+02
0000053   1.2233E+02 -1.2324E+02  2.8864E+02
0000054   8.5126E+02 -2.0279E+02 -1.8929E+02
0000055   4.7006E+02  9.5099E+01  4.5639E+02
0000056   5.0707E+01  1.6608E+02 -9.9649E+01
0000057   4.0321E+02  4.1970E+02  3.7453E+02
0000058   2.8674E+02 -3.7413E+01  3.1884E+02
0000059   6.7543E+02 -3.7603E+01  1.7111E+02
0000060   3.5771E+02 -3.3632E+01 -2.6954E+01
0000061   4.4495E+02  2.1282E+01  1.6671E+02
0000062   1.6184E+02 -1.1884E+02 -2.2322E+02
0000063   4.9411E+02 -2.6009E+02 -4.3482E+02
0000064   3.5173E+02 -4.2670E+00 -1.6441E+02
0000065   3.3546E+02 -1.3424E+02  1.8641E+02
0000067   4.4481E+02  3.3461E+01 -2.6250E+02
0000068   5.2914E+02  6.5919E-02 -3.0492E+01
0000069   5.1789E+02  2.2886E+02  4.0086E+01
0000070   6.5508E+02 -2.5979E+01 -9.5460E+01
0000071   5.9094E+02 -8.7241E+01 -5.9721E+01
0000072   4.7155E+02 -2.5897E+02 -5.6042E+01
0000073   5.3070E+01  2.5634E+02  5.3268E+02
0000074   8.3062E+02 -5.3401E+00  6.8100E+01
0000075   1.1947E+02 -5.6200E+01  2.4364E+00
0000076   3.1887E+02  1.5202E+02 -1.6281E+02
0000078   2.2423E+01 -4.2977E+02  3.6737E+02
0000079   3.9462E+02  1.9996E+01 -1.2843E+01
0000080   3.4851E+02 -2.2179E+02  3.4804E+01
0000081   4.0798E+02 -1.1855E+01 -1.3298E+02
0000082   3.7948E+02 -7.1573E+01 -1.6394E+02
0000083   2.9618E+02 -2.3987E+02  2.9843E+01
0000084   7.2281E+01  6.4760E+01 -3.3075E+01
0000085   4.2803E+02 -3.0471E+02  1.9252E+02
0000086   3.5045E+02  1.2165E+02  5.5757E+01
0000087   4.0066E+02  1.4375E+02  3.6834E+02
0000088   3.5103E+02  3.4454E+02 -5.5011E+01
0000089   4.5762E+02  3.8446E+01 -4.7170E+02
0000090   5.9951E+02 -1.9707E+02  1.9170E+02
0000091   4.7747E+02 -2.4663E+01  1.3655E+02
0000094   2.8504E+02 -5.3924E+01  1.3441E+02
0000096   4.4651E+01 -7.9324E+01  7.3417E+01
0000097   8.1765E+01 -1.0124E+02 -2.4150E+02
0000098   6.7603E+02 -2.3947E+02  4.1101E+01
0000099   7.1747E+02  2.3647E+02 -2.2946E+02
0000100   1.3504E+02  3.0127E+02  1.4071E+01
0000101   9.0330E+01  4.0190E+01 -2.1893E+02
0000102   4.0256E+02 -1.7950E+01  1.1432E+02
0000103   3.2813E+02 -8.9963E+01 -4.1365E+00
0000104   1.3977E+02 -4.4589E+02 -7.3341E+01
0000105   2.9309E+02 -4.2070E+02 -1.1259E+02
0000106   8.6358E+01  1.4886E+02 -2.6022E+02
0000107   3.4775E+02  3.1351E+02 -4.3388E+02
0000108   2.0633E+02 -1.6548E+02  2.5448E+02
0000109   5.9177E+02 -6.6819E+01 -1.0043E+02
0000110   5.1883E+02 -1.3474E+02  1.8836E+02
0000111   1.0525E+02 -2.7049E+02  3.6091E+02
