0.3202	0   1.0772e-08   5.1400e-09
0.3331	0   4.8587e-08   5.8600e-09
0.3370	0   1.2444e-07   2.4600e-08
0.3370	0   1.2444e-07   1.3540e-08
0.3372	0   1.3281e-07   5.9200e-08
0.3401	0   5.2521e-07   8.8600e-08
0.3422	0   1.5496e-06   1.8700e-07
0.3442	0   1.8368e-06   1.9120e-07
0.3444	0   1.8455e-06   2.4400e-07
0.3460	0   1.8547e-06   1.8420e-07
0.3482	0   1.5763e-06   1.2140e-07
0.3503	0   5.6660e-07   8.3000e-08
0.3524	0   2.0852e-07   5.4200e-08
0.3524	0   2.0852e-07   3.5600e-08
0.3549	0   1.0565e-07   1.4640e-08
0.3802	0   1.9353e-08   3.4400e-09
0.4004	0   1.8949e-08   5.4600e-09
0.4204	0   2.2868e-08   5.1600e-09
0.4402	0   2.9291e-08   5.0000e-09
0.4603	0   3.8320e-08   7.5400e-09
0.4804	0   8.0504e-08   1.9420e-08
0.4823	0   1.5055e-07   2.3800e-08
0.4831	0   2.6118e-07   6.0200e-08
0.4843	0   1.3828e-06   6.7000e-08
0.4852	0   2.2397e-06   1.5540e-07
0.4862	0   2.5182e-06   1.7340e-07
0.4870	0   2.5789e-06   3.3800e-07
0.4870	0   2.5789e-06   2.3000e-07
0.4870	0   2.5789e-06   2.4000e-07
0.4878	0   2.6086e-06   2.2000e-07
0.4891	0   2.5293e-06   3.3000e-07
0.4901	0   2.5251e-06   1.8200e-07
0.4913	0   2.2291e-06   8.1000e-07
0.4913	0   2.2291e-06   2.6000e-07
0.4923	0   8.5274e-07   1.1340e-07
0.4952	0   2.1704e-07   2.8600e-08
0.5002	0   1.4256e-07   1.8940e-08
0.5054	0   1.3001e-07   1.0780e-07
0.5054	0   1.3001e-07   2.1600e-08
0.5199	0   1.4309e-07   1.8380e-08
0.5404	0   2.0167e-07   2.3400e-08
0.5405	0   2.0206e-07   2.6800e-08
0.5602	0   3.0708e-07   3.3200e-08
0.5802	0   5.0908e-07   4.4600e-08
0.5903	0   6.8257e-07   6.9600e-08
0.6002	0   9.3906e-07   9.1800e-08
0.6104	0   1.3608e-06   1.1960e-07
0.6204	0   2.0710e-06   1.7300e-07
0.6304	0   3.4109e-06   2.1600e-07
0.6403	0   6.2980e-06   3.2400e-07
0.6455	0   9.3558e-06   4.9400e-07
0.6503	0   1.4449e-05   6.4400e-07
0.6518	0   1.6858e-05   1.0280e-06
0.6551	0   2.4669e-05   1.2800e-06
0.6564	0   2.9221e-05   1.5820e-06
0.6593	0   4.4954e-05   2.0800e-06
0.6595	0   4.6460e-05   3.9000e-06
0.6595	0   4.6460e-05   2.2400e-06
0.6618	0   7.0512e-05   3.2400e-06
0.6625	0   8.1356e-05   3.7200e-06
0.6637	0   1.0611e-04   4.7600e-06
0.6650	0   1.4581e-04   6.5000e-06
0.6660	0   1.8946e-04   8.5000e-06
0.6675	0   2.8002e-04   1.2680e-05
0.6676	0   2.8692e-04   1.2560e-05
0.6696	0   4.1982e-04   2.1600e-05
0.6697	0   4.2527e-04   1.8520e-05
0.6716	0   4.9164e-04   2.6600e-05
0.6723	0   4.9814e-04   2.3400e-05
0.6736	0   4.8502e-04   2.4800e-05
0.6743	0   4.6403e-04   1.4660e-05
0.6754	0   4.1153e-04   1.6000e-05
0.6774	0   2.8012e-04   8.4600e-06
0.6777	0   2.6089e-04   1.0220e-05
0.6796	0   1.6422e-04   7.5400e-06
0.6797	0   1.6039e-04   8.0400e-06
0.6817	0   1.0373e-04   5.5600e-06
0.6821	0   9.5903e-05   2.3200e-06
0.6844	0   6.4279e-05   2.2200e-06
0.6858	0   5.2222e-05   2.8400e-06
0.6870	0   4.4467e-05   1.8600e-06
0.6896	0   3.2797e-05   1.5940e-06
0.6902	0   3.0791e-05   1.0480e-06
0.6939	0   2.1847e-05   1.1760e-06
0.6957	0   1.8926e-05   8.8600e-07
0.6980	0   1.6034e-05   8.4000e-07
0.6997	0   1.4340e-05   7.3600e-07
0.7017	0   1.2703e-05   7.1600e-07
0.7044	0   1.0949e-05   5.5400e-07
0.7059	0   1.0148e-05   5.9400e-07
0.7100	0   8.4148e-06   4.0400e-07
0.7151	0   6.9002e-06   3.8000e-07
0.7203	0   5.8168e-06   3.8400e-07
0.7244	0   5.1784e-06   3.0600e-07
0.7285	0   4.6743e-06   2.5600e-07
0.7350	0   4.0711e-06   2.3600e-07
0.7402	0   3.7132e-06   2.1600e-07
0.7453	0   3.4401e-06   2.1200e-07
0.7506	0   3.2193e-06   2.1200e-07
0.7557	0   3.0548e-06   2.0000e-07
0.7605	0   2.9351e-06   2.0200e-07
0.7654	0   2.8425e-06   2.0800e-07
0.7705	0   2.7737e-06   2.2200e-07
0.7761	0   2.7266e-06   2.0000e-07
0.7817	0   2.7068e-06   2.1400e-07
0.7871	0   2.7119e-06   1.7360e-07
0.7919	0   2.7358e-06   1.5580e-07
0.7975	0   2.7869e-06   1.6620e-07
0.8029	0   2.8608e-06   1.3600e-07
